"gene_id","SYMBOL","GENENAME","GeneType"
"100287102","DDX11L1","DEAD/H-box helicase 11 like 1 (pseudogene)","pseudo"
"653635","WASH7P","WASP family homolog 7, pseudogene","pseudo"
"102466751","MIR6859-1","microRNA 6859-1","ncRNA"
"107985730","MIR1302-2HG","MIR1302-2 host gene","ncRNA"
"100302278","MIR1302-2","microRNA 1302-2","ncRNA"
"645520","FAM138A","family with sequence similarity 138 member A","ncRNA"
"79501","OR4F5","olfactory receptor family 4 subfamily F member 5","protein-coding"
"100996442","LOC100996442","WAS protein family homolog 2-like","ncRNA"
"729737","LOC729737","uncharacterized LOC729737","ncRNA"
"102725121","DDX11L17","DEAD/H-box helicase 11 like 17 (pseudogene)","pseudo"
"102723897","WASH9P","WAS protein family homolog 9, pseudogene","pseudo"
"102465909","MIR6859-2","microRNA 6859-2","ncRNA"
"107985721","LOC107985721","",""
"112268260","LOC112268260","uncharacterized LOC112268260","protein-coding"
"729759","OR4F29","olfactory receptor family 4 subfamily F member 29","protein-coding"
"100132287","LOC100132287","uncharacterized LOC100132287","ncRNA"
"105378947","LOC105378947","proline-rich extensin-like protein EPR1","protein-coding"
"101928626","LOC101928626","uncharacterized LOC101928626","ncRNA"
"113219467","MIR12136","microRNA 12136","ncRNA"
"81399","OR4F16","olfactory receptor family 4 subfamily F member 16","protein-coding"
"100133331","LOC100133331","replaced by ID 100288069",""
"107984841","LOC107984841","replaced by ID 100288069",""
"107984847","LOC107984847","replaced by ID 100288069",""
"107984849","LOC107984849","replaced by ID 100288069",""
"100288069","LOC100288069","uncharacterized LOC100288069","ncRNA"
"105378580","LINC01409","long intergenic non-protein coding RNA 1409","ncRNA"
"400728","FAM87B","family with sequence similarity 87 member B","ncRNA"
"79854","LINC00115","long intergenic non-protein coding RNA 115","ncRNA"
"643837","LINC01128","long intergenic non-protein coding RNA 1128","ncRNA"
"107984850","LOC107984850","uncharacterized LOC107984850","ncRNA"
"284593","FAM41C","family with sequence similarity 41 member C","ncRNA"
"284600","LOC284600","uncharacterized LOC284600","ncRNA"
"100130417","LINC02593","long intergenic non-protein coding RNA 2593","ncRNA"
"107985728","LOC107985728","collagen alpha-1(III) chain-like","ncRNA"
"148398","SAMD11","sterile alpha motif domain containing 11","protein-coding"
"26155","NOC2L","NOC2 like nucleolar associated transcriptional repressor","protein-coding"
"339451","KLHL17","kelch like family member 17","protein-coding"
"84069","PLEKHN1","pleckstrin homology domain containing N1","protein-coding"
"84808","PERM1","PPARGC1 and ESRR induced regulator, muscle 1","protein-coding"
"57801","HES4","hes family bHLH transcription factor 4","protein-coding"
"9636","ISG15","ISG15 ubiquitin like modifier","protein-coding"
"375790","AGRN","agrin","protein-coding"
"100288175","LOC100288175","uncharacterized LOC100288175","ncRNA"
"112267874","LOC112267874","replaced by ID 105378948",""
"105378948","LOC105378948","uncharacterized LOC105378948","ncRNA"
"401934","RNF223","ring finger protein 223","protein-coding"
"54991","C1orf159","chromosome 1 open reading frame 159","protein-coding"
"254099","LINC01342","long intergenic non-protein coding RNA 1342","ncRNA"
"406984","MIR200B","microRNA 200b","ncRNA"
"406983","MIR200A","microRNA 200a","ncRNA"
"554210","MIR429","microRNA 429","ncRNA"
"100506376","TTLL10-AS1","TTLL10 antisense RNA 1","ncRNA"
"254173","TTLL10","tubulin tyrosine ligase like 10","protein-coding"
"8784","TNFRSF18","TNF receptor superfamily member 18","protein-coding"
"7293","TNFRSF4","TNF receptor superfamily member 4","protein-coding"
"51150","SDF4","stromal cell derived factor 4","protein-coding"
"126792","B3GALT6","beta-1,3-galactosyltransferase 6","protein-coding"
"388581","C1QTNF12","C1q and TNF related 12","protein-coding"
"118424","UBE2J2","ubiquitin conjugating enzyme E2 J2","protein-coding"
"101928895","LINC01786","long intergenic non-protein coding RNA 1786","ncRNA"
"6339","SCNN1D","sodium channel epithelial 1 subunit delta","protein-coding"
"116983","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","protein-coding"
"102465434","MIR6726","microRNA 6726","ncRNA"
"109623456","SNORD167","small nucleolar RNA, C/D box 167","snoRNA"
"126789","PUSL1","pseudouridine synthase like 1","protein-coding"
"54973","INTS11","integrator complex subunit 11","protein-coding"
"102465435","MIR6727","microRNA 6727","ncRNA"
"80772","CPTP","ceramide-1-phosphate transfer protein","protein-coding"
"83756","TAS1R3","taste 1 receptor member 3","protein-coding"
"1855","DVL1","dishevelled segment polarity protein 1","protein-coding"
"102466740","MIR6808","microRNA 6808","ncRNA"
"54587","MXRA8","matrix remodeling associated 8","protein-coding"
"54998","AURKAIP1","aurora kinase A interacting protein 1","protein-coding"
"81669","CCNL2","cyclin L2","protein-coding"
"148413","MRPL20-AS1","MRPL20 antisense RNA 1","ncRNA"
"55052","MRPL20","mitochondrial ribosomal protein L20","protein-coding"
"107984868","LOC107984868","",""
"441869","ANKRD65","ankyrin repeat domain 65","protein-coding"
"105378585","ANKRD65-AS1","ANKRD65 antisense RNA 1","ncRNA"
"643965","TMEM88B","transmembrane protein 88B","protein-coding"
"102724312","LINC01770","long intergenic non-protein coding RNA 1770","ncRNA"
"107985729","LOC107985729","uncharacterized LOC107985729","protein-coding"
"64856","VWA1","von Willebrand factor A domain containing 1","protein-coding"
"219293","ATAD3C","ATPase family AAA domain containing 3C","protein-coding"
"83858","ATAD3B","ATPase family AAA domain containing 3B","protein-coding"
"55210","ATAD3A","ATPase family AAA domain containing 3A","protein-coding"
"339453","TMEM240","transmembrane protein 240","protein-coding"
"29101","SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase","protein-coding"
"643988","FNDC10","fibronectin type III domain containing 10","protein-coding"
"105378586","LOC105378586","uncharacterized LOC105378586","ncRNA"
"142678","MIB2","MIB E3 ubiquitin protein ligase 2","protein-coding"
"8510","MMP23B","matrix metallopeptidase 23B","protein-coding"
"984","CDK11B","cyclin dependent kinase 11B","protein-coding"
"728661","SLC35E2B","solute carrier family 35 member E2B","protein-coding"
"8511","MMP23A","matrix metallopeptidase 23A (pseudogene)","pseudo"
"728642","CDK11A","cyclin dependent kinase 11A","protein-coding"
"9906","SLC35E2A","solute carrier family 35 member E2A","pseudo"
"112268218","LOC112268218","uncharacterized LOC112268218","ncRNA"
"65220","NADK","NAD kinase","protein-coding"
"2782","GNB1","G protein subunit beta 1","protein-coding"
"105378949","GNB1-DT","GNB1 divergent transcript","ncRNA"
"163688","CALML6","calmodulin like 6","protein-coding"
"339456","TMEM52","transmembrane protein 52","protein-coding"
"85452","CFAP74","cilia and flagella associated protein 74","protein-coding"
"107984872","LOC107984872","uncharacterized LOC107984872","ncRNA"
"105378589","LOC105378589","uncharacterized LOC105378589","ncRNA"
"2563","GABRD","gamma-aminobutyric acid type A receptor subunit delta","protein-coding"
"105378590","LOC105378590","uncharacterized LOC105378590","ncRNA"
"105378591","PRKCZ-DT","PRKCZ divergent transcript","ncRNA"
"5590","PRKCZ","protein kinase C zeta","protein-coding"
"100506504","PRKCZ-AS1","PRKCZ antisense RNA 1","ncRNA"
"199990","FAAP20","FA core complex associated protein 20","protein-coding"
"112268219","LOC112268219","uncharacterized LOC112268219","ncRNA"
"105378593","LOC105378593","uncharacterized LOC105378593","ncRNA"
"6497","SKI","SKI proto-oncogene","protein-coding"
"79906","MORN1","MORN repeat containing 1","protein-coding"
"100129534","LOC100129534","small nuclear ribonucleoprotein polypeptide N pseudogene","pseudo"
"11079","RER1","retention in endoplasmic reticulum sorting receptor 1","protein-coding"
"5192","PEX10","peroxisomal biogenesis factor 10","protein-coding"
"9651","PLCH2","phospholipase C eta 2","protein-coding"
"55229","PANK4","pantothenate kinase 4 (inactive)","protein-coding"
"388585","HES5","hes family bHLH transcription factor 5","protein-coding"
"115110","TNFRSF14-AS1","TNFRSF14 antisense RNA 1","ncRNA"
"8764","TNFRSF14","TNF receptor superfamily member 14","protein-coding"
"100996583","LOC100996583","uncharacterized LOC100996583","ncRNA"
"127281","PRXL2B","peroxiredoxin like 2B","protein-coding"
"79258","MMEL1","membrane metalloendopeptidase like 1","protein-coding"
"105378597","MMEL1-AS1","MMEL1 antisense RNA 1","ncRNA"
"100287898","TTC34","tetratricopeptide repeat domain 34","protein-coding"
"105378603","LOC105378603","",""
"105378602","LOC105378602","uncharacterized LOC105378602","ncRNA"
