"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"1",139,159,110,120,124,94
"10",0,1,1,2,4,0
"100",614,491,491,433,428,404
"1000",835,682,727,629,727,626
"10000",2340,1941,1925,1689,1770,1673
"100008586",0,0,0,0,0,0
"100008587",2236,1876,1609,844,1323,1104
"100008588",17051,14538,19755,40353,16284,38747
"100008589",11161,13380,13778,26756,11190,31160
"100009601",0,1,0,0,0,0
"100009602",0,0,1,0,0,0
"100009605",1,5,1,3,0,3
"100009606",1,3,2,0,1,0
"100009607",0,0,1,0,0,0
"100009613",0,0,0,1,0,0
"100009667",57,66,33,50,69,57
"100009676",226,213,172,204,187,174
"10001",822,724,729,699,699,635
"10002",319,312,247,242,287,273
"10003",253,224,229,219,241,202
"100033411",10,7,10,6,6,9
"100033413",25,24,19,15,30,23
"100033414",24,27,23,20,17,16
"100033415",16,13,12,12,11,12
"100033416",56,66,43,42,40,32
"100033417",8,11,4,3,6,3
"100033418",39,30,36,39,36,32
"100033419",63,53,41,36,30,28
"100033420",10,13,12,7,6,11
"100033421",7,6,2,1,3,8
"100033422",3,2,0,1,3,2
"100033423",2,1,4,2,3,7
"100033424",8,16,4,2,6,5
"100033425",44,39,48,46,58,41
"100033426",57,78,53,53,50,47
"100033427",5,7,8,10,3,7
"100033428",3,12,8,2,5,9
"100033429",18,10,16,9,14,10
"100033430",164,159,120,124,161,124
"100033431",156,157,158,145,150,128
"100033432",159,119,127,123,120,102
"100033433",18,24,11,18,11,13
"100033434",12,17,12,10,11,11
"100033435",31,23,16,26,21,11
"100033436",4,5,7,8,11,6
"100033437",0,0,0,0,0,0
"100033438",68,50,52,39,52,45
"100033439",66,60,52,59,50,49
"100033440",0,0,0,0,0,0
"100033441",0,0,0,0,0,0
"100033442",0,0,0,0,0,0
"100033443",0,0,0,0,0,0
"100033444",0,0,0,0,0,0
"100033445",0,0,0,0,0,0
"100033446",0,0,0,0,0,0
"100033447",0,0,0,0,0,0
"100033448",0,0,0,0,0,0
"100033449",0,0,0,0,0,0
"100033450",0,0,0,0,0,0
"100033451",0,0,0,0,0,0
"100033453",0,0,0,0,0,0
"100033454",0,0,0,0,0,0
"100033455",0,0,0,0,0,0
"100033456",0,0,0,0,0,0
"100033458",0,0,0,0,0,0
"100033460",0,0,0,0,0,0
"100033603",0,0,0,0,0,0
"100033799",0,0,0,0,0,0
"100033800",0,0,0,0,0,0
"100033801",0,1,0,0,0,0
"100033802",0,0,0,0,0,0
"100033803",0,0,0,0,0,0
"100033804",0,0,0,0,0,0
"100033805",0,0,0,0,0,0
"100033806",0,0,0,0,0,0
"100033807",0,0,0,0,0,0
"100033808",0,0,0,0,0,0
"100033809",0,0,0,0,0,0
"100033810",0,0,0,0,0,0
"100033811",0,0,0,0,0,0
"100033812",0,0,0,0,0,0
"100033813",0,0,0,0,0,0
"100033814",0,0,0,0,0,0
"100033815",1,0,0,0,0,0
"100033816",0,0,0,0,0,0
"100033817",0,0,0,0,0,0
"100033818",0,0,0,0,0,0
"100033819",6,3,5,2,0,4
"100033820",35,21,11,16,29,21
"100033821",2,7,8,5,6,7
"100033822",1,0,0,0,0,0
"100034743",95,91,96,113,129,110
"100036563",0,0,0,0,0,0
"100036564",0,0,0,0,0,0
"100036565",0,0,0,0,0,0
"100036566",1,0,0,0,0,0
"100036567",2,0,0,0,0,0
"100037417",1014,907,828,828,747,697
"100038246",5,5,12,7,2,7
"10004",38,34,38,26,33,21
"100048912",1,3,2,3,2,7
"100049076",522,534,411,390,458,386
"100049587",3,1,2,3,1,0
"100049613",0,2,0,0,1,0
"100049614",2,8,5,12,6,1
"100049716",132,131,109,114,122,123
"10005",228,236,210,194,155,206
"10006",1823,1486,1562,1560,1608,1527
"10007",1240,1214,1127,1125,1105,1073
"100073347",0,0,0,0,0,0
"10008",24,30,29,27,30,27
"10009",1414,1210,1292,1189,1315,1240
"100093630",610,580,552,474,440,437
"100093631",7139,6404,5615,5640,6310,5879
"100093698",0,0,0,0,0,0
"1001",24,7,12,10,9,17
"10010",1083,960,858,812,834,851
"100101115",0,0,0,0,0,0
"100101116",0,0,0,0,0,0
"100101117",0,1,0,0,0,1
"100101118",0,0,0,0,0,0
"100101120",0,0,0,0,0,0
"100101121",0,0,0,0,0,0
"100101148",104,104,87,83,84,76
"100101266",8,8,5,13,6,9
"100101267",2506,2517,2096,2083,2022,1831
"100101440",161,125,113,121,140,99
"100101467",139,131,92,87,107,97
"100101478",10,7,6,2,1,2
"100101938",0,0,2,0,0,0
"10011",677,653,555,572,527,489
"100113378",10,6,8,7,6,5
"100113379",18,20,16,17,12,13
"100113380",13,24,15,15,13,5
"100113381",33,31,26,21,25,19
"100113382",2,1,1,1,0,0
"100113384",0,0,0,0,0,0
"100113386",190,203,122,135,158,137
"100113389",17,18,19,23,13,20
"100113391",14,3,7,14,9,6
"100113392",12,7,8,13,12,7
"100113393",105,110,112,72,103,65
"100113402",17,17,21,23,22,14
"100113403",0,0,0,0,0,0
"100113404",0,0,0,0,0,0
"100113407",939,899,774,774,767,640
"100124412",1,0,1,1,0,0
"100124516",19,25,15,16,21,17
"100124533",27,32,31,27,30,11
"100124534",3,11,8,9,6,6
"100124535",2,2,1,3,2,5
"100124536",10,10,8,6,7,6
"100124537",15,24,8,13,6,9
"100124538",0,0,0,0,0,0
"100124539",21,20,6,19,27,31
"100124540",0,0,0,0,0,1
"100124541",1,1,0,2,0,0
"100124700",8,4,5,2,6,4
"100125288",35,29,18,26,23,18
"100125556",183,123,163,129,104,104
"100126270",8,9,5,15,10,6
"100126296",0,0,0,0,0,0
"100126297",0,0,0,0,0,1
"100126299",3,2,5,4,3,5
"100126301",8,4,6,5,8,6
"100126302",2,0,0,0,1,0
"100126303",0,0,0,0,0,0
"100126304",0,0,0,0,0,0
"100126306",0,0,0,0,0,0
"100126307",0,0,0,0,0,0
"100126308",1,0,0,0,0,0
"100126309",3,6,4,3,5,5
"100126310",0,0,0,0,1,3
"100126311",13,13,13,11,13,8
"100126313",8,6,5,4,4,3
"100126314",6,4,2,2,2,3
"100126315",0,0,0,1,0,0
"100126316",3,6,4,2,6,0
"100126317",67,69,53,65,64,62
"100126318",0,0,0,0,0,1
"100126319",0,0,1,0,0,0
"100126320",0,0,0,0,0,0
"100126321",18,21,16,16,20,16
"100126323",6,6,5,1,7,3
"100126324",0,0,0,0,0,0
"100126325",14,11,11,16,12,10
"100126326",13,10,12,7,5,5
"100126327",11,13,13,9,7,10
"100126328",6,8,6,6,2,3
"100126329",5,7,4,6,3,4
"100126330",1,0,1,1,0,0
"100126331",5,10,1,6,6,11
"100126332",28,26,24,23,29,21
"100126333",0,0,0,0,0,0
"100126334",0,0,0,0,0,0
"100126335",1,0,0,0,0,0
"100126336",0,0,0,0,0,0
"100126337",15,7,6,8,11,13
"100126338",106,122,74,77,70,74
"100126339",6,5,3,2,2,1
"100126340",5,0,0,3,0,0
"100126341",0,0,0,0,0,0
"100126342",0,0,0,0,0,0
"100126343",2,0,1,1,1,0
"100126345",0,2,2,0,0,1
"100126346",0,0,0,0,0,0
"100126347",0,0,0,0,0,0
"100126348",7,6,2,4,1,1
"100126349",1,1,1,0,3,0
"100126350",4,14,7,12,3,3
"100126351",66,61,45,41,51,44
"100126352",6,5,3,3,2,3
"100126354",0,0,0,1,0,0
"100126355",56,47,40,39,38,38
"100126356",4,10,3,3,6,3
"100126447",0,1,1,0,0,0
"100126572",0,1,0,0,1,0
"100126584",54,70,51,67,58,44
"100126693",30,31,23,32,46,26
"100126780",0,0,0,0,0,0
"100126781",0,0,0,0,0,0
"100126784",23,33,29,14,13,10
"100126791",77,73,69,43,87,61
"100126793",253,206,187,201,205,202
"100126798",0,0,0,0,0,0
"100126799",0,0,0,0,0,0
"100126800",0,0,0,0,0,0
"100127206",0,0,0,0,0,0
"100127888",63,66,58,52,41,37
"100127950",0,1,3,1,0,0
"100127955",96,104,69,61,60,70
"100127967",0,1,1,0,0,0
"100127983",68,50,55,54,45,45
"100128002",0,0,0,0,0,0
"100128006",11,13,7,11,10,7
"100128023",25,16,11,20,26,14
"100128025",31,34,35,43,37,42
"100128054",53,55,39,40,46,36
"100128055",176,180,165,171,143,124
"100128059",0,0,1,0,0,0
"100128071",55,67,47,51,58,42
"100128076",3,7,5,3,7,5
"100128079",61,65,69,54,50,44
"100128081",6,4,10,7,8,7
"100128098",1,3,2,5,1,1
"100128108",37,47,28,40,32,27
"100128124",3,2,6,1,1,2
"100128126",42,31,29,40,32,36
"100128127",0,0,0,0,0,0
"100128139",0,0,0,0,0,0
"100128164",4,4,5,6,4,2
"100128176",30,22,24,32,28,29
"100128191",703,682,557,640,526,492
"100128233",0,0,0,0,0,0
"100128239",2,0,0,2,0,2
"100128252",0,0,1,0,0,0
"100128253",11,7,12,6,5,6
"100128260",1,1,2,0,0,4
"100128262",31,34,30,22,26,30
"100128264",0,0,0,0,0,0
"100128276",0,0,0,0,0,0
"100128285",32,29,26,20,18,27
"100128288",153,123,128,105,141,136
"100128292",45,62,32,46,57,29
"100128310",1,2,2,7,0,2
"100128317",6,1,4,2,6,3
"100128325",5,11,4,6,5,4
"100128327",1,0,0,0,0,0
"100128338",139,107,95,121,98,80
"100128340",33,30,19,22,21,23
"100128361",64,63,46,54,36,44
"100128378",7,11,12,4,3,8
"100128385",2,1,2,1,0,0
"100128386",37,39,33,26,35,30
"100128398",9,11,8,4,15,6
"100128420",0,0,0,0,0,0
"100128494",1517,1521,1277,1129,1246,1127
"100128496",0,0,0,0,0,0
"100128505",117,95,81,80,85,74
"100128511",49,51,21,29,33,32
"100128531",85,89,65,91,61,66
"100128537",303,249,227,212,259,233
"100128553",3,1,1,2,2,2
"100128554",0,0,1,0,0,0
"100128560",0,0,0,1,0,0
"100128568",12,14,7,12,14,12
"100128569",173,198,139,179,142,132
"100128590",1,1,0,0,0,0
"100128593",0,1,0,1,0,0
"100128594",19,19,18,15,18,14
"100128627",2,5,0,9,5,8
"100128640",59,47,50,41,42,50
"100128653",495,436,342,454,478,397
"100128675",5,0,0,5,2,2
"100128682",1,0,0,0,0,0
"100128688",1,0,0,0,0,0
"100128714",0,0,0,0,0,0
"100128731",1087,1006,1016,894,941,841
"100128750",211,153,155,157,157,139
"100128770",4,6,4,3,9,3
"100128782",125,137,121,107,116,129
"100128787",1,5,0,1,0,0
"100128788",111,100,98,98,89,81
"100128811",4,1,1,2,2,2
"100128818",79,93,42,54,54,49
"100128822",47,41,47,49,34,32
"100128881",393,395,355,241,267,251
"100128882",36,40,28,41,39,33
"100128885",0,0,0,0,0,0
"100128890",59,59,47,51,49,53
"100128893",5,5,4,1,2,3
"100128905",55,54,48,35,38,44
"100128908",18,5,9,9,14,10
"100128927",140,163,148,160,129,127
"100128946",0,1,0,0,2,0
"100128966",17,13,18,16,10,12
"100128977",2,0,0,1,2,0
"100128988",1,1,2,2,8,1
"100128993",1,2,1,5,6,2
"100128998",2,3,1,2,1,2
"100129027",3,4,2,3,1,5
"100129029",179,135,133,114,123,112
