"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","50/108","305/18842",0.163934426229508,28.6004857316333,36.8973787632203,3.71357119704389e-61,2.18357986386181e-57,2.18357986386181e-57,"TRIM34/STAT1/PARP9/IFIT2/IFIT3/BST2/GBP1/DDX60L/IFI27/MX1/IRF9/USP18/NLRC5/IFIH1/TRIM21/IFI44L/STAT2/MX2/SHFL/IFNL3/TRIM22/EIF2AK2/OAS1/SAMHD1/IFNL1/RSAD2/IFNB1/OASL/ADAR/HERC5/IFITM1/DDX60/IFI6/RIGI/ZNFX1/IFIT1/CASP1/TRIM25/IFIT5/OAS3/IFNL2/DTX3L/TLR3/IRF7/PLSCR1/PML/IFITM3/IFI16/ISG15/OAS2",50
"GO:0009615","response to virus","53/108","400/18842",0.1325,23.1163425925926,33.9459439772535,5.53325885700035e-60,1.6267781039581e-56,1.6267781039581e-56,"TRIM34/STAT1/PARP9/IFIT2/IFIT3/BST2/GBP1/DDX60L/IFI27/MX1/IRF9/USP18/NLRC5/IFIH1/TRIM21/LGALS9/IFI44L/STAT2/MX2/SHFL/IFNL3/TRIM22/EIF2AK2/OAS1/SAMHD1/IFNL1/RSAD2/IFNB1/OASL/ADAR/HERC5/IFITM1/DDX60/IFI6/RIGI/ZNFX1/IFIT1/CASP1/TRIM25/IFI44/IFIT5/OAS3/IFNL2/DTX3L/TLR3/IRF7/CCL5/PLSCR1/PML/IFITM3/IFI16/ISG15/OAS2",53
"GO:0048525","negative regulation of viral process","25/108","74/18842",0.337837837837838,58.9401901901902,37.9171226621365,1.28526056304139e-38,2.51911070356112e-35,2.51911070356112e-35,"STAT1/BST2/MX1/IFIH1/TRIM21/TRIM14/SHFL/IFNL3/EIF2AK2/OAS1/SP100/RSAD2/IFNB1/OASL/IFITM1/ZNFX1/IFIT1/IFIT5/OAS3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",25
"GO:0050792","regulation of viral process","29/108","136/18842",0.213235294117647,37.2016612200436,32.1703720569413,3.46583118753104e-38,5.09477184567063e-35,5.09477184567063e-35,"STAT1/BST2/MX1/IFIH1/TRIM21/LGALS9/TRIM14/SHFL/IFNL3/EIF2AK2/OAS1/SP100/RSAD2/IFNB1/OASL/ADAR/IFITM1/ZNFX1/IFIT1/TRIM25/IFIT5/OAS3/LAMP3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",29
"GO:1903900","regulation of viral life cycle","26/108","110/18842",0.236363636363636,41.2367003367003,32.1347718770852,1.66139118200483e-35,1.95379603003768e-32,1.95379603003768e-32,"BST2/MX1/IFIH1/TRIM21/LGALS9/SHFL/IFNL3/EIF2AK2/OAS1/RSAD2/IFNB1/OASL/ADAR/IFITM1/ZNFX1/IFIT1/TRIM25/IFIT5/OAS3/LAMP3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",26
"GO:0045071","negative regulation of viral genome replication","21/108","48/18842",0.4375,76.3275462962963,39.6746791283173,2.09967979079026e-35,2.05768619497445e-32,2.05768619497445e-32,"BST2/MX1/IFIH1/SHFL/IFNL3/EIF2AK2/OAS1/RSAD2/IFNB1/OASL/IFITM1/ZNFX1/IFIT1/IFIT5/OAS3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",21
"GO:0045069","regulation of viral genome replication","22/108","77/18842",0.285714285714286,49.8465608465608,32.6102151727685,3.91781544099922e-32,3.29096497043935e-29,3.29096497043935e-29,"BST2/MX1/IFIH1/SHFL/IFNL3/EIF2AK2/OAS1/RSAD2/IFNB1/OASL/ADAR/IFITM1/ZNFX1/IFIT1/IFIT5/OAS3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",22
"GO:0016032","viral process","32/108","383/18842",0.0835509138381201,14.5765399864617,20.3813524744561,1.30085329800729e-28,9.5612717403536e-26,9.5612717403536e-26,"STAT1/PARP9/BST2/MX1/IFIH1/TRIM21/LGALS9/PARP10/TRIM14/SHFL/IFNL3/EIF2AK2/OAS1/SP100/RSAD2/IFNB1/OASL/ADAR/IFITM1/ZNFX1/IFIT1/TRIM25/IFIT5/OAS3/LAMP3/IRF7/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",32
"GO:0019079","viral genome replication","22/108","110/18842",0.2,34.8925925925926,27.0680926162462,2.53777151558537e-28,1.65801072351577e-25,1.65801072351577e-25,"BST2/MX1/IFIH1/SHFL/IFNL3/EIF2AK2/OAS1/RSAD2/IFNB1/OASL/ADAR/IFITM1/ZNFX1/IFIT1/IFIT5/OAS3/CCL5/PLSCR1/IFITM3/IFI16/ISG15/OAS2",22
"GO:0140888","interferon-mediated signaling pathway","21/108","105/18842",0.2,34.8925925925926,26.4422256417913,4.66775206608233e-27,2.74463821485641e-24,2.74463821485641e-24,"STAT1/PARP9/PARP14/IFI27/USP18/NLRC5/STAT2/IFNL3/OAS1/SAMHD1/IFNL1/SP100/IFNB1/OASL/IFITM1/OAS3/IFNL2/IRF7/IFITM3/ISG15/OAS2",21
