"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0051607","defense response to virus",247,0.857127726034174,3.38052420703086,1e-10,1.4e-08,3.82543915867844e-09,292,"tags=27%, list=1%, signal=27%","RIGI/IFIT3/PARP9/DDX60/OAS3/IFIT2/DDX60L/IFIT1/DTX3L/MX1/ISG15/EIF2AK2/IFIH1/IFI6/OAS1/STAT2/PLSCR1/HERC5/OAS2/STAT1/IFIT5/IRF9/SAMHD1/ADAR/TRIM25/ZNFX1/OASL/TRIM22/IFITM1/IFI27/IRF7/IFI44L/IFI16/USP18/NLRC5/TRIM21/SHFL/RSAD2/PML/TRIM5/GBP1/IFITM3/MYD88/TRIM56/NT5C3A/ZC3HAV1/BST2/TRIM34/GBP3/TLR3/IRF1/MX2/IFITM2/IFNL2/IFNB1/NFKBIZ/NT5C2/AZI2/CASP1/IRF2/IFNL3/IFNL1/MLKL/ISG20/APOBEC3F/GBP2",NA
"GO:0009615","response to virus",320,0.808162482628651,3.27016937067258,1e-10,1.4e-08,3.82543915867844e-09,292,"tags=22%, list=1%, signal=22%","RIGI/IFIT3/PARP9/DDX60/OAS3/IFIT2/DDX60L/IFIT1/DTX3L/MX1/ISG15/EIF2AK2/IFIH1/IFI6/IFI44/OAS1/STAT2/PLSCR1/HERC5/OAS2/STAT1/IFIT5/IRF9/SAMHD1/ADAR/TRIM25/ZNFX1/OASL/TRIM22/IFITM1/IFI27/IRF7/IFI44L/IFI16/USP18/NLRC5/TRIM21/SHFL/RSAD2/PML/TRIM5/GBP1/IFITM3/MYD88/TRIM56/NT5C3A/ZC3HAV1/BST2/TRIM34/GBP3/TLR3/NMI/IRF1/MX2/LGALS9/IFITM2/IFNL2/FMR1/IFNB1/NFKBIZ/NT5C2/CCL5/AZI2/CASP1/IRF2/IFNL3/IFNL1/MLKL/ISG20/APOBEC3F/GBP2",NA
"GO:0050792","regulation of viral process",121,0.867982913273279,3.0853395602099,1e-10,1.4e-08,3.82543915867844e-09,351,"tags=31%, list=2%, signal=31%","OAS3/IFIT1/MX1/ISG15/EIF2AK2/IFIH1/OAS1/PLSCR1/OAS2/STAT1/IFIT5/ADAR/TRIM14/TRIM25/ZNFX1/OASL/SP100/IFITM1/IFI16/TRIM21/SHFL/RSAD2/TRIM5/IFITM3/TRIM38/LAMP3/ZC3HAV1/BST2/LGALS9/IFITM2/FMR1/IFNB1/CCL5/IFNL3/ISG20/CXCL8/APOBEC3F/ZFP36",NA
"GO:1903900","regulation of viral life cycle",98,0.880663372177896,3.07963065595067,1e-10,1.4e-08,3.82543915867844e-09,289,"tags=35%, list=1%, signal=34%","OAS3/IFIT1/MX1/ISG15/EIF2AK2/IFIH1/OAS1/PLSCR1/OAS2/IFIT5/ADAR/TRIM25/ZNFX1/OASL/IFITM1/IFI16/TRIM21/SHFL/RSAD2/TRIM5/IFITM3/TRIM38/LAMP3/ZC3HAV1/BST2/LGALS9/IFITM2/FMR1/IFNB1/CCL5/IFNL3/ISG20/CXCL8/APOBEC3F",NA
"GO:0048525","negative regulation of viral process",64,0.926895579891686,3.02996334608754,1e-10,1.4e-08,3.82543915867844e-09,351,"tags=47%, list=2%, signal=46%","OAS3/IFIT1/MX1/ISG15/EIF2AK2/IFIH1/OAS1/PLSCR1/OAS2/STAT1/IFIT5/TRIM14/ZNFX1/OASL/SP100/IFITM1/IFI16/TRIM21/SHFL/RSAD2/IFITM3/ZC3HAV1/BST2/IFITM2/IFNB1/CCL5/IFNL3/ISG20/APOBEC3F/ZFP36",NA
"GO:0019079","viral genome replication",99,0.869588963450419,3.01655929766981,1e-10,1.4e-08,3.82543915867844e-09,289,"tags=28%, list=1%, signal=28%","OAS3/IFIT1/MX1/ISG15/EIF2AK2/IFIH1/OAS1/PLSCR1/OAS2/IFIT5/ADAR/ZNFX1/OASL/IFITM1/IFI16/SHFL/RSAD2/IFITM3/ZC3HAV1/BST2/IFITM2/FMR1/IFNB1/CCL5/IFNL3/ISG20/CXCL8/APOBEC3F",NA
"GO:0045069","regulation of viral genome replication",71,0.902527776226321,3.00289057972561,1e-10,1.4e-08,3.82543915867844e-09,289,"tags=38%, list=1%, signal=38%","OAS3/IFIT1/MX1/ISG15/EIF2AK2/IFIH1/OAS1/PLSCR1/OAS2/IFIT5/ADAR/ZNFX1/OASL/IFITM1/IFI16/SHFL/RSAD2/IFITM3/ZC3HAV1/BST2/IFITM2/IFNB1/CCL5/IFNL3/ISG20/CXCL8/APOBEC3F",NA
"GO:0034340","response to type I interferon",105,0.840755485137056,2.99874589250663,1e-10,1.4e-08,3.82543915867844e-09,167,"tags=24%, list=1%, signal=24%","OAS3/IFIT1/MX1/ISG15/OAS1/STAT2/OAS2/STAT1/SAMHD1/OASL/SP100/IFITM1/IFI27/IRF7/USP18/NLRC5/SHFL/IFITM3/MYD88/TRIM56/PSME1/PSME2/IFITM2/IFNB1/AZI2",NA
"GO:0140888","interferon-mediated signaling pathway",85,0.870375221274644,2.95894074262505,1e-10,1.4e-08,3.82543915867844e-09,205,"tags=31%, list=1%, signal=30%","PARP9/OAS3/PARP14/ISG15/OAS1/STAT2/OAS2/STAT1/SAMHD1/OASL/SP100/IFITM1/IFI27/IRF7/USP18/NLRC5/IFITM3/MYD88/TRIM56/IRF1/IFITM2/IFNL2/IFNB1/AZI2/IFNL3/IFNL1",NA
"GO:0071357","cellular response to type I interferon",100,0.832465867885309,2.93736034235698,1e-10,1.4e-08,3.82543915867844e-09,167,"tags=23%, list=1%, signal=23%","OAS3/IFIT1/ISG15/OAS1/STAT2/OAS2/STAT1/SAMHD1/OASL/SP100/IFITM1/IFI27/IRF7/USP18/NLRC5/IFITM3/MYD88/TRIM56/PSME1/PSME2/IFITM2/IFNB1/AZI2",NA
