"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa05164","Influenza A",130,0.800774438236703,2.95105475387097,1e-10,5.86666666666667e-09,1.05688623015846e-09,362,"tags=19%, list=2%, signal=19%","23586/4940/4599/5610/64135/4938/6773/4939/6772/10379/103/7706/3665/91543/5371/4615/7098/8743/4600/3456/6352/834/3576/10241/2224",NA
"hsa05168","Herpes simplex virus 1 infection",142,0.781647236022654,2.85797566392241,1e-10,5.86666666666667e-09,1.05688623015846e-09,761,"tags=23%, list=4%, signal=23%","23586/4940/5610/64135/4938/6773/4939/6772/10379/6672/3665/5371/6891/567/6890/4615/56829/684/7098/3133/3107/3134/3106/3456/6352/718/6892/8740/842/3717/727/5451/29915",NA
"hsa05162","Measles",104,0.806375414688016,2.80237426291261,1e-10,5.86666666666667e-09,1.05688623015846e-09,490,"tags=17%, list=2%, signal=17%","23586/4940/4599/5610/64135/4938/6773/4939/6772/10379/103/3665/4615/4600/3456/2353/4179/842",NA
"hsa05160","Hepatitis C",132,0.75620113721732,2.72471192947841,1e-10,5.86666666666667e-09,1.05688623015846e-09,525,"tags=14%, list=2%, signal=14%","23586/4940/3434/4599/5610/4938/6773/4939/6772/10379/3665/91543/7098/4600/3456/8837/9075/842/3949",NA
"hsa05169","Epstein-Barr virus infection",162,0.708298397121071,2.67191676445558,1e-10,5.86666666666667e-09,1.05688623015846e-09,378,"tags=14%, list=2%, signal=13%","23586/4940/9636/5610/4938/6773/4939/6772/10379/3665/6891/567/6890/4615/3133/3107/3134/3106/3456/6892/10018/5608",NA
"hsa05171","Coronavirus disease",189,0.697565637398731,2.65294857470753,1e-10,5.86666666666667e-09,1.05688623015846e-09,412,"tags=13%, list=2%, signal=13%","23586/4940/4599/9636/5610/64135/4938/6773/4939/6772/10379/103/4615/7098/629/715/4600/716/3456/834/718/3576/2353/59272",NA
"hsa04622","RIG-I-like receptor signaling pathway",56,0.792715494106529,2.54551669484251,2.02297408036188e-07,6.47351705715801e-06,1.1662109724556e-06,375,"tags=20%, list=2%, signal=19%","23586/9636/64135/103/7706/57169/3665/3456/64343/3576/79132",0.690132458796796
"hsa04621","NOD-like receptor signaling pathway",140,0.694246004280087,2.52761305611992,1.21798841273557e-09,5.3591490160365e-08,9.65456386434585e-09,636,"tags=21%, list=3%, signal=20%","4940/4938/6773/4939/6772/10379/3665/3428/2633/4615/2635/10616/55072/115361/3456/6352/834/10135/3708/3576/2634/2921/2920/3709/7295/837/2919/79792/8737",0.788186810800237
"hsa03030","DNA replication",36,-0.687501308617358,-2.35788281364648,1.23979862176412e-07,4.36409114860969e-06,7.86195654907158e-07,3897,"tags=64%, list=18%, signal=52%","5984/5557/5982/5558/56655/84153/10535/23649/5422/4172/6117/6118/246243/4171/4176/5425/5426/4174/2237/4175/3978/54107/5424",0.690132458796796
"hsa03040","Spliceosome",155,-0.497543849566827,-2.28518492066181,1.87020016415097e-10,9.40443511115914e-09,1.69421897239821e-09,5250,"tags=49%, list=25%, signal=37%","9775/27258/84950/9984/23451/27316/22985/5356/6429/6100/6631/5093/22794/988/11325/1665/6426/9128/22916/51690/3304/8175/84321/79753/56949/153527/6633/26829/6632/22938/4670/54883/10929/10946/10907/6628/9410/3303/7536/1659/27238/79228/9785/10523/199746/26831/26869/6636/3183/26863/26832/10594/10713/24148/9343/26830/6060/84844/10262/26121/8563/26871/8683/6625/9416/10189/4809/8449/3312/22827/10291/10992/23020/11338/9092/25766",0.826657301178302
