"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"3433",934.622943436622,4.2746199232636,0.108139341232036,39.5956068608252,0,0,"IFIT2","interferon induced protein with tetratricopeptide repeats 2","protein-coding","3433","Up in ZIKV",293.418487455858,290.042133583132
"3437",1263.91589022325,3.83463071294712,0.0889593320208341,43.1796550503733,0,0,"IFIT3","interferon induced protein with tetratricopeptide repeats 3","protein-coding","3437","Up in ZIKV",293.418487455858,290.042133583132
"85441",1779.23433230436,3.39288746859682,0.0834704747215346,40.7320153843569,0,0,"HELZ2","helicase with zinc finger 2","protein-coding","85441","Up in ZIKV",293.418487455858,290.042133583132
"55601",1796.27586668864,3.14829421323248,0.0745203391658481,42.3254976777261,0,0,"DDX60","DExD/H-box helicase 60","protein-coding","55601","Up in ZIKV",293.418487455858,290.042133583132
"23586",2211.73338678859,3.03241969617907,0.0703614721135298,43.1842463876125,0,0,"RIGI","RNA sensor RIG-I","protein-coding","23586","Up in ZIKV",293.418487455858,290.042133583132
"83666",2164.94227418042,2.83683035119474,0.0660455187448331,43.0279781420219,0,0,"PARP9","poly(ADP-ribose) polymerase family member 9","protein-coding","83666","Up in ZIKV",293.418487455858,290.042133583132
"4940",6760.61079849143,2.19097925848884,0.051914394489162,42.2726876509318,0,0,"OAS3","2'-5'-oligoadenylate synthetase 3","protein-coding","4940","Up in ZIKV",293.418487455858,290.042133583132
"54625",5821.89271227229,2.01998191654787,0.0511482906443275,39.5670605301873,0,0,"PARP14","poly(ADP-ribose) polymerase family member 14","protein-coding","54625","Up in ZIKV",293.418487455858,290.042133583132
"91351",3095.64758126311,2.04387333552096,0.0558852934856796,36.6549574352911,3.81515813805839e-294,9.07541339752133e-291,"DDX60L","DExD/H-box 60 like","protein-coding","91351","Up in ZIKV",293.418487455858,290.042133583132
"3434",3203.33648460352,5.99887199694484,0.16740158692795,35.9460161757225,5.84133763162765e-283,1.25057197355516e-279,"IFIT1","interferon induced protein with tetratricopeptide repeats 1","protein-coding","3434","Up in ZIKV",282.233487690642,278.902891308477
"151636",3071.80345946307,2.16140309277721,0.0606476020250275,35.7247607136752,1.63159739335941e-279,3.1755335085847e-276,"DTX3L","deltex E3 ubiquitin ligase 3L","protein-coding","151636","Up in ZIKV",278.787386997183,275.498183300177
"4599",1230.20864001101,7.10368354990626,0.201938905552933,35.1312047690916,2.2513074262922e-270,4.01652005745748e-267,"MX1","MX dynamin like GTPase 1","protein-coding","4599","Up in ZIKV",269.647565196059,266.396150059941
"23237",25.1520590289443,-1.88047392221817,0.436936569602189,-4.91770457068744,8.75649292405465e-07,9.46806853591343e-05,"ARC","activity regulated cytoskeleton associated protein","protein-coding","23237","Down in ZIKV",6.05766979893469,4.02373860703137
"100131897",54.7596064846864,-1.15214024926674,0.27266003104919,-4.8637194551157,1.15200166118334e-06,0.000120898056687619,"INSYN2B","inhibitory synaptic factor family member 2B","protein-coding","100131897","Down in ZIKV",5.93854689466086,3.91758067992191
"105369559",55.339888226029,-1.10837978241112,0.262915166853241,-4.85245715448378,1.21941133794651e-06,0.000126117764899018,"LOC105369559","uncharacterized LOC105369559","ncRNA","105369559","Down in ZIKV",5.91384977127513,3.8992237345672
"374897",30.085565043624,-1.64381804524804,0.406819650091408,-4.70582501003694,2.52841334521161e-06,0.000250605561609423,"SBSN","suprabasin","protein-coding","374897","Down in ZIKV",5.5971519260897,3.60100929507578
"59344",22.0052760796558,-1.60659081129116,0.459176794737674,-4.24460556888739,2.18978257445278e-05,0.0017980442341522,"ALOXE3","arachidonate lipoxygenase 3","protein-coding","59344","Down in ZIKV",4.65959900452202,2.74519962828026
"56155",39.5917521730457,-1.09779203626154,0.325410594145816,-4.15453980326852,3.25942877425703e-05,0.00257494873166305,"TEX14","testis expressed 14, intercellular bridge forming factor","protein-coding","56155","Down in ZIKV",4.48685850481711,2.58923141352667
"26585",19.8236696917601,-1.64637683040391,0.517167309795115,-4.00475908410032,6.20807176569512e-05,0.00446002041717338,"GREM1","gremlin 1, DAN family BMP antagonist","protein-coding","26585","Down in ZIKV",4.20704327124967,2.35066315316108
"105379051",13.5844267048505,-1.93527285392999,0.618865475118791,-3.92686473641648,8.60603468396836e-05,0.00590533963298329,"LOC105379051","uncharacterized LOC105379051","ncRNA","105379051","Down in ZIKV",4.06519690795998,2.22875511981358
"83716",18.8931736881001,-1.39764134541524,0.491995414339555,-3.74177163572913,0.000182727525886917,0.0111453378966183,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","protein-coding","83716","Down in ZIKV",3.73819602604452,1.9529067603455
