"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000000003",437,690,350,1875,1877,2061
"ENSG00000000419",1675,3022,1345,1073,1153,1512
"ENSG00000000457",338,359,245,229,311,276
"ENSG00000000460",186,229,192,338,443,496
"ENSG00000000938",44,38,14,0,1,0
"ENSG00000000971",263,415,293,725,1446,2162
"ENSG00000001036",499,665,397,1339,1777,1623
"ENSG00000001084",731,934,611,2993,4233,3864
"ENSG00000001167",332,399,303,718,679,863
"ENSG00000001460",277,371,217,251,186,261
"ENSG00000001461",336,270,232,668,522,532
"ENSG00000001497",959,1134,864,2721,3898,3645
"ENSG00000001561",111,128,79,142,156,129
"ENSG00000001617",164,160,138,1217,1452,1395
"ENSG00000001626",1,13,3,19,17,19
"ENSG00000001629",1165,1197,862,2651,2437,2470
"ENSG00000001630",107,95,70,224,1052,289
"ENSG00000001631",231,331,206,164,215,196
"ENSG00000002016",641,650,570,356,553,492
"ENSG00000002079",174,132,109,42,22,21
"ENSG00000002330",179,308,139,210,585,238
"ENSG00000002549",475,825,399,1205,1601,1680
"ENSG00000002586",1363,2088,1083,4859,5896,4474
"ENSG00000002587",32,59,36,47,44,58
"ENSG00000002745",44,58,28,2,0,2
"ENSG00000002746",107,101,58,322,355,306
"ENSG00000002822",16,6,21,10,14,3
"ENSG00000002834",3625,4244,3049,11805,14089,13055
"ENSG00000002919",1020,1834,961,663,855,858
"ENSG00000003056",1990,2802,1885,2957,2702,3221
"ENSG00000003096",12,21,14,56,91,85
"ENSG00000003137",296,412,378,1009,1393,1068
"ENSG00000003147",37,91,37,78,72,94
"ENSG00000003249",340,509,340,1975,1622,2116
"ENSG00000003393",1048,1284,887,1030,1366,1176
"ENSG00000003400",1051,857,676,195,176,180
"ENSG00000003402",8172,8673,6270,3498,3450,2789
"ENSG00000003436",1238,1694,1082,4212,2199,2763
"ENSG00000003509",526,830,471,754,1005,1014
"ENSG00000003756",2369,2573,2063,1198,1346,1205
"ENSG00000003987",127,127,84,46,23,39
"ENSG00000003989",697,867,654,207,488,507
"ENSG00000004059",654,1358,676,1915,2600,2313
"ENSG00000004139",289,165,200,233,277,195
"ENSG00000004142",2374,3607,2056,4340,5312,5502
"ENSG00000004399",679,538,538,5887,4105,3819
"ENSG00000004455",2147,3338,1897,2703,4414,3899
"ENSG00000004468",210,324,247,187,287,336
"ENSG00000004478",1429,2404,1341,4286,7922,6777
"ENSG00000004487",1135,1592,1068,3508,4227,3534
"ENSG00000004534",1574,1603,1322,1415,1883,1624
"ENSG00000004660",245,255,220,1300,1341,1038
"ENSG00000004700",548,569,450,1133,1690,1589
"ENSG00000004766",194,270,173,511,651,564
"ENSG00000004776",48,27,42,10,14,19
"ENSG00000004777",193,252,267,382,548,351
"ENSG00000004779",687,1431,658,997,1957,1688
"ENSG00000004799",118,178,109,1468,2167,2725
"ENSG00000004838",34,47,35,20,23,23
"ENSG00000004848",35,36,17,36,116,92
"ENSG00000004864",607,833,473,1414,1889,1755
"ENSG00000004866",532,610,424,442,337,465
"ENSG00000004897",2107,2663,1808,3287,3218,3633
"ENSG00000004948",83,74,55,2,1,1
"ENSG00000004961",1520,2783,1452,1225,1465,1531
"ENSG00000004975",854,1068,822,2287,2115,2367
"ENSG00000005007",2512,2684,2305,3279,4037,3262
"ENSG00000005020",719,739,539,1505,1357,1507
"ENSG00000005022",1362,3086,1403,10565,14048,14984
"ENSG00000005059",136,197,99,672,725,697
"ENSG00000005073",98,162,89,24,13,11
"ENSG00000005075",925,1951,803,1046,858,1295
"ENSG00000005100",1259,1530,1214,2256,2639,2515
"ENSG00000005108",393,379,400,2763,3192,2776
"ENSG00000005156",573,696,540,1674,1920,1828
"ENSG00000005175",918,1334,805,1484,1787,2072
"ENSG00000005187",22,23,19,183,281,301
"ENSG00000005189",651,779,517,227,247,260
"ENSG00000005194",1274,2019,1248,1412,2441,1939
"ENSG00000005206",739,679,564,1118,1801,1167
"ENSG00000005238",812,1066,680,661,546,570
"ENSG00000005243",242,279,196,183,233,186
"ENSG00000005249",62,71,52,315,368,316
"ENSG00000005302",871,1122,702,1025,1349,1112
"ENSG00000005339",3231,2483,2815,2626,1572,1737
"ENSG00000005421",92,116,82,48,65,53
"ENSG00000005436",533,657,408,622,496,636
"ENSG00000005448",899,1752,836,1740,1576,2078
"ENSG00000005469",183,243,128,607,629,631
"ENSG00000005483",3926,4309,3478,1549,941,1232
"ENSG00000005486",942,1259,777,2304,2230,2142
"ENSG00000005513",101,100,60,20,26,21
"ENSG00000005700",1599,1960,1482,2709,3578,3196
"ENSG00000005801",973,1336,843,877,793,871
"ENSG00000005810",1243,1352,1297,1056,1475,1071
"ENSG00000005812",881,1321,723,584,528,518
"ENSG00000005882",99,75,71,496,344,429
"ENSG00000005884",5760,3974,3498,24812,21819,18592
"ENSG00000005889",1607,1701,1480,1379,1266,982
"ENSG00000005893",1815,1698,1066,3899,2824,3584
"ENSG00000005961",156,130,130,183,244,193
"ENSG00000005981",140,133,80,164,301,367
"ENSG00000006007",862,1097,676,2177,2045,2165
"ENSG00000006015",283,527,275,961,2281,1113
"ENSG00000006016",225,98,70,250,162,122
"ENSG00000006025",973,1350,1006,503,500,498
"ENSG00000006042",125,248,115,1118,1226,1084
"ENSG00000006047",13,22,19,91,138,120
"ENSG00000006062",2501,2506,2278,2096,2547,1973
"ENSG00000006071",90,111,82,133,95,86
"ENSG00000006118",3161,3535,2746,5696,7300,5108
"ENSG00000006125",7694,7953,6304,14687,14954,14818
"ENSG00000006194",3898,5287,3201,1011,1559,1243
"ENSG00000006210",102,115,64,11,15,9
"ENSG00000006282",838,1221,779,4453,4529,3807
"ENSG00000006283",225,220,154,610,676,457
"ENSG00000006327",4869,11337,6116,6827,7240,6204
"ENSG00000006432",806,650,691,857,1308,872
"ENSG00000006451",990,1486,749,985,826,1016
"ENSG00000006453",2216,2591,1755,3703,3843,2954
"ENSG00000006459",1751,1535,1211,263,243,190
"ENSG00000006468",34,33,23,92,122,144
"ENSG00000006530",962,1325,822,1119,1165,1401
