"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005925","focal adhesion","249/6927","403/19979",0.617866004962779,1.78206220775969,11.5542539911138,3.81898629145896e-29,1.9234297870901e-26,1.88736657203524e-26,"PRKAR2A/RPL13A/PACSIN2/KIF23/RPS8/TEK/B2M/PEAK3/SDC4/RRAS2/CAPN5/RPLP1/TRIM15/ICAM1/FLOT2/RPL22/RPS13/PARVB/ARPC3/IQGAP1/TNS3/FBLIM1/EGFR/CAPN2/CDH2/CSRP2/ITGA4/RPL12/NRP1/TGM2/MRC2/FLNB/HMGA1/RPS11/YWHAE/ACTN2/CASS4/CDC42/RRAS/ILK/DNM2/RAET1E/ATAT1/CYFIP1/GNB2/PDCD6IP/RPS9/PXN/G3BP1/CNN1/ASAP3/ITGA11/RPS29/ITGA8/MAP2K2/PALLD/HSPA8/ACTG1/RPS7/DIXDC1/HSPA9/ACTN4/NPHS1/CD9/CFL1/DST/MPRIP/SRC/HSP90B1/EVL/RAB21/RAC1/GDI2/PDLIM7/RPL3/SYNE2/PTK7/MARCKS/ITGB1/PDLIM1/ITGB8/RPS14/ARPC1B/CD151/GSN/SLC4A2/THY1/SCARF2/CYBA/AVIL/RPS3A/CAV2/CD99/JAK1/RPL5/EHD3/ITGA5/RPLP2/ITGAV/FBLN7/LAP3/RPL27/ADD1/PCBP2/MISP/RPS16/TNS1/CASK/MSN/TLN1/CAPN1/P4HB/RPS2/CLTC/LPXN/PPIB/ZNF185/MAP4K4/CAP1/GIT1/MAPK1/ACTB/CAV3/RPS10/RHOU/APBB1IP/HSPG2/FERMT1/RPL19/RPS19/TLN2/YWHAZ/PLAUR/TNS2/PPP1CB/RPL37A/CLASP2/CPNE3/CALR/FLNA/SNTB1/GJA1/XIRP1/FZD1/ITGB6/RHOB/SORBS3/SCARB2/ITGA3/NCKAP1/RPL18/FOCAD/PABPC1/FHL1/FLOT1/ANXA1/LIMK1/SYNPO2/RPL6/ITGA6/NPM1/ZFYVE21/RPS5/ARPC5/CD81/ADAM10/ACTN1/PDIA3/RPL10A/HNRNPK/LMO7/CHP1/ATP6V0C/DDR2/ITGB4/MAPRE1/CAV1/ITGBL1/EZR/ACTR2/DOCK7/DAG1/AHNAK/IGF2R/CD99L2/FZD2/PLEC/PTPN11/PFN1/RAB10/TNS4/RPS17/ITGB5/RND3/JUP/NHERF2/PRAG1/HACD3/RDX/RPL9/RHOA/ANXA6/RPL4/ADAM9/TPM4/LRP1/CNN2/YWHAB/ARHGAP31/ADGRE5/CD46/ITGB7/RPS18/RPS4X/YWHAQ/PRUNE1/LAMTOR3/RSU1/MTSS2/EFNB2/SHC1/PARVA/CAT/MYH9/GNA12/RPS3/CSRP1/RPLP0/TRIOBP/ARHGAP24/MAPK3/ACTN3/PPIA/SPRY4/TSPAN4/RPL7A/RPL8/ITGB2/BSG/FAP/STARD8/DAB2/LASP1/AKAP12/PROCR/VCL/RPL7/NEDD9/SLC6A4",249
"GO:0030055","cell-substrate junction","254/6927","414/19979",0.613526570048309,1.76954631774147,11.5267022401606,5.0285746067715e-29,1.9234297870901e-26,1.88736657203524e-26,"PRKAR2A/RPL13A/PACSIN2/KIF23/RPS8/TEK/B2M/PEAK3/SDC4/RRAS2/CAPN5/RPLP1/TRIM15/ICAM1/FLOT2/RPL22/RPS13/PARVB/ARPC3/IQGAP1/TNS3/FBLIM1/EGFR/CAPN2/CDH2/CSRP2/ITGA4/RPL12/NRP1/TGM2/MRC2/FLNB/HMGA1/RPS11/YWHAE/ACTN2/CASS4/CDC42/RRAS/ILK/DNM2/RAET1E/ATAT1/CYFIP1/GNB2/PDCD6IP/RPS9/PXN/G3BP1/CNN1/ASAP3/ITGA11/RPS29/ITGA8/MAP2K2/PALLD/HSPA8/ACTG1/RPS7/DIXDC1/HSPA9/ACTN4/NPHS1/CD9/CFL1/DST/MPRIP/SRC/HSP90B1/EVL/RAB21/RAC1/GDI2/LAMA3/PDLIM7/RPL3/SYNE2/PTK7/MARCKS/ITGB1/PDLIM1/ITGB8/RPS14/ARPC1B/CD151/GSN/SLC4A2/THY1/SCARF2/CYBA/AVIL/RPS3A/CAV2/CD99/JAK1/RPL5/EHD3/ITGA5/RPLP2/ITGAV/FBLN7/LAP3/RPL27/ADD1/PCBP2/MISP/RPS16/TNS1/CASK/MSN/TLN1/CAPN1/P4HB/RPS2/CLTC/LPXN/PPIB/ZNF185/DMD/MAP4K4/CAP1/GIT1/MAPK1/ACTB/CAV3/RPS10/RHOU/APBB1IP/HSPG2/FERMT1/RPL19/RPS19/TLN2/YWHAZ/PLAUR/TNS2/PPP1CB/RPL37A/CLASP2/CPNE3/CALR/FLNA/SNTB1/GJA1/XIRP1/FZD1/ITGB6/RHOB/SORBS3/SCARB2/ITGA3/NCKAP1/RPL18/FOCAD/PABPC1/FHL1/FLOT1/ANXA1/LIMK1/SYNPO2/RPL6/ITGA6/NPM1/ZFYVE21/RPS5/ARPC5/CD81/ADAM10/ACTN1/PDIA3/RPL10A/HNRNPK/LMO7/CHP1/ATP6V0C/DDR2/ITGB4/MAPRE1/COL17A1/EPPK1/CAV1/ITGBL1/EZR/ACTR2/DOCK7/DAG1/AHNAK/IGF2R/CD99L2/FZD2/PLEC/PTPN11/PFN1/RAB10/TNS4/RPS17/ITGB5/RND3/JUP/CIB2/NHERF2/PRAG1/HACD3/RDX/RPL9/RHOA/ANXA6/RPL4/ADAM9/TPM4/LRP1/CNN2/YWHAB/ARHGAP31/ADGRE5/CD46/ITGB7/RPS18/RPS4X/YWHAQ/PRUNE1/LAMTOR3/RSU1/MTSS2/EFNB2/SHC1/PARVA/CAT/MYH9/GNA12/RPS3/CSRP1/RPLP0/TRIOBP/ARHGAP24/MAPK3/ACTN3/PPIA/SPRY4/TSPAN4/RPL7A/RPL8/ITGB2/BSG/FAP/STARD8/DAB2/LASP1/AKAP12/PROCR/VCL/RPL7/NEDD9/SLC6A4",254
"GO:0005788","endoplasmic reticulum lumen","196/6927","338/19979",0.579881656804734,1.67250694691811,9.08413109282762,9.82922739329338e-19,2.50645298528981e-16,2.45945841671232e-16,"COL4A1/APOA1/UGGT1/LTBP1/DNAJC10/COLGALT1/TOR1A/F10/CHRDL1/GIP/VKORC1/B2M/ERAP2/PDIA5/SPP1/COL13A1/MMRN2/SUMF2/CDH2/LAMB1/GANAB/COL11A2/QSOX1/CFP/DNAJB9/EBI3/MTTP/FGA/PDGFA/EDEM2/JMJD8/POGLUT3/OS9/ANO8/BMP4/FUCA2/MBTPS1/SHISA5/PDGFD/TIMP1/VCPIP1/UGT1A1/VCAN/CRTAP/FGG/FN1/CASQ1/CST3/RNASET2/CERCAM/TOR3A/ARSB/CALU/WFS1/PDIA4/TSPAN33/SUMF1/HSP90B1/KTN1/PCSK9/TXNDC5/FOXRED2/CTSC/LAMC1/CCN1/VTN/IGFBP1/RDH5/COL6A1/VGF/RCN1/CSF1/COL22A1/COL4A6/JAK1/CP/VWA1/NUCB1/COL4A4/COL4A5/H6PD/LRPAP1/PDGFB/SLC27A2/P4HB/ARSI/COLGALT2/PPIB/APOL1/CDH1/P3H1/ITIH2/EVA1A/STC2/MAPK1/ERP29/BCHE/FKBP7/CANX/TXNDC16/TGOLN2/WNT5B/SERPINA10/F5/PRKAG1/PLAUR/WNT7B/TSPAN5/CCDC134/TSPAN14/GPX8/FSTL1/CALR/CES1/WNT5A/COL7A1/COL4A2/PRKCSH/SHH/PDIA6/CLN6/COL5A3/AFP/IGFBP7/POGLUT1/C4A/FKBP10/WNT7A/SIL1/RCN3/SELENOM/SELENOF/CTSZ/LGALS1/APLP2/ADAM10/SERPINC1/CKAP4/PDIA3/TF/PROC/ARSA/GCG/POGLUT2/COL5A1/COL17A1/ESD/MELTF/IL23A/CLU/F2/TXNDC12/COL11A1/FBN1/DAG1/COL18A1/F8/ERO1A/COL28A1/TOR4A/EMID1/UGGT2/P4HA3/NEK2/MFGE8/CNPY3/COL21A1/ERLEC1/TBXAS1/ASPH/COL9A3/COL4A3/COL6A2/ARSL/FAM20C/ARSD/IGFBP4/MSLN/IL12A/TSPAN15/IL6/MGAT4A/PRKAB2/HRC/IGFBP3/MAPK3/SPON1/RCN2/SERPINH1/PRSS23/GOLM1/COL5A2/MINPP1/APP/COL8A2/MATN3",196
"GO:0034774","secretory granule lumen","175/6927","328/19979",0.533536585365854,1.53883751104726,7.16823906875457,2.23228321134944e-12,4.2692416417058e-10,4.1891957879505e-10,"APOA1/NPC2/PYGL/GIP/QPCT/B2M/GGH/IMPDH2/KPNB1/ELANE/GRN/GM2A/HMGB1/HSPA6/GPI/QSOX1/CFP/ACTN2/FGA/NME2/OSCAR/PDGFA/DPP7/DERA/CYFIP1/FUCA2/CYB5R3/PROS1/TIMP1/GLB1/FGG/SERPINF2/FN1/RNASET2/HSPA8/ALAD/SERPINB1/ARSB/GNS/HEBP2/ACTN4/CCT2/VTI1B/HPSE/TXNDC5/TIMP4/CTSC/GDI2/GSDMD/PYGB/MVP/COMMD9/FTL/GSN/UNC13D/NIT2/PFKL/A1BG/EEF1A1/IMPDH1/PRTN3/S100P/AZU1/ORM2/ROCK1/NFKB1/TUBB/APOH/IGF2/AGA/PDGFB/PKM/PDXK/PSMD1/SPARC/PA2G4/NAPRT/CAP1/LGALS3BP/GALNS/HSP90AA1/FGR/MAPK1/ARHGAP9/TGFB3/CREG1/CTSA/IDH1/HSP90AB1/F5/DOCK2/CTSH/AGL/ALDOA/CPPED1/PRDX6/VEGFB/HEXB/PTPN6/CRACR2A/PCYOX1L/CYRIB/CRISPLD2/SRP14/DSN1/PSMD2/CDA/VCP/EPX/PTGES2/TEX264/GCA/CTSZ/DNASE1L1/SCCPDH/ARPC5/ADM/ACTN1/TF/PSMD14/ARSA/APRT/GCG/OLA1/MAGED2/TIMP2/FGB/CLU/XRCC6/ACTR2/TGFB1/PYCARD/CTSD/F8/GSTP1/SERPINI1/TOR4A/FUCA1/JUP/OSTF1/FABP5/GHDC/SERPINE1/RAB27A/EEF2/PRDX4/GMFG/TGFB2/ANXA2/CNN2/PSMB1/PRSS57/VAT1/TMSB4X/CXCL1/CTSW/PGM2/CAT/PLG/ACLY/HUWE1/CAND1/GUSB/PPIA/XRCC5/APP/PADI2/PNP/GLA/HK3/PGAM1/CFD/SLPI/VCL/CCT8",175
"GO:0031983","vesicle lumen","176/6927","334/19979",0.526946107784431,1.51982911612894,6.9793966970328,7.80041951007588e-12,1.19346418504161e-09,1.17108741004607e-09,"APOA1/NPC2/PYGL/GIP/QPCT/B2M/GGH/IMPDH2/KPNB1/ELANE/GRN/GM2A/HMGB1/EGFR/HSPA6/GPI/QSOX1/CFP/ACTN2/FGA/NME2/OSCAR/PDGFA/DPP7/DERA/CYFIP1/FUCA2/CYB5R3/PROS1/TIMP1/GLB1/FGG/SERPINF2/FN1/RNASET2/HSPA8/ALAD/SERPINB1/ARSB/GNS/HEBP2/ACTN4/CCT2/VTI1B/HPSE/TXNDC5/TIMP4/CTSC/GDI2/GSDMD/PYGB/MVP/COMMD9/FTL/GSN/UNC13D/NIT2/PFKL/A1BG/EEF1A1/IMPDH1/PRTN3/S100P/AZU1/ORM2/ROCK1/NFKB1/TUBB/APOH/IGF2/AGA/PDGFB/PKM/PDXK/PSMD1/SPARC/PA2G4/NAPRT/CAP1/LGALS3BP/GALNS/HSP90AA1/FGR/MAPK1/ARHGAP9/TGFB3/CREG1/CTSA/IDH1/HSP90AB1/F5/DOCK2/CTSH/AGL/ALDOA/CPPED1/PRDX6/VEGFB/HEXB/PTPN6/CRACR2A/PCYOX1L/CYRIB/CRISPLD2/SRP14/DSN1/PSMD2/CDA/VCP/EPX/PTGES2/TEX264/GCA/CTSZ/DNASE1L1/SCCPDH/ARPC5/ADM/ACTN1/TF/PSMD14/ARSA/APRT/GCG/OLA1/MAGED2/TIMP2/FGB/CLU/XRCC6/ACTR2/TGFB1/PYCARD/CTSD/F8/GSTP1/SERPINI1/TOR4A/FUCA1/JUP/OSTF1/FABP5/GHDC/SERPINE1/RAB27A/EEF2/PRDX4/GMFG/TGFB2/ANXA2/CNN2/PSMB1/PRSS57/VAT1/TMSB4X/CXCL1/CTSW/PGM2/CAT/PLG/ACLY/HUWE1/CAND1/GUSB/PPIA/XRCC5/APP/PADI2/PNP/GLA/HK3/PGAM1/CFD/SLPI/VCL/CCT8",176
"GO:0060205","cytoplasmic vesicle lumen","175/6927","333/19979",0.525525525525526,1.51573184271322,6.913835772508,1.20188062956331e-11,1.53239780269323e-09,1.50366621504753e-09,"APOA1/NPC2/PYGL/GIP/QPCT/B2M/GGH/IMPDH2/KPNB1/ELANE/GRN/GM2A/HMGB1/HSPA6/GPI/QSOX1/CFP/ACTN2/FGA/NME2/OSCAR/PDGFA/DPP7/DERA/CYFIP1/FUCA2/CYB5R3/PROS1/TIMP1/GLB1/FGG/SERPINF2/FN1/RNASET2/HSPA8/ALAD/SERPINB1/ARSB/GNS/HEBP2/ACTN4/CCT2/VTI1B/HPSE/TXNDC5/TIMP4/CTSC/GDI2/GSDMD/PYGB/MVP/COMMD9/FTL/GSN/UNC13D/NIT2/PFKL/A1BG/EEF1A1/IMPDH1/PRTN3/S100P/AZU1/ORM2/ROCK1/NFKB1/TUBB/APOH/IGF2/AGA/PDGFB/PKM/PDXK/PSMD1/SPARC/PA2G4/NAPRT/CAP1/LGALS3BP/GALNS/HSP90AA1/FGR/MAPK1/ARHGAP9/TGFB3/CREG1/CTSA/IDH1/HSP90AB1/F5/DOCK2/CTSH/AGL/ALDOA/CPPED1/PRDX6/VEGFB/HEXB/PTPN6/CRACR2A/PCYOX1L/CYRIB/CRISPLD2/SRP14/DSN1/PSMD2/CDA/VCP/EPX/PTGES2/TEX264/GCA/CTSZ/DNASE1L1/SCCPDH/ARPC5/ADM/ACTN1/TF/PSMD14/ARSA/APRT/GCG/OLA1/MAGED2/TIMP2/FGB/CLU/XRCC6/ACTR2/TGFB1/PYCARD/CTSD/F8/GSTP1/SERPINI1/TOR4A/FUCA1/JUP/OSTF1/FABP5/GHDC/SERPINE1/RAB27A/EEF2/PRDX4/GMFG/TGFB2/ANXA2/CNN2/PSMB1/PRSS57/VAT1/TMSB4X/CXCL1/CTSW/PGM2/CAT/PLG/ACLY/HUWE1/CAND1/GUSB/PPIA/XRCC5/APP/PADI2/PNP/GLA/HK3/PGAM1/CFD/SLPI/VCL/CCT8",175
"GO:0009925","basal plasma membrane","161/6927","305/19979",0.527868852459016,1.52249051584794,6.69872367628246,5.03645196230142e-11,5.50412250165798e-09,5.40092333379759e-09,"MET/SLC29A1/ABCC1/SLC23A2/TEK/SLCO4C1/STX2/TFRC/SLC9A2/FLOT2/AQP3/IQGAP1/LDLR/ATP1B1/GM2A/EGFR/LDLRAP1/SLC6A12/CDH2/CFTR/ANXA13/CLDN7/AQP9/PDZD11/MTTP/SPEF1/KCNJ10/SLCO1C1/CDH17/PIANP/NOD2/ENPP1/NKD2/VSIG1/SLC1A3/CADM1/SLC19A1/DST/SLC17A5/IDE/ATP1A1/DLG3/SLC16A3/PLPP3/SLC6A13/MAP7/SLC4A2/SLC4A4/DSP/CHRM3/TRPC4/MUC20/AURKA/SLC47A1/DTNB/SLC12A2/B4GALT1/SLC4A8/ABCA8/CASK/SLCO4A1/MSN/PDGFB/SLC16A6/EPB41/RHCG/MYO1C/KCNJ16/HPGD/SLC46A1/EPCAM/ANK3/SLC14A1/AQP7/CA12/HSP90AA1/CTNNA2/SLC51A/SLC16A5/SLC22A3/CEACAM1/FXYD5/SLCO1A2/SLC2A1/NOD1/ABCC4/CLDN19/SLC22A1/NDRG4/SLC5A3/SCN3A/SLC22A2/ANK1/SLC22A5/EPS15/SLC13A3/SLC40A1/SLC7A5/ITGA3/RAB17/SLC26A7/FLOT1/LIN7A/ANXA1/SCRIB/MARVELD2/SLC7A7/SLC29A4/PKD2/CD81/SLC8A2/TF/SLC4A9/SLC16A7/CHP1/ATP2C2/VANGL2/BMPR2/ITGB4/ADORA1/EPPK1/CAV1/EZR/DAG1/BEST2/SLC6A6/SLC27A5/LEPR/TGFBR3/PALM/GPIHBP1/SLC4A7/SLC39A8/SLC51B/SLC26A1/MYO1D/CA9/PLEKHG4B/ATP1B3/KCNQ1/ERBB2/ANXA2/SLCO5A1/LRP1/SLC2A9/SLCO1B3-SLCO1B7/ERBB3/ATP7A/MYO1A/PTPRQ/TESC/BEST1/SLC29A2/P2RY1/ABCC3/KCNQ4/PKD1/SLC16A12/ATP7B/BSG/NEDD9",161
"GO:0005874","microtubule","240/6927","493/19979",0.486815415821501,1.40408332506103,6.61824904064427,6.527142407018e-11,6.24157992671096e-09,6.12455385136895e-09,"SHTN1/KIF23/TPGS2/PBXIP1/TBCC/RP1L1/TUBA4A/FAM161A/ZNF804A/IQGAP1/TUBGCP5/MAP6/MAP10/MTA1/SLC8A3/AURKC/KIF22/DNAH11/SPMIP9/DNAH9/GTSE1/CHMP3/CEP162/KATNB1/SHROOM3/MAP2/KIF4A/PARP4/TUBE1/SAXO4/SPEF1/STAU2/SPAG6/HAUS7/KIFC1/PCNT/DNM2/ATAT1/CCT5/RAB3D/PLK1/ZWILCH/DNAH6/KLHL22/TTLL11/DNAH1/KIF5C/DNAI1/CDK5RAP2/SPRY2/DNAH12/OPA1/SLAIN1/IFT70B/KATNAL1/CFAP68/CDK5/CCT4/MAP2K2/RIBC2/HAUS8/CCT2/SNPH/KIF5A/DST/CFAP96/CYP2A6/KIF26B/CPAP/TPX2/ARHGAP18/LRRC49/DCDC2C/MAP7/KIF12/INCENP/CENPV/EFCAB6/TUBGCP3/SKA3/RASSF1/DNAH17/CCDC181/RASSF5/LZTS2/CLMP/BIRC5/CHMP4A/AURKA/NIN/CIMIP2A/TUBB2A/TUBB4A/NME7/TUBA1A/STMN1/TUBB/CHMP7/TUBG1/NAV1/MISP/STIM1/LRPPRC/WHAMM/CCT6A/SPAST/TEKT2/CFAP53/CLTC/GABARAP/MAP1A/MAP1LC3C/KIF15/TTLL1/MAP7D2/ARL3/DISC1/CFAP210/CKAP5/MAP1B/KIF1C/SPAG5/ODF2/TPGS1/MTCL1/NUMA1/CLASP2/HOOK1/KIFC2/KIFC3/SKA1/REEP4/RAB11A/TUBB8/REEP3/DNAH5/NAV3/HOOK3/TBCD/HAUS6/RUSC1/MEFV/IQGAP2/NCKAP5/EFHC2/SAXO2/KIF25/TUBA1B/CFAP276/TOGARAM1/KIF14/DPYSL2/GAS2L1/FSD1/DCDC2B/DYNC1I2/KNSTRN/EIF3A/TBCB/TCP1/CYLD/REEP2/BCL2L11/FKBP4/SHROOM2/MX1/CKAP2/TTL/TTLL9/TPPP3/CALM3/KIF20A/PDE4DIP/DCTN1/KCNAB2/TUBA1C/MAPRE1/DYNLT2/RACGAP1/KNTC1/HOOK2/SPAG8/RADIL/TPT1/SYBU/DNAH2/MID1/PYCARD/SIRT2/TUBA8/DNAH3/KLHL21/HNRNPU/KIF13A/CDK1/DPP9/KIF11/BBLN/MAP1LC3A/BAIAP2/NEK2/FAM110A/DNM1/TRIM54/DYNC2H1/ASPM/BEX4/CCDC66/KIF3C/CNP/MAP4/FIGN/HAUS1/KIF18B/HDAC6/CAMSAP1/SPAG17/MX2/CIMIP2C/CALM2/SYNJ1/CFAP52/KIF26A/AURKB/DCDC1/TTLL6/SEPTIN9/NUDC/KIF2C/ENKUR/HAUS4/EML1/MTUS1/CCT7/CCT3/BCL10/NEK6/BAG2/CCT8/DCDC2",240
"GO:0045178","basal part of cell","168/6927","324/19979",0.518518518518518,1.49552208481038,6.55102206034242,1.2326938435067e-10,1.0477897669807e-08,1.02814430450916e-08,"MET/SLC29A1/ABCC1/SLC23A2/TEK/SLCO4C1/STX2/TFRC/SLC9A2/FLOT2/ADCY10/AQP3/IQGAP1/LDLR/ATP1B1/GM2A/EGFR/LDLRAP1/SLC6A12/CDH2/CFTR/ANXA13/CLDN7/AQP9/PDZD11/MTTP/SPEF1/KCNJ10/SLCO1C1/CDH17/PIANP/NOD2/ENPP1/NKD2/VSIG1/SLC1A3/CADM1/SLC19A1/DST/SLC17A5/IDE/ATP1A1/DLG3/SLC16A3/PLPP3/SLC6A13/MAP7/SLC4A2/SLC4A4/DSP/CHRM3/TRPC4/MUC20/AURKA/SLC47A1/DTNB/SLC12A2/B4GALT1/SLC4A8/ABCA8/CASK/SLCO4A1/MSN/PDGFB/SLC16A6/EPB41/RHCG/MYO1C/KCNJ16/HPGD/SLC46A1/EPCAM/ANK3/SLC14A1/AQP7/CA12/HSP90AA1/CTNNA2/SLC51A/SLC16A5/SLC22A3/CEACAM1/FXYD5/SLCO1A2/SLC2A1/NOD1/ABCC4/CLDN19/SLC22A1/NDRG4/SLC5A3/SCN3A/PHLDB1/SLC22A2/CLASP2/ANK1/SLC22A5/EPS15/SLC13A3/SLC40A1/SLC7A5/PRCP/ITGA3/RAB17/SLC26A7/FLOT1/LIN7A/ANXA1/SCRIB/MARVELD2/SLC7A7/HFE/SLC29A4/PKD2/CD81/SLC8A2/TF/SLC4A9/SLC16A7/CHP1/ATP2C2/VANGL2/BMPR2/ITGB4/ADORA1/EPPK1/CAV1/EZR/DOCK7/DAG1/BEST2/SLC6A6/SLC27A5/LEPR/TGFBR3/PALM/GPIHBP1/SLC4A7/SLC39A8/SLC51B/SLC26A1/MYO1D/CA9/PLEKHG4B/ATP1B3/KCNQ1/ERBB2/ANXA2/SLCO5A1/LRP1/SLC2A9/SLCO1B3-SLCO1B7/ERBB3/ATP7A/MYO1A/PTPRQ/TESC/BEST1/SLC29A2/P2RY1/ABCC3/KCNQ4/PKD1/SLC16A12/ATP7B/BSG/FAP/NEDD9",168
"GO:0005938","cell cortex","166/6927","323/19979",0.513931888544892,1.48229322957101,6.3661214615738,3.83556912360548e-10,2.93421037955819e-08,2.87919560301452e-08,"NRBP1/EXOC3L1/PIEZO2/FLOT2/IQGAP1/CAPN2/CDH2/TRAF6/FLNB/NCL/KRT19/SHROOM3/ACTN2/IQGAP3/LANCL2/ILK/PARD6B/SEPTIN5/CALB1/RAI14/MYH10/PDZD4/PXN/STOX1/ITPR2/ARFIP2/KANK1/ASTN2/ACTN4/CFL1/DST/LLGL2/CSNK1G2/RAC1/SEPTIN10/CRIP2/RAPGEF3/GUCY1B1/MARCKS/EXOC4/FIGNL2/COBL/RYR1/EXOC2/GSN/EEF1A1/CAPZB/TRPC4/PARD6A/MLPH/LLGL1/MYO9B/GPSM2/DBN1/ADD3/SPTBN5/ECT2/MISP/STIM1/EPB41/ERC1/CALB2/CNKSR1/TLE6/MYO1C/CDH1/CAP1/PRKCZ/FNBP1L/SEPTIN3/CTNNA2/ACTB/SLC2A1/PARD3/SCIN/HIP1/STXBP1/PLA2G4C/NDFIP1/PHLDB1/TMEM201/KCNC3/NUMA1/CLASP2/FRY/FLNA/ENO2/CTBP1/TMC2/GIPC1/HMCN2/ENO1/IQGAP2/SPIRE2/FLOT1/AGTRAP/EXOC6/CTSZ/TBCB/SEPTIN11/PKD2/ARPC5/C2CD5/ACTN1/GPSM1/RIMS3/BSN/SHROOM2/DSTN/PDE4DIP/DCTN1/ARC/MAPRE1/SPTBN1/CAV1/SNAP25/FGB/EZR/ACTR2/LAMC2/MYO10/NLRP2/EXOC8/PFN1/SPTB/RAB10/HIP1R/SAPCD2/PLEKHH2/MYRIP/CIB2/PLS1/GAD1/FAM110A/GLRX3/AKT1/PARD3B/MYL9/ASPH/RDX/GMFG/RHOA/MYO1D/SH3BP1/CYTIP/TPM4/SEPTIN7/SPTBN2/MYO1A/MTSS2/DMTN/SEPTIN2/WDR1/SEPTIN9/MELK/MYH9/ANLN/SEPTIN6/ACTN3/FGF1/LASP1/CABP1/AKAP12/VCL/SEPTIN8/NEDD9",166
