"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","130/3428","239/9410",0.543933054393305,1.49311844861173,5.84535364259528,7.73823814347758e-09,2.72385982650411e-06,1.430408254519e-06,"RPL13A/RPS8/HBEGF/RPS28/RPLP1/RPL15/RPL22/RPS13/EGFR/TRAF6/RPL12/NRP1/RPL21/RPS11/RPL35A/FGA/RPS25/OAS3/RPL18A/RPS9/CXCL8/C3AR1/RPS23/RPS29/MAPK9/FGG/RPS7/CSF3/NLRP3/C2/C5/C1S/CGAS/RPL3L/RPL3/RPL39L/FAU/RPL23A/RPS14/PIK3CB/RPS3A/JAK1/C8G/RPS4Y1/RPS12/RPL5/RPLP2/NFKB1/F13B/RPL27/RPL27A/RPS16/PLCG2/PIK3R3/RPL24/RPS2/TNFRSF1A/IFIH1/STING1/PLCG1/RPL41/MAPK1/CFB/RPS10/MYD88/IFNB1/RPL19/PRKCG/RPS19/IL1B/FOS/NFKBIA/NFKBIB/RPL37A/IRAK1/JUN/RPL18/C4A/RIGI/PIK3R1/RPL6/ACE/RPL14/RPS5/MX1/MAPK11/RPL10A/RPL28/CXCL10/FGB/F2/RPS21/RPS17/IRF9/CSF2/RPL11/PRKCA/RPS6/MAPK12/RPL9/RPSA/OAS2/RPL10/MASP2/RPL4/STAT1/RPS24/RPL34/RPL13/MX2/IL12A/RPS18/UBA52/RPS4X/TAB2/TLR2/IL6/AGTR1/RPS3/TNF/RPLP0/MAPK3/C1R/RPS20/RPL7A/RPL8/CFD/ISG15/RPL7/RPS27A",130
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","113/3428","204/9410",0.553921568627451,1.52053732811678,5.68984470919586,1.95044311477749e-08,3.43277988200838e-06,1.80269066395886e-06,"MET/ARHGEF12/MDM2/FGF2/SDC4/RRAS2/HBEGF/RPS6KB2/PTCH1/IQGAP1/EGFR/SDC1/CD63/ROCK2/CDC42/RRAS/PXN/ITPR3/ITPR2/MAP2K2/FN1/ACTG1/VAV2/DROSHA/GPC1/FZD4/SRC/CTSL/HPSE/RAC1/VTN/ITGB1/ARAF/PIK3CB/CAV2/WNT16/ITGA5/ROCK1/ITGAV/IGF2/MSN/PLCG2/CAMK2G/PIK3R3/ANK3/PLCG1/MAPK1/ACTB/CAV3/IGF1R/HSPG2/WNT5B/SMO/EIF4B/WNT10B/PRKCG/PDCD4/PLAUR/WNT7B/HIF1A/PPP1CB/PTPN6/FLNA/WNT8B/ANK1/CDKN1A/WNT5A/FZD1/FRS2/SHH/CASP3/WNT7A/PIK3R1/MMP2/FZD5/HOXD10/VAV3/MAPK11/TIAM1/ESR1/FZD3/MMP9/CAV1/WNT10A/MTOR/EZR/TGFB1/SMAD2/FZD2/PTPN11/ITGB5/MRAS/FAS/PRKCA/AKT1/RPS6/MAPK12/RDX/PPP1CA/RHOA/TGFB2/ERBB2/TFAP4/ERBB3/WNT2B/TLR2/PLCE1/BRAF/TNF/MAPK3/LUM/HCLS1/PRKACB",113
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","88/3428","154/9410",0.571428571428571,1.5685947657943,5.38543119256754,1.09562162960097e-07,1.28552937873181e-05,6.75083136390567e-06,"COL4A1/MET/SPP1/ICAM1/PARVB/EGFR/ARHGEF6/LAMB1/ITGA4/FLNB/FGA/CDC42/LAMA4/PDGFA/ILK/VCAM1/PXN/PDGFD/ITGA11/LAMA2/ITGA8/FGG/FN1/ACTG1/MADCAM1/ACTN4/SRC/LAMB4/RAC1/LAMC1/LAMA3/VTN/ITGB1/ITGB8/COL6A1/PIK3CB/NPNT/COL4A6/COL4A4/ITGA5/COL4A5/ITGAV/PDGFB/TLN1/PIK3R3/ITGAX/CDH1/ACTB/ITGAM/IGF1R/FERMT1/TLN2/ITGAD/VEGFB/FLNA/COL4A2/ITGB6/FLT4/ITGA3/TNXB/LAMA5/RAC3/PIK3R1/ITGA6/THBS4/ACTN1/ITGB4/FGB/MTOR/TGFB1/LAMC2/FBN1/LAMC3/TNN/ITGB5/AKT1/COL9A3/COL4A3/COL6A2/FRAS1/ERBB2/ITGB7/PARVA/CCND3/PGF/ITGB2/CCND2/VCL",88
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","28/3428","36/9410",0.777777777777778,2.13503176455335,5.16494531902724,4.77114328721268e-07,4.19860609274716e-05,2.20485678231366e-05,"LIG1/POLD1/RPA2/POLE/FEN1/RFC5/MCM6/POLD2/POLE2/POLD4/POLD3/RNASEH2B/RPA4/RPA3/PRIM1/MCM2/MCM3/POLA1/MCM4/RPA1/RFC3/PCNA/RFC2/PRIM2/DNA2/MCM5/POLE4/MCM7",28
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","87/3428","157/9410",0.554140127388535,1.52113728084192,4.9845920934607,8.09127285190278e-07,4.93863381692325e-05,2.59347507864977e-05,"MDM2/MYBL2/RRAS2/RBL1/VDAC2/GADD45A/CAPN2/GADD45B/PPP3CB/ETS1/RRAS/MAP2K6/CXCL8/ITPR3/CDK4/ITPR2/PPP3CA/MAP2K2/MAP2K3/TGFBR2/VDAC3/CCNB1/NBN/CHEK2/RASSF5/PIK3CB/IL1A/CACNA1D/SMAD3/NFKB1/MRE11/NFATC1/VDAC1/PIK3R3/CAPN1/E2F1/NFATC4/SLC25A6/CDK2/MAPK1/TGFB3/SLC25A5/ATM/PPP1CB/PPID/RBBP4/CDKN1A/PIK3R1/LIN37/GADD45G/HLA-A/RAD9A/HLA-G/MAPK11/CALM3/HLA-B/FOXM1/MTOR/TGFB1/SMAD2/CCNA2/HLA-C/EIF4EBP1/CDK1/CHEK1/MRAS/SERPINE1/AKT1/HLA-F/E2F2/MAPK12/PPP1CA/TRAF3IP2/RAD9B/TGFB2/CALM2/IL6/ZFP36L2/CALML6/CCND3/RAD50/CCNE2/IGFBP3/MAPK3/RBL2/TGFBR1/CCND2",87
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","68/3428","116/9410",0.586206896551724,1.60916187180622,4.99722966689147,8.41812582430099e-07,4.93863381692325e-05,2.59347507864977e-05,"PGP/DLD/OGDHL/PSAT1/GPI/PGK1/TKT/HIBCH/IDH2/TKFC/TKTL1/TALDO1/GOT2/PCCB/SUCLG2/SDS/PRPS1/PDHB/PFKL/ME2/SDHC/ENO3/MDH2/PDHA1/H6PD/RPIA/TPI1/ACO1/PKM/PFKP/DLAT/ACO2/HK1/ME1/IDH1/ALDOA/FBP2/ENO2/ADH5/ENO1/CPS1/ACAT2/GLDC/PRPS2/PC/ESD/ACAT1/ALDOB/CS/GAPDH/PGLS/G6PD/SDHB/ACADS/ECHS1/GLUD1/OGDH/PCCA/FH/CAT/GLYCTK/HKDC1/PGD/MDH1/ACOX3/SHMT1/HK3/PGAM1",68
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","120/3428","232/9410",0.517241379310345,1.41984871041725,4.90153068600554,1.06281918644245e-06,5.34446219468203e-05,2.80659186822012e-05,"MYH14/ARHGEF12/FGF2/RRAS2/FGF20/ARPC3/IQGAP1/EGFR/FGF21/ARHGEF6/ITGA4/LPAR5/IQGAP3/GNG12/ROCK2/CDC42/PDGFA/RRAS/MYH10/CYFIP1/PXN/PDGFD/ITGA11/F2R/ITGA8/MAP2K2/FN1/ACTG1/VAV2/ACTN4/CFL1/BDKRB2/MYLK4/SRC/C5/RAC1/ITGB1/ITGB8/ARPC1B/GSN/ARAF/PIK3CB/CHRM5/CHRM3/C8G/ITGA5/CYFIP2/ROCK1/ITGAV/FGF8/PFN2/MSN/PDGFB/PIK3R3/ITGAX/CYRIA/FGF22/GIT1/MAPK1/ACTB/ITGAM/FGF18/DOCK1/SCIN/ITGAD/PPP1CB/MYLK/CYRIB/ITGB6/ITGA3/NCKAP1/IQGAP2/LIMK1/RAC3/PIK3R1/ITGA6/MYL11/ARPC5/VAV3/ARHGAP35/MYLK3/ACTN1/TIAM1/PIP4K2B/ITGB4/FGFR4/CXCR4/EZR/PAK3/F2/ACTR2/PFN1/SSH3/FGF19/ITGB5/BAIAP2/MRAS/AKT1/MYL9/RDX/PPP1CA/RHOA/LPAR1/ITGB7/TMSB4X/MYH11/PIP4K2A/BRAF/FGF5/SPATA13/PAK2/MYH9/GNA12/MAPK3/DIAPH2/DIAPH3/FGF1/ITGB2/FGD1/VCL",120
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","120/3428","233/9410",0.515021459227468,1.41375493912791,4.84105171808416,1.41479617884572e-06,6.22510318692117e-05,3.26905184222817e-05,"COL4A1/MYH14/TNNT1/SDC4/DSG2/SDC3/ATP1B1/MYOM3/SYNE3/SDC1/CSRP2/ITGA4/COL11A2/ACTN2/SGCD/FBLN1/MYH10/PDLIM4/FBLN2/SGCA/ANKRD1/MYBPC2/ITGA11/LAMA2/VCAN/ITGA8/LBR/FN1/ACTG1/MYL4/LMNB1/PDLIM3/MYBPC1/ATP1B2/ATP1A1/PDLIM7/SYNE2/INF2/ITGB1/SGCG/PDLIM1/ITGB8/COL6A1/TMOD3/CAPN3/DSP/CAPZB/AMPD2/COL4A6/MYH6/COL4A4/ITGA5/ENO3/COL4A5/ITGAV/SPTBN5/PDLIM5/DTNA/TLN1/MYH7B/ANK3/DMD/ACTB/HSPG2/TLN2/SNTB1/ENO2/XIRP1/COL4A2/ITGB6/FBN2/ENO1/ITGA3/COL5A3/FHL1/ANKRD2/SYNPO2/ITGA6/OBSCN/MYL11/THBS4/FMNL3/COL5A1/ITGB4/SPTBN1/SNTA1/MYOZ3/COL11A1/FBN1/DAG1/PLEC/TPM3/ITGB5/JUP/ACTA1/TRIM54/MYL9/TMOD4/COL9A3/COL4A3/COL6A2/CKM/ATP1B3/TPM4/SPTBN2/ITGB7/MYH11/MYOZ2/TNNI3/MYH9/CSRP1/TCAP/TPM1/NID1/DIAPH2/ATP1A4/DIAPH3/ACTN3/COL5A2/VCL",120
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","128/3428","254/9410",0.503937007874016,1.38332766747214,4.68816695463511,2.81202742324436e-06,0.000109981516998002,5.77557142359894e-05,"MET/FGF2/FGF20/MST1R/P2RX2/CHRNA7/ADRB2/VDAC2/EGFR/FGF21/RET/SLC8A3/PPP3CB/GRIN3B/PLCD3/PDGFA/CACNA1H/HRH1/PHKB/ITPR3/PDGFD/ADCY1/ITPR2/F2R/PPP3CA/ADCY9/ADRA1B/CASQ1/PHKA1/P2RX6/TPCN2/BDKRB2/MYLK4/AVPR1A/VDAC3/ADCY3/CACNA1I/CAMK1D/GRIN2D/PLCB4/RYR1/NTRK3/CHRM5/CHRM3/ATP2A3/CACNA1D/DRD1/PDE1A/CACNA1F/CAMK1/NFATC1/GRPR/FGF8/STIM1/PDGFB/PLCG2/CAMK2G/VDAC1/PHKA2/CAMK4/NFATC4/SLC25A6/PLCG1/NOS1/FGF22/SLC25A5/FGF18/PRKCG/ATP2B3/VEGFB/MYLK/HTR6/OXTR/FLT4/PLCB2/ITPKC/GRIN1/STIM2/PHKG1/CAMK1G/GNA15/MYLK3/SLC8A2/TACR1/CALM3/ATP2A2/FGFR4/CACNA1G/MCOLN2/ADRB1/CXCR4/GDNF/ORAI2/ATP2A1/PDE1C/FGF19/ADORA2B/TBXA2R/PRKCA/ASPH/CACNA1C/NGF/MST1/HRH2/ERBB2/ORAI3/ERBB3/CALM2/PLCE1/HTR7/GNAL/FGF5/CALML6/AGTR1/SLN/HRC/PLCD1/CACNA1E/FGF1/SPHK1/MRLN/RYR2/TPCN1/GNAS/ADCY7/ERLN/PRKACB/ITPKB",128
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","52/3428","86/9410",0.604651162790698,1.65979213589862,4.65290477629683,4.6095543795819e-06,0.000162256314161283,8.52073109143809e-05,"DSG2/CACNG7/CDH2/SLC8A3/ITGA4/ACTN2/SGCD/SGCA/ITGA11/LAMA2/ITGA8/ACTG1/CACNG4/CACNG8/ITGB1/SGCG/ITGB8/DSP/ATP2A3/CACNA1D/ITGA5/ITGAV/CACNA1F/DTNA/DMD/NOS1/CTNNA2/ACTB/CAV3/CACNB2/SNTB1/GJA1/ITGB6/TCF7L2/ITGA3/ITGA6/SLC8A2/ATP2A2/ITGB4/TCF7/SNTA1/DAG1/ATP2A1/ITGB5/JUP/CACNG6/CACNA1C/CACNB1/ITGB7/CACNB3/ACTN3/RYR2",52
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","19/3428","23/9410",0.826086956521739,2.26764243315915,4.60750923100837,7.37951611630745e-06,0.00022862754261424,0.000120061510134876,"LIG1/POLD1/MLH1/RPA2/MSH6/RFC5/POLD2/MSH2/POLD4/POLD3/RPA4/RPA3/PMS2/EXO1/RPA1/RFC3/PCNA/RFC2/MSH3",19
