"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","nucleotide metabolic process","187/4006","478/18842",0.391213389121339,1.84005059356572,9.66684564826904,1.89441539550453e-19,1.11391625255667e-15,1.11391625255667e-15,"MLST8/NDUFA2/LDHA/RAN/QPRT/BEND3/PRPSAP1/TSPO/HKDC1/PINK1/DHTKD1/OGDHL/PC/HIF1A/ATP1B1/NME4/PRPS1/JMJD8/PRKAG1/RRM2/VCP/INSR/OGG1/NTHL1/PGK1/ACO1/FIGNL1/NME7/HINT1/NUDT15/IDH2/TK2/KARS1/HSPA8/NDUFA1/PRPS2/UNG/GPI/SRC/ADCY7/DUT/ENTPD1/PAICS/APP/OPA1/UCP2/CDA/PARP1/MDH1/PUDP/SULT1B1/GNAI3/IMPDH2/PGM1/NUDT11/ATP5PD/ATP5F1B/NAXE/ADK/NEIL2/PGLS/NDUFA10/NDUFB6/SLC4A4/ADSS2/ALDOA/TK1/NDUFB3/NUDT3/TAFAZZIN/G6PD/SDHC/NDUFB10/DHODH/CTPS2/PDE1A/HDAC4/ABHD14B/TGFB1/GART/DCTD/NNT/TPST2/NDUFS6/DCK/IMPDH1/NDUFS8/NT5M/GUCY1B1/ATPSCKMT/PDE8A/ATP5F1C/ME2/NME2/PFKFB3/RPIA/NDUFB5/DNPH1/ADCY1/SLC25A13/MACROH2A1/TPI1/DMAC2L/ADSS1/ME1/REXO2/PKM/MDH2/ENO2/NOX1/HK1/ATP5MC3/PFKP/CASK/SDHB/AK7/AMPD2/NNMT/PGAM1/DCTPP1/PFKL/CAD/GMPS/NDUFC2/NDUFS2/ENO1/NAPRT/ATP5F1A/SHPK/ADCY3/TMSB4X/DERA/PFAS/CNP/RRM1/GIT1/CTPS1/NUDT18/TALDO1/MTOR/APRT/OLA1/ADCY9/SULT1A1/ARL2/CMPK1/NME3/GOT2/LDHB/NT5C3B/IDH1/PGD/NDUFB7/H6PD/TKT/PAPSS1/DTYMK/NDUFS5/OGDH/NDUFV1/SLC4A7/ATP5MC2/PDE4B/TYMS/GAPDH/MTHFD1/UCHL1/ATP5F1D/ANTKMT/NME1/SULT2B1/NDUFB9/LRRK2/AK5/SHMT1/ATIC/ADCY6/EIF6/RFK/NDUFB11/PDE8B/ENPP1/ATP5PB/CARD11/HPRT1/SLC25A11/PDE7B",187
"GO:0006260","DNA replication","136/4006","313/18842",0.434504792332268,2.0436693203007,9.67515943022017,5.42487862931908e-19,1.59491431701981e-15,1.59491431701981e-15,"RBBP4/RPA3/GINS1/ASCC1/MRE11/SET/DTL/ZBTB38/CDK2/NUCKS1/VCP/MMS22L/ATRX/CDC6/RUVBL1/DSCC1/NFIA/POLD1/GINS3/ORC5/MAD2L2/NYNRIN/PRIM1/WRN/ORC2/CHEK1/TOPBP1/EME1/METTL4/MCMBP/RPA2/DUT/CUL4A/POLA1/DHFR/MCM7/TOP1MT/PARP1/POLE/POLRMT/SMARCAL1/POLD4/FEN1/USP1/RFC5/MCM4/NBN/POLE4/POLE2/TRAIP/CDC45/MCRS1/TK1/ACTR5/SETMAR/POLD2/DNA2/EXD2/EGFR/ORC1/TIMELESS/NT5M/CARM1/GINS2/MSH2/RAD50/BLM/RECQL/MCM2/NAP1L1/RAD51/HLTF/DHX9/WDR18/CENPS/CCNA2/INO80C/ID3/ENDOG/DONSON/ZNF365/BRCA2/LRR1/CHTF18/E2F7/POLD3/POLQ/GMNN/SUPT16H/PNKP/RRM1/SSRP1/CENPX/LIG1/ORC3/RFC3/MCM10/CDK2AP1/EXO1/JADE2/MCM6/RECQL4/PDS5A/DDB1/SMC3/MCM3/RBBP8/WDHD1/PCLAF/CHAF1A/RFC2/CACYBP/FAM111B/ACTL6A/RPA1/CHAF1B/CDT1/TONSL/DTD1/EHMT2/TYMS/CDK1/RMI2/XRCC3/GINS4/BARD1/SHMT1/NFIC/MCM5/PRIM2/RBBP7/JADE1/GLI2/BRCA1/PCNA/LIG3",136
"GO:0006261","DNA-templated DNA replication","86/4006","171/18842",0.502923976608187,2.3654751790443,9.32066954575279,3.7119804537005e-17,7.27548168925299e-14,7.27548168925299e-14,"GINS1/MRE11/DTL/NUCKS1/MMS22L/ATRX/CDC6/POLD1/GINS3/ORC5/NYNRIN/PRIM1/WRN/ORC2/TOPBP1/EME1/METTL4/MCMBP/CUL4A/POLA1/MCM7/PARP1/POLE/POLRMT/SMARCAL1/POLD4/FEN1/RFC5/MCM4/NBN/POLE4/POLE2/TRAIP/CDC45/TK1/SETMAR/POLD2/DNA2/EXD2/ORC1/TIMELESS/CARM1/RAD50/BLM/RECQL/MCM2/RAD51/HLTF/WDR18/CENPS/ENDOG/DONSON/ZNF365/BRCA2/LRR1/E2F7/POLD3/POLQ/GMNN/PNKP/RRM1/CENPX/LIG1/ORC3/RFC3/MCM10/CDK2AP1/EXO1/MCM6/DDB1/MCM3/RBBP8/WDHD1/RFC2/FAM111B/RPA1/CDT1/TONSL/XRCC3/GINS4/BARD1/MCM5/PRIM2/BRCA1/PCNA/LIG3",86
"GO:0002181","cytoplasmic translation","98/4006","215/18842",0.455813953488372,2.14389578423063,8.7656326650069,1.062154365063e-15,1.42294108713394e-12,1.42294108713394e-12,"RPL18/RPS8/NPM1/GCN1/RPLP1/RPL15/RPL22/EIF3B/SLBP/CSDE1/PABPC1/RPL14/RPL21/VCP/RPL35A/RPS25/RPLP0P6/RACK1/RPL18A/RPL13A/SAYSD1/RPS23/RPS9/RPS5/RPS7/RPL37A/RPS27A/RPL7/CNBP/EIF3E/RPS20/RPL39L/RPL5/FAU/SH3BGRL/RPS19/RPS14/RPL3/EIF2S3/RPS21/RPS2/YBX1/RPL19/EIF3I/RPL10A/RPS12/RPLP2/HNRNPU/RPL24/RPS3A/RPS28/ABCE1/DHX9/RPS11/PKM/RPLP0/RPL41/HNRNPD/RPL10/RPL6/EEF1D/EPRS1/RPL9/RPL27A/RPS29/EIF2B3/SMYD5/EIF2S3B/EIF3A/RPL8/RPS16/RPL27/AARS1/EEF2/MTOR/RPS3/RPL23A/RPS4X/EIF4G1/RPSA/EIF3K/EIF3L/RPL12/RPS6/GAPDH/RPS13/EIF3H/RPL4/RPS24/RPL34/RPL13/RPL7A/RPS18/UBA52/RPL11/SKIC3/EIF3M/RPL28",98
"GO:1901293","nucleoside phosphate biosynthetic process","130/4006","318/18842",0.408805031446541,1.92279191275979,8.62380620660998,1.2099839176309e-15,1.42294108713394e-12,1.42294108713394e-12,"NDUFA2/QPRT/PRPSAP1/PMM1/GMDS/PINK1/HACD2/FPGT/FASN/DLD/NME4/PRPS1/AMDHD2/RRM2/VCP/UGDH/PGK1/NME7/ACSL3/IDH2/TK2/KARS1/NDUFA1/PRPS2/ADCY7/DUT/ACACB/PAICS/CDA/PARP1/IMPDH2/ATP5PD/ACOT7/ATP5F1B/ADK/NDUFA10/NDUFB6/ADSS2/ALDOA/TK1/NDUFB3/GMPPB/TAFAZZIN/SLC27A2/SDHC/NDUFB10/DHODH/CTPS2/DIP2A/TGFB1/GART/DCTD/NDUFS6/DCK/IMPDH1/NDUFS8/ELOVL1/GUCY1B1/ATPSCKMT/ATP5F1C/PDPR/NME2/NDUFB5/ADCY1/PPT1/SLC25A13/PDHA1/DMAC2L/ADSS1/ME1/FUOM/ACAT1/HK1/ATP5MC3/SDHB/AK7/ELOVL2/AMPD2/CAD/GMPS/NDUFC2/NDUFS2/ENO1/NAPRT/ACLY/ATP5F1A/PDK3/ADCY3/TMSB4X/ELOVL5/PFAS/RRM1/PDHB/CTPS1/PDK2/GNPNAT1/BCKDK/TECR/APRT/ADCY9/ACACA/CMPK1/NME3/DLAT/PDK4/NDUFB7/PCCA/PAPSS1/DTYMK/NDUFS5/OGDH/NDUFV1/SLC4A7/ATP5MC2/TYMS/MTHFD1/ATP5F1D/ANTKMT/NME1/NDUFB9/AK5/SHMT1/ATIC/ADCY6/MPI/RFK/NDUFB11/UXS1/ATP5PB/HPRT1",130
"GO:0006163","purine nucleotide metabolic process","159/4006","422/18842",0.376777251184834,1.77215101518339,8.33609574771605,5.1358275693974e-15,5.03311101800945e-12,5.03311101800945e-12,"MLST8/NDUFA2/LDHA/RAN/QPRT/BEND3/PRPSAP1/TSPO/HKDC1/PINK1/DHTKD1/OGDHL/PC/HIF1A/ATP1B1/NME4/PRPS1/JMJD8/PRKAG1/VCP/INSR/PGK1/ACO1/FIGNL1/NME7/HINT1/NUDT15/IDH2/HSPA8/NDUFA1/PRPS2/GPI/SRC/ADCY7/ENTPD1/PAICS/APP/OPA1/UCP2/PARP1/MDH1/SULT1B1/GNAI3/IMPDH2/PGM1/NUDT11/ATP5PD/ATP5F1B/ADK/PGLS/NDUFA10/NDUFB6/SLC4A4/ADSS2/ALDOA/NDUFB3/NUDT3/TAFAZZIN/G6PD/SDHC/NDUFB10/PDE1A/HDAC4/ABHD14B/TGFB1/GART/NNT/TPST2/NDUFS6/DCK/IMPDH1/NDUFS8/NT5M/GUCY1B1/ATPSCKMT/PDE8A/ATP5F1C/ME2/NME2/PFKFB3/RPIA/NDUFB5/DNPH1/ADCY1/SLC25A13/MACROH2A1/TPI1/DMAC2L/ADSS1/ME1/PKM/MDH2/ENO2/NOX1/HK1/ATP5MC3/PFKP/CASK/SDHB/AMPD2/NNMT/PGAM1/PFKL/GMPS/NDUFC2/NDUFS2/ENO1/NAPRT/ATP5F1A/SHPK/ADCY3/TMSB4X/DERA/PFAS/GIT1/NUDT18/TALDO1/MTOR/APRT/OLA1/ADCY9/SULT1A1/ARL2/NME3/GOT2/LDHB/IDH1/PGD/NDUFB7/H6PD/TKT/PAPSS1/NDUFS5/OGDH/NDUFV1/SLC4A7/ATP5MC2/PDE4B/GAPDH/MTHFD1/UCHL1/ATP5F1D/ANTKMT/NME1/SULT2B1/NDUFB9/LRRK2/AK5/ATIC/ADCY6/EIF6/NDUFB11/PDE8B/ENPP1/ATP5PB/CARD11/HPRT1/SLC25A11/PDE7B",159
"GO:0044282","small molecule catabolic process","140/4006","359/18842",0.389972144846797,1.83421246959644,8.29252338197809,9.4256957406819e-15,7.9175844221728e-12,7.9175844221728e-12,"LDHA/QPRT/PHYH/ACOX3/HADHB/NUDT7/FUT8/DLD/AMDHD2/CYP4F11/HADHA/NUDT8/ALDH3B1/GK5/HNMT/PGK1/ASS1/HSD17B6/ABHD3/AIG1/SORD/MPST/ETFDH/CYP24A1/ALDH1B1/PON3/GLYCTK/GLB1/CYP4F3/TKFC/HGD/PDXP/NOS1/HADH/ALDH2/RIDA/GALE/SRD5A3/LDHD/AKR1B10/ACACB/ECI2/TDO2/CDA/GLUD1/PON2/HSD17B4/SULT1B1/HDC/PGM1/ACOT7/PLA2G15/AMACR/OXCT1/ACOX2/ACOT4/GLDC/IVD/ALDOA/CES1/NUDT3/SLC27A2/GSTZ1/PNKD/BDH2/CRYL1/LRP5/HMGCLL1/AADAT/SARDH/AKT1/CPT1A/ACAA2/XYLB/NQO2/CYP4F12/TPI1/CARNMT1/PKM/ENO2/GALM/ACAT1/NUDT1/MCCC2/HK1/ESD/EHHADH/PFKP/ABCD1/PGAM1/PFKL/CAD/AKR1A1/AASDHPPT/ENO1/MAT1A/HOGA1/ECHS1/DERA/ACADS/BCKDK/ALDH4A1/HIBADH/AKR1C3/HACL2/SCP2/ASRGL1/ECI1/GALK1/SULT1A1/TST/CYP26B1/FAH/GOT2/GLB1L2/DLAT/LDHB/ABHD2/BCKDHB/CRAT/PCCA/HIBCH/TXN2/ETFB/ALDH7A1/DECR2/ECH1/PCCB/GAPDH/DPEP1/ALDH5A1/ADH5/SHMT1/ABCD3/HAGH/SLC16A3/MPI/IRS1/CROT/DECR1",140
"GO:0006091","generation of precursor metabolites and energy","161/4006","438/18842",0.367579908675799,1.72889182208423,8.02034509945811,4.18719914224278e-14,3.07759136954844e-11,3.07759136954844e-11,"MLST8/NDUFA2/LDHA/HKDC1/PINK1/DHTKD1/OGDHL/NOP53/HIF1A/DLD/JMJD8/PRKAG1/VCP/INSR/PGK1/ACO1/KHK/PLEC/MRAP2/UQCRB/ETFDH/IDH2/UQCRFS1/PHKA1/NDUFA1/PRPS2/GPI/SRC/IDE/GYG2/UQCRC1/UQCRQ/APP/STARD7/UCP2/MDH1/PDIA5/PGM1/ACO2/FECH/ATP5PD/ATP5F1B/OXCT1/PGLS/NDUFA10/RHOA/PGM2/NDUFB6/SLC4A4/ALDOA/NDUFB3/COX6B1/G6PD/SDHC/HIGD2A/NDUFB10/PARK7/HDAC4/NNT/HMGCLL1/UGP2/NDUFS6/CHCHD5/NDUFS8/AKT1/COX6A1/ATPSCKMT/ATP5F1C/COXFA4/PDPR/TRAP1/PFKFB3/XYLB/RPIA/NDUFB5/PHKB/SLC25A13/MACROH2A1/PDHA1/FDX1/POR/TPI1/SUCLG2/PKM/MDH2/ENO2/ACAT1/HK1/PFKP/ABCD1/SDHB/PGAM1/PFKL/COX7A2/NDUFC2/NDUFS2/PHKA2/ENO1/ATP5F1A/SHPK/PDK3/FH/DERA/GIT1/PDHB/PDK2/PPP1CA/BCKDK/TALDO1/OXA1L/COX7A2L/UQCRH/LEPR/GBE1/MTOR/UQCR11/SDHAF2/PYGB/ARL2/CCNB1/PASK/DLAT/IDH1/PGD/PDK4/NDUFB7/COX5A/H6PD/WIPI2/TKT/NDUFS5/OGDH/NDUFV1/OPN3/ETFB/CS/PYGL/SIRT3/CHCHD2/MTFR1/CDK1/GAPDH/UCHL1/ATP5F1D/GAA/CXXC5/ANTKMT/FDXR/NDUFB9/EIF6/ATP7A/PPP1CB/NDUFB11/ENPP1/COX7C/COX5B/ATP5PB/IRS1/CYC1/CROT/COX6C",161
"GO:0009060","aerobic respiration","111/4006","269/18842",0.412639405204461,1.94082667819832,8.0759527506317,6.94464416141252e-14,4.53716751878951e-11,4.53716751878951e-11,"MLST8/NDUFA2/LDHA/HKDC1/PINK1/DHTKD1/OGDHL/NOP53/HIF1A/DLD/JMJD8/PRKAG1/VCP/INSR/PGK1/ACO1/UQCRB/IDH2/UQCRFS1/NDUFA1/GPI/SRC/IDE/UQCRC1/UQCRQ/APP/UCP2/MDH1/PGM1/ACO2/ATP5PD/ATP5F1B/NDUFA10/RHOA/NDUFB6/SLC4A4/ALDOA/NDUFB3/COX6B1/SDHC/NDUFB10/PARK7/HDAC4/NNT/NDUFS6/NDUFS8/COX6A1/ATPSCKMT/ATP5F1C/COXFA4/PDPR/PFKFB3/NDUFB5/MACROH2A1/PDHA1/TPI1/SUCLG2/PKM/MDH2/ENO2/HK1/PFKP/ABCD1/SDHB/PGAM1/PFKL/COX7A2/NDUFC2/NDUFS2/ENO1/ATP5F1A/PDK3/FH/GIT1/PDHB/PDK2/BCKDK/OXA1L/COX7A2L/UQCRH/MTOR/UQCR11/SDHAF2/ARL2/CCNB1/DLAT/IDH1/PDK4/NDUFB7/COX5A/NDUFS5/OGDH/NDUFV1/CS/SIRT3/CHCHD2/MTFR1/CDK1/GAPDH/UCHL1/ATP5F1D/ANTKMT/NDUFB9/EIF6/ATP7A/NDUFB11/COX7C/COX5B/ATP5PB/CYC1/COX6C",111
"GO:0009100","glycoprotein metabolic process","140/4006","370/18842",0.378378378378378,1.77968182860844,7.87064545903489,1.51272388271611e-13,8.89481643037072e-11,8.89481643037072e-11,"UGGT1/GNPTAB/GPC1/COLGALT1/MAN2B2/PMM1/HIF1A/POGLUT2/FUT8/GALNT18/GANAB/TMTC4/XXYLT1/UGDH/FBXO2/ST6GAL1/OST4/EDEM2/POGLUT3/CST3/MAN2A2/ITM2A/DDOST/DPAGT1/GLB1/IDUA/ALG1/ALG3/MGAT3/STT3B/GAL3ST1/CHST7/SRD5A3/GALNT12/IDS/CHST12/LARGE2/TET1/FBXO17/B4GAT1/GUSB/GALNT1/JAK3/XYLT2/CHST3/CTSL/CHST6/MGAT5B/DAD1/AMFR/BMPR2/PCSK6/CHP1/GALNT14/ADAM10/GMPPB/B3GALT6/EXT2/CHST14/ARSB/B4GALT4/B4GALT1/TUSC3/A4GNT/CCDC134/GALNT5/SLC35D2/TM9SF2/MAN2A1/SLC39A8/GALNS/STT3A/PRKCSH/ABCA7/GALNT10/MGAT1/HS3ST6/HGSNAT/AGA/ST6GALNAC4/ST3GAL4/RPN2/ABCA2/CHST10/ADAMTS12/RPN1/GXYLT2/RNF5/SULF2/MAN1C1/UGGT2/HYAL1/HS2ST1/AQP11/GNS/B4GALT7/GDPD5/NECAB3/POMGNT2/MAN1A2/GALNT13/GALNT11/GALNT2/ST6GAL2/GALNT16/B3GNT9/MGAT4B/RAB1B/C1GALT1C1/ITM2C/POMT2/B3GALNT1/MAN1B1/BACE2/B3GLCT/MPDU1/EXTL3/NAGLU/TMEM59/ST3GAL5/FAM20B/HEXB/HPSE/ALG6/RFT1/LARGE1/POFUT1/FBXO27/SOAT1/NDST1/GLCE/ALG8/ITM2B/GNPTG/ATP7A/MESD/B3GNT3/SLC51B/MGAT4A/ST6GALNAC3",140
