"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045296","cadherin binding","151/4135","334/18706",0.452095808383234,2.04520053001615,10.267543947968,2.84960584375794e-21,3.64179626832264e-18,3.64179626832264e-18,"LDHA/RAN/GCN1/CDH4/RPL15/MRE11/CDH19/MAPRE1/FASN/RPL14/EPS8L2/STAT1/FLNB/SEPTIN2/SPTBN1/CDH2/TMPO/PCMT1/SEPTIN9/MPRIP/RUVBL1/HCFC1/PLEC/TMOD3/AHNAK/CDH17/RACK1/TBC1D2/RTN4/LAD1/PTPRJ/SCRIB/ARHGEF16/DOCK9/CIP2A/HSPA8/KRT18/IQGAP1/CDHR3/TWF2/KTN1/SRC/CCT8/LASP1/VAPA/PAICS/BSG/EIF3E/YWHAE/FNBP1L/DBN1/PACSIN2/ITGB1/RANBP1/BMPR2/CDH6/ALDOA/CTNNA2/EZR/RAB11B/EIF2S3/PTPRM/VCL/TAGLN2/CAPZB/RPS2/CLIC1/PCBP1/PARK7/EGFR/RPL24/NUDC/MYO1B/PKP3/FXYD5/F11R/YWHAZ/HNRNPK/USO1/SH3GLB2/HSP90AB1/EPCAM/PKM/SEPTIN7/RPL6/EEF1D/PFKP/ADD1/CKAP5/SND1/ANK3/TLN1/ENO1/GIPC1/ANXA1/PDLIM5/ITGA6/PDLIM1/HDLBP/PLIN3/PUF60/PTPN11/SHTN1/FLNA/RARS1/PPP1CA/UNC45A/ARHGAP18/PPL/NEO1/EEF2/CD46/ERC1/OLA1/ANLN/EPS15/PAK2/RPL23A/EIF4G2/DIAPH3/CALD1/MMP24/CEMIP2/JUP/IDH1/NIBAN2/PFN1/PTPRB/MYH9/YWHAB/NHERF2/PRDX1/CDH1/CAPG/SERBP1/NOTCH3/ANXA2/RDX/RPL34/ARHGAP1/CNN2/SPTBN2/RPL7A/EVPL/RAB10/ATIC/PARVA/PRDX6/LRRFIP1/S100P/BZW2",151
"GO:0003735","structural constituent of ribosome","87/4135","176/18706",0.494318181818182,2.23620699131582,8.77772061775934,1.14564867197976e-15,7.32069501395069e-13,7.32069501395069e-13,"MRPL12/RPL18/RPS8/MRPL11/MRPS35/RPLP1/RPL15/RPL22/RPL14/RPL21/MRPL28/RPL35A/RPS25/RPLP0P6/RPL18A/MRPL41/RPL13A/RPS23/RPS9/RPS5/MRPL3/RPS7/MRPL19/RPL37A/RPS27A/RPL7/RPS20/MRPL30/MRPL18/RPL39L/RPL5/FAU/RPS19/RPS14/RPL3/RPS21/RPS2/RPL19/RPL10A/RPS12/RPLP2/RPL24/MRPL54/RPS3A/MRPL15/RPS28/MRPL23/RPS11/RPLP0/RPL41/RPL10/RPL6/RPL9/RPL27A/RPS29/MRPL45/RPL8/RPS16/MRPL37/GADD45GIP1/RPL27/MRPS34/MRPS25/UBB/RPS4Y1/RPS3/RPL23A/RPS4X/RPSA/MRPL24/MRPL17/RPL12/MRPS5/MRPS16/RPS6/RPS13/RPL4/RPS24/MRPL2/RPL34/RPL13/RPL7A/RPS18/UBA52/RPL11/RPL28/MRPL42",87
"GO:0000287","magnesium ion binding","96/4135","235/18706",0.408510638297872,1.84802902055623,6.96901462109836,6.74909347971954e-11,2.87511382236052e-08,2.87511382236052e-08,"UBA2/RAN/PRPSAP1/PINK1/TREX2/YDJC/RPS6KA4/NUDT7/TESC/PRPS1/CDC42BPB/CDK2/NUDT8/XXYLT1/ATP11C/CLYBL/FIGNL1/ATP8B1/ENOPH1/PRIM1/IDH2/WRN/RHOT1/PRKACB/PDXP/PRPS2/CERK/DUT/TUFM/OPA1/MSH6/FEN1/XYLT2/PGP/PGM1/MAST2/POLR1A/ITGB1/MAPK12/GSS/EPHX2/PGM2/GCLC/SIK1/ADSS2/NUDT3/EXD2/ATP9A/RPS6KA1/TOP2A/MSH2/STK26/MAST3/FARSB/NEK6/PLK1/SUCLG2/ADSS1/ME1/REXO2/PKM/ENO2/ATP8B3/ITPK1/ATP10A/ENDOG/PPA2/DCTPP1/AASDHPPT/ENO1/POLQ/COMT/PDXK/HACL2/PRTFDC1/BRSK2/ATP8A1/MAP3K6/ARL3/NT5C3B/MAP3K20/IDH1/EXTL3/TKT/PAPOLA/CIB2/ATP8B4/CDC123/NME1/ATP11A/ENOSF1/RPS6KA5/LRRK2/EYA2/HPRT1/S100P",96
"GO:0016887","ATP hydrolysis activity","145/4135","410/18706",0.353658536585366,1.59988792874628,6.54268346443518,4.01143799370292e-10,1.28165443898808e-07,1.28165443898808e-07,"TOR1A/KIF23/ABCC1/KIF22/SMC1A/VCP/ATRX/ATP11C/DDX1/HSPA4/RUVBL1/CFTR/MLH1/CCT5/FIGNL1/LONP1/KIF5C/ATP8B1/HSP90B1/WRN/RHOT1/HSPA8/MYO5A/CCT2/ATAD3B/IDE/ENTPD8/CCT8/TCP1/ENTPD1/ATAD2/ATP7B/CCT3/ABCC3/DDX23/MCM7/XRCC5/CCT7/SMARCAL1/MYO9B/ABCG2/CCT4/RFC5/ABCG4/MCM4/RHOBTB3/ERCC6L/G3BP1/ATP2A2/AFG3L2/SMC4/SMC2/ATP2C1/DNA2/ATP9A/CHD1L/ORC1/DDX54/MSH2/RAD50/ATP5F1C/BLM/DHX40/CCT6A/AQR/RECQL/KIF14/MCM2/TRAP1/ABCE1/ABCA7/HLTF/DHX9/ABCA8/HSP90AB1/ATP2B3/ABCA2/ATP13A2/KIF1C/HSPD1/ATP8B3/ATP10A/KIFC2/ABCD1/KIF12/CHTF18/MORC4/SMARCA2/TRIP13/ATP5F1A/POLQ/PFN2/ABCC4/TOR4A/ATP2A3/MDN1/MOV10/HSP90AA1/XRCC6/ABCB8/RNF213/TOR3A/MCM6/RECQL4/MYO19/PEX1/OLA1/SNRNP200/SMC3/KIFC1/ABCC2/ATP8A1/MCM3/HSPA2/SMARCA1/HELLS/ENTPD2/PMS2/ABCA3/DDX46/KIF18B/KIF15/RFC2/ABCB10/SMARCAD1/ATP13A3/ATP1A1/ACTB/CLPB/ATP8B4/ABCB1/RAD54L/HSPA9/ATP11A/KIF2C/KATNAL1/DHX32/ABCD3/MCM5/KIF3C/ATP7A/VWA8/SPAST/KIF13A/KIF20A",145
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","34/4135","57/18706",0.596491228070175,2.6984195676616,6.8411099778878,1.00120610321274e-09,2.55908279981176e-07,2.55908279981176e-07,"TXN/DLD/QSOX1/GLRX/PGK1/TMX2/PDIA3/NXN/P4HB/TXNRD3/DNAJC10/PDIA5/SRXN1/MSRB1/CLIC1/SELENBP1/MSRB3/ERO1A/TMX3/SELENOT/TMX1/QSOX2/TXNDC12/GSR/PCYOX1L/PDIA6/TXNDC5/TMX4/PDIA4/GSTO1/TXN2/SUMF1/TXNRD1/SUOX",34
"GO:0016853","isomerase activity","148/4135","427/18706",0.346604215456674,1.56797544240207,6.32468956240146,1.31295964589704e-09,2.7966040457607e-07,2.7966040457607e-07,"KIF23/FKBP9/FKBP8/PMM1/EP400/MRE11/KIF11/KIF22/QSOX1/ATRX/DDX1/RUVBL1/CFTR/DSCC1/FIGNL1/DNAH1/KIF5C/WRN/PDIA3/MYO5A/MYO5C/GPI/GALE/P4HB/ECI2/FKBP1A/PPIL1/DDX23/MCM7/XRCC5/TOP1MT/SMARCAL1/EBPL/HSD17B4/MYO9B/PDIA5/PGM1/PPIB/RFC5/MCM4/AMACR/NAXE/EBP/ERCC6L/G3BP1/PGM2/KIF4A/GSTZ1/DNA2/CHD1L/DDX54/PPIA/TOP2A/RAD50/AIP/BLM/DHX40/AQR/RECQL/MYO1B/KIF14/MCM2/RPIA/RAD51/DHX9/PTGES3/MYH10/TPI1/TMX3/FUOM/KIF1C/HSPD1/GALM/FKBP7/ITPK1/FKBP5/EHHADH/KIFC2/KIF12/ISYNA1/PGAM1/CHTF18/SMARCA2/TMX1/POLQ/DNAH5/MYH14/ECHS1/MYO9A/FKBP4/DYNC1I2/MOV10/MYO1C/PTPA/DKC1/QSOX2/TRUB2/PGM2L1/RFC3/MRI1/XRCC6/MYO10/KIFC3/ECI1/MCM6/RECQL4/MYO19/RPUSD1/SNRNP200/SMC3/KIFC1/THAP4/FKBP10/MCM3/PDIA6/TXNDC5/SMARCA1/HELLS/DEGS1/PTGES2/DDX46/PDIA4/KIF18B/KIF15/DYNC2H1/RFC2/MYO1D/MYH9/TOP2B/TBXAS1/ECH1/RAD54L/ENOSF1/FKBP1B/LSS/KIF2C/GLCE/KATNAL1/DHX32/MCM5/KIF3C/FKBP3/MPI/SPAST/KIF13A/PUSL1/KIF20A/STARD9",148
"GO:0140097","catalytic activity, acting on DNA","101/4135","265/18706",0.381132075471698,1.72417330200087,6.3247759684788,2.13742188773145e-09,3.90232167502971e-07,3.90232167502971e-07,"RBBP4/TREX2/SMARCC1/PLD3/MRE11/ATRX/DDX1/OGG1/NTHL1/RUVBL1/DSCC1/POLD1/MLH1/SMARCD2/NME7/DNASE2/DNASE1L1/WRN/DFFB/UNG/EME1/MSH5/METTL4/TET1/NEIL3/POLA1/MCM7/MSH6/XRCC5/TOP1MT/POLE/SMARCAL1/POLD4/MGMT/FEN1/RFC5/MCM4/POLE4/POLE2/NEIL2/ERCC6L/G3BP1/TERT/SETMAR/DNA2/EXD2/CHD1L/TDP1/TOP2A/MSH2/RAD50/BLM/SMARCC2/RECQL/MCM2/RAD51/HLTF/DHX9/DNMT3B/PTGES3/RAD9A/MPG/REXO2/APEX1/SMARCD3/ENDOG/HMGA1/SND1/CHTF18/DMC1/SMARCA2/POLD3/POLQ/LIG1/DKC1/DNMT1/RFC3/XRCC6/MSH3/EXO1/MCM6/RECQL4/PDS5A/RPS3/MCM3/SMARCA1/HELLS/PMS2/RBBP8/MYO18A/RFC2/SMARCAD1/PDS5B/TOP2B/XRCC3/NME1/RAD54L/MYD88/MCM5/PCNA/LIG3",101
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","60/4135","134/18706",0.447761194029851,2.02559151040445,6.34701336779602,4.15772752487679e-09,6.64196972099067e-07,6.64196972099067e-07,"LDHA/ALDH3A1/HADHB/CBR1/DHRS4/FASN/HADHA/AKR1C1/UGDH/HSD17B6/SORD/IDH2/HSD17B8/CYP4F3/HADH/HSD17B11/LDHD/AKR1B10/CHDH/AKR1C2/MDH1/CTBP1/HSD17B4/IMPDH2/PTGR1/ALDH3A2/KCNAB2/G6PD/BDH2/CRYL1/IMPDH1/GRHPR/DHRS7/ME2/L2HGDH/ME1/MDH2/DHRS11/EHHADH/AKR1A1/HPGD/ABCC4/AKR7A2/HSD11B1L/HIBADH/DHRS3/AKR1C3/NSDHL/AKR7A3/LDHB/IDH1/PGD/RDH5/H6PD/SPR/AKR1B1/DHRS4L2/ADH5/D2HGDH/PRXL2B",60
"GO:0003779","actin binding","151/4135","446/18706",0.338565022421525,1.53160757180581,6.05313186496177,5.55680233554196e-09,7.89065931646958e-07,7.89065931646958e-07,"CROCC/FSCN2/YWHAH/RUSC1/SPIRE2/EPS8L2/FLNB/S100A4/SPTBN1/MPRIP/LSP1/PLEC/TMOD3/RAI14/CYFIP1/MAP1A/ANG/DMTN/IQGAP1/MYO5A/ACTN4/MYO5C/BIN1/TWF2/FHOD1/IQGAP3/P4HB/KLHL4/LASP1/TNS4/CORO2A/MYO9B/DBN1/ARPC3/SHROOM3/TLN2/ITGB1/HDAC6/COBL/GSN/ABLIM1/MSN/PARVB/ALDOA/CTNNA2/MARCKS/MSRB1/EZR/TNS1/EPS8L3/EVL/VCL/TAGLN2/CAPZB/CLASP2/EGFR/DSTN/ANTXR1/HNRNPU/ARPC1B/HDGF/MYO1B/EHBP1/FXYD5/ARPC5/LIMD2/FHOD3/WIPF1/ACTR2/PPP1R9A/DIXDC1/CAP2/MYH10/IQGAP2/HOOK1/VASH1/MYLK/INF2/SNTB1/SHANK3/MAP1B/ACTN1/MISP/SETD3/ADD1/CFL1/TNNI3/TLN1/HIP1/TPM1/CAP1/GIPC1/TPM3/EPB41L1/VILL/TRIOBP/PDLIM5/PFN2/TPM4/TMEM201/PDLIM1/MYH14/MYO9A/TMSB4X/MLPH/FERMT1/LIMCH1/PLS3/MYO1C/SHTN1/FLNA/VIL1/MYO10/UTRN/EEF2/MYO19/SYNE2/ANLN/SNTA1/DIAPH3/CALD1/PALLD/ADD3/MYO18A/PFN1/MYO1D/UACA/MYH9/KLHL5/GAS2L1/SSH3/DST/PLS1/EHBP1L1/POF1B/ADD2/CAPG/DAG1/RDX/CNN2/SPTB/SPATA32/SPTBN2/LRRK2/ACE/MTSS2/VASH2/PARVA/WDR1/CORO6/DIAPH2",151
"GO:0051287","NAD binding","31/4135","53/18706",0.584905660377358,2.64600853277361,6.39245391900004,1.06090032867319e-08,1.35583062004434e-06,1.35583062004434e-06,"ALDH1A1/HADHA/UGDH/SORD/ALDH1B1/IDH2/HSD17B8/AOX1/HADH/ALDH2/GLUD1/PARP1/CTBP1/ALDH1A3/BDH2/NNT/CRYL1/GRHPR/ME2/ME1/EHHADH/NDUFS2/QDPR/HPGD/HIBADH/LDHB/IDH1/NDUFV1/SIRT3/GAPDH/UXS1",31
