"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","62/2240","116/9410",0.53448275862069,2.24530480295567,7.54291978510355,4.254934476394e-12,1.49773693569069e-09,1.49773693569069e-09,"ACOX3/HKDC1/OGDHL/PC/DLD/PRPS1/PGK1/ACO1/IDH2/GLYCTK/TKFC/PRPS2/GPI/GLUD1/MDH1/PGP/ACO2/PGLS/GLDC/ALDOA/G6PD/SDHC/ME2/RPIA/PDHA1/TPI1/SUCLG2/ME1/PKM/MDH2/ENO2/ACAT1/HK1/ESD/PFKP/SDHB/PGAM1/PFKL/ENO1/ECHS1/FH/PSAT1/PDHB/ACADS/ACAT2/TALDO1/CAT/GOT2/DLAT/IDH1/PGD/PCCA/H6PD/TKT/HIBCH/OGDH/CS/CPS1/PCCB/GAPDH/ADH5/SHMT1",62
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","27/2240","36/9410",0.75,3.15066964285714,7.22601146645575,1.2140814725508e-10,2.13678339168941e-08,2.13678339168941e-08,"RPA3/POLD1/PRIM1/RPA2/POLA1/MCM7/POLE/POLD4/FEN1/RFC5/MCM4/POLE4/POLE2/POLD2/DNA2/MCM2/RNASEH2B/POLD3/LIG1/RFC3/MCM6/MCM3/RFC2/RPA1/MCM5/PRIM2/PCNA",27
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","89/2240","205/9410",0.434146341463415,1.82380226480836,6.6653687544797,3.32857354876685e-10,3.90552629721977e-08,3.90552629721977e-08,"NDUFA2/AGTR1/VDAC2/INSR/MAPK9/UQCRB/SLC2A4/UQCRFS1/TGFBR2/NDUFA1/CAMK2G/VDAC3/UQCRC1/TGFBR1/UQCRQ/PARP1/ATP5PD/ATP5F1B/MAPK12/ATP2A2/NDUFA10/NDUFB6/NDUFB3/COX6B1/G6PD/MAPK11/SDHC/NDUFB10/TBC1D4/TGFB1/NDUFS6/NDUFS8/AKT1/COX6A1/ATP5F1C/COXFA4/PRKCA/NDUFB5/PLCB2/SMAD3/PDHA1/SLC25A5/RAC1/VDAC1/CTSD/ATP5MC3/SLC25A6/SDHB/TNNI3/COX7A2/NDUFC2/NDUFS2/ATP5F1A/PDK3/PIK3CB/MMP2/ATP2A3/PDHB/PTPA/PDK2/PPP1CA/GSR/COX7A2L/UQCRH/MTOR/UQCR11/SMAD2/PRKCZ/PDK4/NDUFB7/COX5A/CYBA/SLC2A1/NDUFS5/NDUFV1/ATP5MC2/GAPDH/TGFB2/ATP5F1D/NDUFB9/ACE/PPP1CB/NDUFB11/COX7C/COX5B/ATP5PB/IRS1/CYC1/COX6C",89
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","70/2240","158/9410",0.443037974683544,1.86115506329114,6.10138256157515,9.33923395075921e-09,8.2185258766681e-07,8.2185258766681e-07,"CDK4/BUB1B/YWHAH/KNL1/HDAC1/SMC1A/CDK2/E2F2/ATRX/CDC6/ORC5/ANAPC16/MAD2L2/ORC2/AURKB/CHEK1/CCNE2/CDC25B/TFDP1/ANAPC1/MCM7/YWHAE/MCM4/PTTG1/CDC45/ATM/TGFB1/ORC1/SKP2/MCM2/HDAC2/YWHAZ/PPP2R1A/RAD21/SMAD3/PLK1/CCNA2/TRIP13/MAD2L1/CDCA5/RBL2/ANAPC5/BUB1/PKMYT1/ANAPC11/ORC3/PPP2R5D/MCM6/RBL1/PDS5A/SMC3/CCND3/PPP2R5C/E2F1/MCM3/CCNB1/SMAD2/PRKDC/TFDP2/PDS5B/CDT1/YWHAB/CDC25C/SKP1/CDK1/TGFB2/YWHAQ/MCM5/PCNA/CDC20",70
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","18/2240","23/9410",0.782608695652174,3.28765527950311,6.13941876219711,5.41992994954561e-08,3.81563068448011e-06,3.81563068448011e-06,"RPA3/POLD1/MLH1/RPA2/MSH6/POLD4/RFC5/POLD2/MSH2/POLD3/LIG1/RFC3/MSH3/EXO1/PMS2/RFC2/RPA1/PCNA",18
"Genetic Information Processing","Translation","hsa03010","Ribosome","88/2240","223/9410",0.394618834080717,1.65775144138373,5.55601676333601,1.04530577012743e-07,5.51717433873283e-06,5.51717433873283e-06,"MRPL12/RPL18/RPS8/MRPL11/MRPS35/RPLP1/RPL15/RPL22/RPL14/RPL21/MRPL28/RPL35A/RPS25/RACK1/RPL18A/MRPL41/RPL13A/RPS23/RPS9/RPS5/MRPL3/RPS7/MRPL19/RPL37A/RPS27A/RPL7/RPS20/MRPL30/MRPL18/RPL39L/RPL5/FAU/RPS19/RPS14/RPL3/RPS21/RPS2/RPL19/RPL10A/RPS12/RPLP2/MRPL48/MRPS27/RPL24/MRPL54/RPS3A/MRPL15/RPS28/MRPL23/RPS11/RPLP0/RPL41/RPL10/RPL6/RPL9/RPL27A/RPS29/MRPL45/RPL8/RPS16/MRPL37/RPL27/MRPS34/MRPS25/RPS4Y1/RPS3/RPL23A/RPS4X/RPSA/MRPL24/MRPL17/RPL12/MRPS5/MRPS16/RPS6/RPS13/RPL4/RPS24/MRPL2/RPL34/RPL13/RPL7A/RPS18/UBA52/MRPS28/RPL11/RPL28/MRPL42",88
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","66/2240","154/9410",0.428571428571429,1.80038265306122,5.59735072822932,1.16994619222665e-07,5.51717433873283e-06,5.51717433873283e-06,"COL9A3/MET/VTN/LAMB1/ITGA4/FLNB/CDC42/LAMA4/SPP1/PXN/ACTG1/ACTN4/SRC/FGG/ITGB2/COL6A1/TLN2/ITGB1/PDGFB/PARVB/VCL/TGFB1/EGFR/AKT1/ITGB4/FN1/COL6A2/ITGA3/LAMC3/FLT4/ITGB6/COL4A4/RAC1/VEGFB/ITGA11/ACTN1/FGA/COL4A6/TLN1/LAMA5/COL4A1/FBN1/ITGA6/ITGAX/PIK3CB/NPNT/FERMT1/LAMA3/PDGFD/LAMC1/FLNA/ERBB2/IGF1R/ITGAV/RAC3/MTOR/CCND3/COL4A2/COL4A3/ITGB5/CDH1/ACTB/FRAS1/COL4A5/PARVA/FGB",66
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","89/2240","227/9410",0.392070484581498,1.64704609817495,5.51559062443367,1.25390325880292e-07,5.51717433873283e-06,5.51717433873283e-06,"MET/NDUFA2/MGST2/MAP2K2/CBR1/VDAC2/HIF1A/AKR1C1/MAPK9/UQCRB/MGST3/UQCRFS1/PTPRJ/NDUFA1/SRC/MGST1/GSTM2/VDAC3/UQCRC1/UQCRQ/AKR1C2/PLD1/ATP5PD/ATP5F1B/MAPK12/NDUFA10/EPHX2/NDUFB6/EPHX4/KEAP1/NDUFB3/COX6B1/GSTM4/MAPK11/SDHC/NDUFB10/EPHX1/EGFR/NDUFS6/NDUFS8/AKT1/COX6A1/ATP5F1C/COXFA4/SLC26A2/NDUFB5/HMOX1/SLC25A5/RAC1/NOX1/VDAC1/ATP5MC3/SLC25A6/SDHB/COX7A2/AKR1A1/NDUFC2/NDUFS2/MAPK1/ATP5F1A/PIK3CB/PTPN11/AKR1C3/CAT/COX7A2L/UQCRH/UQCR11/GSTM3/ARAF/NDUFB7/COX5A/CYBA/GSTO1/NDUFS5/NDUFV1/SOD1/ATP5MC2/ATP5F1D/GSTA4/NQO1/NDUFB9/NDUFB11/COX7C/SLC26A1/COX5B/ATP5PB/CYC1/MAPK3/COX6C",89
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","81/2240","204/9410",0.397058823529412,1.66800157563025,5.39129692113893,2.46875549088066e-07,9.65557703099992e-06,9.65557703099992e-06,"GPC1/MET/VTN/MAP2K2/HIF1A/SDC1/CDC42/PXN/PRKACB/ACTG1/VAV2/IQGAP1/DROSHA/CAMK2G/TIAM1/SRC/LUM/ROCK2/TFAP4/CTSL/ITGB1/MAPK12/RHOA/FZD2/MSN/PLCG1/WNT5A/EZR/SMO/MAPK11/MRAS/TGFB1/EGFR/PLCE1/CD63/AKT1/FN1/HSPG2/ARHGEF12/CAV2/FZD5/PRKCA/PTPN6/WNT7B/RAC1/PDCD4/VAV3/ANK3/MAPK1/ANK1/ITPR2/PIK3CB/MMP2/PTPN11/FLNA/ERBB2/PPP1CA/IGF1R/FZD1/WNT10B/ITGAV/WNT5B/RRAS/ITPR3/MTOR/FZD3/PTCH1/CAV1/ARAF/SMAD2/HPSE/ITGB5/RPS6/EIF4B/ACTB/TGFB2/RDX/ERBB3/PPP1CB/ROCK1/MAPK3",81
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","65/2240","154/9410",0.422077922077922,1.77310412801484,5.40658263568083,2.87504775707751e-07,1.01201681049128e-05,1.01201681049128e-05,"UGT1A7/QPRT/CPOX/PMM1/GGH/GCLM/DLD/NME4/UGDH/HSD17B6/MOCS1/UGT1A6/NME7/ALDH1B1/UGT1A1/VKORC1L1/PDXP/ALDH2/EARS2/MMAB/VKORC1/TDO2/DHFR/GUSB/FECH/COQ3/GSS/ALDH3A2/GCLC/ADSS2/GMPPB/DHODH/CTPS2/MTHFD1L/HMBS/UGP2/NME2/COQ2/UROS/ADSS1/UGT1A9/EPRS1/AK7/CAD/AKR1A1/NAPRT/MAT1A/PSAT1/NFS1/CTPS1/LIPT2/PDXK/DHRS3/UGT2B7/CMPK1/NME3/ALAD/SPR/MTHFD1/NME1/NQO1/AK5/SHMT1/MPI/RFK",65
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","26/2240","44/9410",0.590909090909091,2.48234577922078,5.50852022389963,5.61829738600885e-07,1.79785516352283e-05,1.79785516352283e-05,"HMGB1/OGG1/NTHL1/POLD1/PARP4/UNG/NEIL3/PARP1/POLE/POLD4/FEN1/RFC5/POLE4/POLE2/NEIL2/POLD2/TDP1/MPG/APEX1/POLD3/PNKP/LIG1/RFC3/RFC2/PCNA/LIG3",26
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","99/2240","268/9410",0.369402985074627,1.55182236140725,5.12250333100012,7.10659474858182e-07,2.08460112625067e-05,2.08460112625067e-05,"NDUFA2/TXN/PINK1/DRD1/PSMA1/VDAC2/SLC39A10/GNAS/MAPK9/SEPTIN5/UQCRB/KIF5C/UBA1/UQCRFS1/PRKACB/TUBA4A/PSMB5/NDUFA1/TUBB/CAMK2G/VDAC3/RPS27A/UQCRC1/CASP9/UQCRQ/GNAI3/ATP5PD/ATP5F1B/PSMB2/NDUFA10/SLC39A3/GNAI2/NDUFB6/SLC39A6/PLCG1/KEAP1/NDUFB3/COX6B1/SDHC/NDUFB10/TUBB4A/PARK7/NDUFS6/NDUFS8/CALM2/COX6A1/TUBA1A/ATP5F1C/COXFA4/SLC39A8/TRAP1/PSMA7/NDUFB5/PSMD2/SLC25A5/VDAC1/SLC39A11/ATP5MC3/SLC25A6/SDHB/SEM1/COX7A2/NDUFC2/NDUFS2/ATP5F1A/PSMD1/ITPR2/SLC39A4/MAOB/UBB/PSMD14/GNAL/CALM3/COX7A2L/UQCRH/ITPR3/UQCR11/TUBA1C/PSMB3/NDUFB7/COX5A/NDUFS5/NDUFV1/SOD1/TXN2/ATP5MC2/UCHL1/ATP5F1D/TUBA1B/NDUFB9/LRRK2/UBA52/PSMB1/NDUFB11/COX7C/COX5B/ATP5PB/CYC1/COX6C",99
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","88/2240","232/9410",0.379310344827586,1.5934421182266,5.11545769655483,8.07578189832121e-07,2.18667325246851e-05,2.18667325246851e-05,"LPAR1/MAP2K2/PIP4K2B/ITGA4/LPAR5/BDKRB2/GNG12/CDC42/CYFIP1/PXN/ACTG1/VAV2/IQGAP1/ACTN4/TIAM1/SRC/IQGAP3/ITGB2/ROCK2/ARPC3/ITGB1/PDGFB/GSN/RHOA/MSN/EZR/VCL/MRAS/EGFR/ARHGAP35/AKT1/ITGB4/FN1/ARPC1B/FGF22/FGD1/ARHGEF12/ITGA3/ARPC5/DOCK1/ACTR2/ITGB6/MYH10/IQGAP2/CYRIB/RAC1/MYLK/ITGA11/ACTN1/CFL1/VAV3/MAPK1/PFN2/ITGA6/ITGAX/MYH14/PIK3CB/TMSB4X/GIT1/PDGFD/SPATA13/PPP1CA/C5/ITGAV/RAC3/RRAS/NCKAP1/PAK2/DIAPH3/ARAF/CYFIP2/F2R/GNA12/PFN1/MYH9/F2/FGFR4/SSH3/ITGB5/MYL9/ACTB/RDX/PIP4K2A/PPP1CB/ROCK1/MAPK3/DIAPH2/LIMK1",88
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","28/2240","50/9410",0.56,2.3525,5.35945362283078,9.53526896931446e-07,2.39743905514192e-05,2.39743905514192e-05,"LDHA/PC/DLD/ALDH1B1/ALDH2/LDHD/ACACB/GLO1/MDH1/ALDH3A2/GRHPR/ME2/PDHA1/ME1/PKM/MDH2/ACAT1/AKR1A1/ALDH9A1/FH/PDHB/ACAT2/ACACA/DLAT/LDHB/ALDH7A1/ADH5/HAGH",28
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","31/2240","59/9410",0.525423728813559,2.20724878934625,5.19912095830607,1.6306691889674e-06,3.82663703011016e-05,3.82663703011016e-05,"MGST2/GCLM/RRM2/GSTP1/GGT1/MGST3/IDH2/GPX2/GGT5/MGST1/GSTM2/GSS/GCLC/G6PD/GSTM4/LAP3/LANCL1/GPX4/GGCT/RRM1/SRM/TXNDC12/GPX8/GSR/GSTM3/IDH1/PGD/GSTO1/GSTA4/GSTK1/PRDX6",31
