"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0048525","negative regulation of viral process",66,0.633931512095967,2.77591841922123,1e-10,1.96e-08,7.058342141654e-09,1631,"tags=39%, list=10%, signal=36%","IFIT1/IFIH1/CCL5/ISG20/ZC3HAV1/MX1/OASL/CH25H/ISG15/OAS2/IL32/ZFP36/IFNB1/RSAD2/IFIT5/ZNFX1/TRIM14/TNIP1/OAS3/IFNL3/TRIM21/TNF/TRIM15/PROX1/SRPK2/TRIM8",NA
"GO:0045071","negative regulation of viral genome replication",42,0.67277688689852,2.62634967556052,2.5293042366622e-09,2.56419119165065e-07,9.23415242208457e-08,1487,"tags=45%, list=9%, signal=41%","IFIT1/IFIH1/CCL5/ISG20/ZC3HAV1/MX1/OASL/ISG15/OAS2/IFNB1/RSAD2/IFIT5/ZNFX1/TNIP1/OAS3/IFNL3/TNF/PROX1/SRPK2",0.774939030136436
"GO:0006261","DNA-templated DNA replication",159,-0.56247732745704,-2.51357731777103,1e-10,1.96e-08,7.058342141654e-09,4097,"tags=56%, list=25%, signal=43%","WRNIP1/RFC1/EME1/PHIP/TICRR/TRAIP/MCM9/ORC5/PNKP/E2F7/FBH1/NBN/TERF1/METTL4/LRR1/DONSON/BRCA2/RFC2/RBBP8/CUL4B/ATRX/POLQ/SETMAR/RFC3/POLE4/GINS1/ORC3/WRN/RFC5/POLE2/GINS3/SMARCAL1/CDK2AP1/POLD1/GMNN/PRIM2/ORC2/PCNA/POLRMT/CARM1/RECQL/XRCC3/DNA2/POLD4/CUL4A/WDR18/DDB1/BARD1/MRE11/MCMBP/CENPX/POLD2/FEN1/CDC45/FAM111B/POLD3/TONSL/GINS4/LIG3/TOPBP1/EXO1/RAD51/MCM3/ORC1/CDC6/MMS22L/PRIM1/POLA1/MCM7/NUCKS1/HLTF/POLE/DTL/RRM1/BRCA1/EXD2/BLM/MCM10/TK1/WDHD1/CDT1/LIG1/RPA1/PARP1/MCM6/MCM5/MCM2/TIMELESS/MCM4",NA
"GO:0042908","xenobiotic transport",42,-0.688121344980015,-2.46169438809467,2.23871307648048e-09,2.31078512175798e-07,8.32158775776092e-08,2162,"tags=55%, list=13%, signal=48%","SLC17A3/SLC2A1/SLC22A5/ATP8B1/ATRAID/ATP7B/GJA1/ABCA3/ABCC1/ABCG2/SLC22A3/CDC50A/SLC7A5/RALBP1/SLC29A1/SLC67A1/SLC29A2/ABCC2/ABCC3/SLC47A1/SLC19A1/ABCC4/SLC29A4",0.774939030136436
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",55,0.577073933249288,2.38946999952847,1.54505003161665e-07,9.17666079384433e-06,3.30469446943141e-06,2257,"tags=47%, list=14%, signal=41%","CCL5/CXCL11/H2BC19P/H2BC18/H2BC21/CCL20/CXCL3/CXCL2/H2BC26/CCL3L1/CCL4/CXCL1/H2BC15/CXCL10/CXCL8/CX3CL1/H2BC8/NPPB/ADM/H2BC6/CCL3/CCL17/TSLP/B2M/LEAP2/H2BC11",0.690132458796796
"GO:0043331","response to dsRNA",23,0.701323868156806,2.38015581540764,4.61268969722895e-06,0.000152374243930934,5.48729360836928e-05,674,"tags=35%, list=4%, signal=33%","IFIT1/PMAIP1/IFIH1/RIGI/IFNB1/TICAM1/RIOK3/OAS3",0.610526878385931
"GO:0006260","DNA replication",291,-0.490036578756917,-2.34848028531948,1e-10,1.96e-08,7.058342141654e-09,4097,"tags=47%, list=25%, signal=36%","WRNIP1/RFC1/EME1/PHIP/TICRR/TRAIP/MCM9/ORC5/PNKP/ACTR5/AKTIP/E2F7/NFIA/FBH1/NBN/TERF1/METTL4/LRR1/POLDIP2/DONSON/BRCA2/RFC2/RBBP8/CUL4B/RPA3/ATRX/POLQ/RPA2/SETMAR/RBBP4/RFC3/POLE4/GINS1/ORC3/WRN/USP1/EGFR/RFC5/POLE2/INO80C/GINS3/SMARCAL1/CDK2AP1/ASCC1/POLD1/CHEK1/DHX9/GMNN/NFIC/NAP1L1/SET/PRIM2/ORC2/PCNA/POLRMT/CARM1/DTD1/RBBP7/RECQL/XRCC3/RUVBL1/CHTF18/SSRP1/ZBTB38/DNA2/POLD4/CUL4A/WDR18/CACYBP/RECQL4/DDB1/JADE2/BARD1/TOP1MT/SUPT16H/SMC3/MRE11/ACTL6A/MCMBP/CENPX/CHAF1A/NT5M/POLD2/GLI2/FEN1/DSCC1/CDC45/FAM111B/JADE1/POLD3/TONSL/GINS4/CDK2/LIG3/DUT/TOPBP1/EXO1/TYMS/PDS5A/RAD51/MCM3/ORC1/CDC6/MMS22L/CDK1/PRIM1/POLA1/VCP/RMI2/MCM7/NUCKS1/HLTF/POLE/DTL/CCNA2/RRM1/BRCA1/EHMT2/EXD2/BLM/PCLAF/MCM10/TK1/WDHD1/GINS2/CDT1/DHFR/LIG1/CHAF1B/RPA1/PARP1/SHMT1/MSH2/MCM6/MCM5/MCM2/TIMELESS/MCM4",NA
"GO:0006270","DNA replication initiation",38,-0.669867232297514,-2.34079846551807,8.82523082272825e-08,6.10498320442848e-06,2.19852348091365e-06,4097,"tags=71%, list=25%, signal=54%","WRNIP1/TICRR/ORC5/NBN/CUL4B/ORC3/GINS3/GMNN/PRIM2/ORC2/CUL4A/DDB1/CDC45/TOPBP1/MCM3/ORC1/CDC6/PRIM1/POLA1/MCM7/DTL/MCM10/CDT1/MCM6/MCM5/MCM2/MCM4",0.704975715167238
"GO:0009100","glycoprotein metabolic process",306,-0.489111026590036,-2.33075748814996,1e-10,1.96e-08,7.058342141654e-09,4772,"tags=50%, list=29%, signal=37%","TMTC3/PXYLP1/FBXO27/RAB1B/GCNT3/GALNT16/TRAK1/NPC1/RECK/HS6ST1/TMTC2/OST4/ENTPD5/MEST/NGLY1/OSTC/GOLPH3/CANT1/SLC35D2/SRD5A3/TET1/DAD1/IDS/SULF2/MANBA/UBE2J1/GMPPB/JAK3/PCSK6/B3GALT6/CCDC134/CHSY1/CHST14/MARCHF6/NECAB3/SLC39A8/B3GNT9/HPSE/BMPR2/NDST1/MAN2A2/FUT8/CSGALNACT1/GALNT18/MGAT1/ABCA7/RNF5/PMM1/IDUA/STT3A/MESD/GNPTG/GLCE/CTSL/GALNT7/HS3ST6/GALNT5/SLC35B2/EXTL3/ATP7A/MAN1A2/AQP11/AMFR/SLC51B/POGLUT2/B4GALT7/MAN2A1/DPAGT1/MGAT4A/ITM2B/MAN2B2/GDPD5/RFT1/LARGE2/CHST3/ALG3/LARGE1/GNS/ST6GALNAC4/NAGLU/MGAT3/FBXO17/HEXB/UGGT2/MGAT4B/GALNT11/ST3GAL4/ADAMTS12/POMGNT2/UGGT1/B3GLCT/ALG8/POGLUT3/HGSNAT/B4GALT4/GALNS/ARSB/AGA/CHST7/ALG1/GALNT12/FBXO2/ST6GAL1/TMEM59/CHST12/DDOST/MPDU1/RPN2/POFUT1/POMT2/ITM2C/ALG6/ADAM10/GUSB/XYLT2/RPN1/CST3/GNPTAB/MAN1B1/ST6GALNAC3/STT3B/B3GNT3/GANAB/B4GALT1/EXT2/GLB1/B4GAT1/CHP1/FAM20B/TM9SF2/HIF1A/PRKCSH/C1GALT1C1/XXYLT1/SOAT1/EDEM2/CHST10/GALNT10/TMTC4/GALNT13/ABCA2/GALNT14/TUSC3/HS2ST1/ST6GAL2/ST3GAL5/BACE2/GALNT2/GPC1/COLGALT1/GAL3ST1/GALNT1/UGDH/MGAT5B",NA
"GO:0098754","detoxification",125,-0.543141493794205,-2.326907199941,1e-10,1.96e-08,7.058342141654e-09,2945,"tags=44%, list=18%, signal=37%","HAGH/GPX4/CP/GSTM3/MT1F/SOD1/ATP7A/MGST2/TXN/MT1A/ESD/SLC17A3/GSTO1/PRDX6/PARK7/AKR1A1/GSTK1/TXNRD3/MB/GSTP1/PGP/SELENOF/ADH5/CLYBL/ATP7B/CAT/AMBP/PRDX1/GSTZ1/PRDX3/PNKD/MTARC1/LANCL1/ALDH2/NXN/PRDX4/AKR7A2/ABCG2/UGT1A7/GPX2/RALBP1/MGST3/RAB40B/SLC67A1/DHFR/NQO1/PRXL2A/NNT/MGST1/SLC47A1/GSR/TXNRD1/SLC29A4/AKR1B10/ALDH1A1",NA
