"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa01200","Carbon metabolism",99,-0.627191723248919,-2.62716518439047,1e-10,8.8e-09,1.18331155646547e-09,3237,"tags=58%, list=19%, signal=47%","1738/9563/48/6390/2271/4190/4967/5223/2098/2731/1431/5095/1737/8310/26007/50/5160/2746/5631/283871/26275/5162/2026/1892/4191/128/7167/6391/25796/847/2597/5091/39/38/35/4200/3098/2806/80201/5230/5096/5214/4199/5315/8801/7086/3417/6888/3418/5211/5634/2023/1373/6470/5226/2821/2539",NA
"hsa04668","TNF signaling pathway",113,0.528167602911468,2.52347886360199,1e-10,8.8e-09,1.18331155646547e-09,1443,"tags=31%, list=9%, signal=28%","7128/9586/6352/2353/7185/3659/1540/3725/355/3383/4792/3456/6364/8503/330/5606/2921/2920/5295/1326/843/9021/3976/2919/4790/3627/1435/4318/7124/7133/6376/4049/836/8837/64127",NA
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",51,0.615734945531614,2.47764105739619,1.31006406110073e-08,4.61142549507457e-07,6.2008557728423e-08,1940,"tags=49%, list=12%, signal=43%","6352/6373/6364/8793/2921/2920/6349/6351/2919/3587/3627/8740/7852/9560/8795/3576/1435/7124/7133/1233/6376/4049/1436/6348/6361",0.747739663149885
"hsa04060","Cytokine-cytokine receptor interaction",174,0.48071257761165,2.47630659428527,1e-10,8.8e-09,1.18331155646547e-09,3344,"tags=46%, list=20%, signal=37%","6352/3604/4050/282616/9235/6373/355/4804/3456/6364/282618/3575/3552/8793/2921/2920/6349/51561/130399/6351/3976/2919/8741/64109/3587/10148/8744/282617/943/3627/8740/3595/7852/132014/9560/970/8795/3576/1435/3603/10673/7124/3601/60401/269/7133/1233/6376/4049/1436/3592/4803/2661/6348/84957/6361/94/85480/3460/151449/1437/3596/3624/90/5008/3590/4283/83729/4352/163702/146433/3574/958/3567/92/5618/23529/2826/3569/650",NA
"hsa03030","DNA replication",35,-0.719615263046424,-2.43824249405426,1.47716794700826e-09,8.66605195578178e-08,1.16529993502349e-08,3639,"tags=77%, list=22%, signal=60%","79621/5982/6119/6118/5983/56655/5985/5427/5424/5558/5111/1763/57804/5425/2237/10714/4172/5557/5422/4176/5426/3978/6117/4175/4174/4171/4173",0.788186810800237
"hsa00620","Pyruvate metabolism",40,-0.681149039728708,-2.40773470012234,7.37569973898008e-09,3.24530788515123e-07,4.36387536907723e-08,3268,"tags=65%, list=20%, signal=52%","223/1738/2271/4190/3029/2739/32/1737/219/10327/5160/5162/31/4191/128/9380/5091/39/38/4200/217/4199/5315/501/3939/224",0.761460801445585
"hsa04622","RIG-I-like receptor signaling pathway",56,0.568575153610391,2.37128491715523,1.09767146363667e-07,1.83990645333385e-06,2.47407110118788e-07,1179,"tags=29%, list=7%, signal=27%","79132/64135/23586/9636/1540/4792/3456/57169/843/4790/4793/3665/3627/7189/3576/7124",0.704975715167238
"hsa00010","Glycolysis / Gluconeogenesis",51,-0.644553161430243,-2.3679107360479,8.61422021747402e-09,3.36911724061206e-07,4.53035837034466e-08,2071,"tags=53%, list=12%, signal=47%","1737/219/10327/5160/55276/5162/2026/128/7167/2597/3098/5236/217/80201/5230/5214/92579/5315/501/5211/3939/2023/224/130589/2821/218/221",0.747739663149885
"hsa04064","NF-kappa B signaling pathway",89,0.508371409119495,2.3358492344486,1.74770924138535e-08,5.59266957243314e-07,7.52030742790104e-08,1418,"tags=34%, list=8%, signal=31%","7128/23586/7185/4050/1540/3383/1647/4792/4791/330/148022/5971/2921/2920/5336/4616/8915/6351/2919/4790/597/8740/7189/9560/3576/10673/7124/60401/4049/8837",0.73376198835648
"hsa04981","Folate transport and metabolism",23,-0.747928832734691,-2.30678314395943,2.68943125209776e-07,3.78671920295364e-06,5.09189612948267e-07,1534,"tags=48%, list=9%, signal=43%","113235/7298/4363/9429/1244/1719/4522/8714/6470/6573/10257",0.674962860011025
"hsa00071","Fatty acid degradation",36,-0.659760124994333,-2.30405526895018,2.59723962906081e-07,3.78671920295364e-06,5.09189612948267e-07,1944,"tags=53%, list=12%, signal=47%","219/8310/1962/10449/1374/113612/10455/1892/128/3032/1632/39/38/35/217/3030/501/224/3033",0.674962860011025
"hsa01212","Fatty acid metabolism",54,-0.611822774465198,-2.2878534705326,7.86169679981618e-08,1.39634570585338e-06,1.87762728472413e-07,2919,"tags=50%, list=17%, signal=41%","64834/60481/2181/2194/7923/8310/201562/1962/10449/1374/31/1892/9524/3032/39/38/35/3030/3992/3295/5538/6342/6319/3033/79966/51495/9415",0.704975715167238
"hsa03410","Base excision repair",44,-0.640869397409687,-2.28656152195036,2.78442790751695e-08,6.38042963912034e-07,8.57958650816579e-08,4055,"tags=61%, list=24%, signal=47%","5981/11284/4968/5982/55775/5983/56655/328/5985/5427/5424/5111/57804/4350/252969/5425/2237/3146/10714/55247/3980/4913/143/5426/3978/142/7374",0.73376198835648
"hsa00052","Galactose metabolism",26,-0.720650928320097,-2.27153590662258,1.61848878919775e-07,2.5895820627164e-06,3.48213906957727e-07,2454,"tags=65%, list=15%, signal=56%","2717/8704/55276/7360/3098/5236/2683/2720/80201/2548/5214/92579/231/5211/2584/130589/57016",0.690132458796796
"hsa00020","Citrate cycle (TCA cycle)",29,-0.684946608223831,-2.26524584945055,1.43657375903183e-06,1.36668638697082e-05,1.83774522246205e-06,3237,"tags=62%, list=19%, signal=50%","1738/48/6390/2271/4190/4967/1431/1737/50/5160/5162/4191/6391/5091/47/8801/3417/3418",0.643551836150722
"hsa00510","N-Glycan biosynthesis",54,-0.604147787635193,-2.25915358228364,1.69355276167311e-07,2.59187205264754e-06,3.48521835542921e-07,4453,"tags=59%, list=27%, signal=44%","100128731/58505/22845/79644/1603/207063/4122/2530/4245/3703/10905/4124/1798/11320/8704/10195/4248/11282/79053/56052/6480/1650/6185/29929/6184/11253/201595/23193/2683/7991/84620/146664",0.690132458796796
"hsa00480","Glutathione metabolism",42,-0.629590080216972,-2.23906995871145,5.22721676738764e-07,6.07440064707551e-06,8.16807782305201e-07,2990,"tags=64%, list=18%, signal=53%","6723/2879/2947/51056/4258/51060/9446/9588/373156/79017/2950/2941/2948/2687/10314/6240/2730/2877/2729/4259/3417/3418/4257/5226/6241/2936/2539",0.659444398037935
"hsa05323","Rheumatoid arthritis",65,0.521138325232115,2.23687918833156,1.12574353056831e-06,1.10101230382116e-05,1.48050066241164e-06,1179,"tags=31%, list=7%, signal=29%","6352/2353/4050/3725/3383/6364/3552/2921/2920/6349/51561/2919/8741/535/534/3576/1435/3112/10673/7124",0.643551836150722
"hsa03430","Mismatch repair",23,-0.711423508466546,-2.19419239601537,3.66665038315827e-06,3.00153705784119e-05,4.03608350875322e-06,3372,"tags=78%, list=20%, signal=63%","5982/6119/6118/5983/5985/5424/5395/4292/5111/57804/5425/2956/10714/9156/4437/3978/6117/4436",0.627256739718528
"hsa01523","Antifolate resistance",27,-0.683715743316865,-2.1922202480895,5.07045038273217e-06,4.05636030618574e-05,5.45447503124703e-06,1588,"tags=48%, list=10%, signal=44%","2618/113235/7298/4363/8836/9429/471/1244/1719/8714/6470/6573/10257",0.610526878385931
"hsa00513","Various types of N-glycan biosynthesis",41,-0.616974353946346,-2.18331474500212,2.54057819904315e-06,2.25274756525336e-05,3.02920707700426e-06,3213,"tags=51%, list=19%, signal=41%","4122/2530/4245/3703/10905/4124/11320/284004/8704/10195/3074/11282/56052/1650/6185/6184/11253/201595/2683/338707/7991",0.627256739718528
"hsa01240","Biosynthesis of cofactors",130,-0.500634258782311,-2.1743593201611,2.59946410694427e-09,1.30715909377769e-07,1.75770052477962e-08,5009,"tags=58%, list=30%, signal=41%","7389/6999/93100/2356/387787/8942/80347/55163/4338/79646/50808/60490/133686/54578/57026/51109/51805/29925/2937/1355/79001/4337/29968/29922/587/4830/1723/124454/1738/65220/4832/5372/326625/210/1371/54658/23475/55312/159/9054/219/10327/3145/2058/2235/7360/4351/25902/154807/9249/6697/7390/122481/1503/2990/56474/217/51727/27235/8836/790/4833/54600/2730/54577/8566/122622/26289/2729/1719/1728/4522/224/6470/7358",0.774939030136436
"hsa05032","Morphine addiction",67,-0.555371245646544,-2.16688720491563,1.12603531072618e-06,1.10101230382116e-05,1.48050066241164e-06,4384,"tags=60%, list=26%, signal=44%","5566/5578/55879/10846/2770/5136/3763/112/54331/408/8622/2564/2869/2791/5142/5151/2773/2783/115/1812/5139/5567/50940/134/409/2870/59345/5137/2778/27115/55970/113/5140/10681/2782/109/107/2771/2558/2562",0.643551836150722
"hsa05162","Measles",106,0.448430721125094,2.16402905191327,4.72153654194858e-07,5.73096849229621e-06,7.70627414394726e-07,833,"tags=21%, list=5%, signal=20%","7128/64135/23586/27113/4599/2353/3310/4939/3725/355/4792/3456/3552/8503/6776/5295/4940/4600/4790/4793/3665/7189",0.674962860011025
"hsa00982","Drug metabolism - cytochrome P450",32,-0.638662435097636,-2.16350845947864,1.39776363154426e-05,9.46178458276117e-05,1.27229989108728e-05,2719,"tags=50%, list=16%, signal=42%","2947/316/4258/54658/9446/373156/2950/2941/2948/128/54600/54577/4259/4257/218/221",0.593325476396405
"hsa04512","ECM-receptor interaction",69,-0.552433242017978,-2.16198121865201,5.34961420623127e-07,6.07440064707551e-06,8.16807782305201e-07,2787,"tags=43%, list=17%, signal=36%","3339/1282/3685/961/1284/3910/1287/1291/2335/3915/6696/3694/255743/3911/3675/3676/10319/3161/7448/3691/1286/1288/3655/80144/1605/6382/3688/3909/3912/3693",0.659444398037935
"hsa00280","Valine, leucine and isoleucine degradation",45,-0.600317631952336,-2.1616823313487,2.55994041506064e-06,2.25274756525336e-05,3.02920707700426e-06,3326,"tags=56%, list=20%, signal=45%","587/223/1738/3712/54511/594/316/64087/5095/219/1962/10449/26275/1892/11112/3032/39/38/35/217/3030/5096/501/224/3033",0.627256739718528
