"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","104/2570","400/18842",0.26,1.90619455252918,7.28023675042659,2.41951033404669e-11,1.42267207641945e-07,1.42267207641945e-07,"OAS2/IFIT3/IFI44L/TRAF3IP3/HERC5/TRIM15/ISG20/ZBP1/ZCCHC3/ABCC9/TRIM21/TRAF6/CRCP/IFNB1/TNFAIP3/IL1B/NLRP3/PLA2G10/IFNL4/IFIT1/USP18/RIGI/TNF/IFIT1B/SMPD1/CXCL10/CCL5/PMAIP1/SELENOK/LYST/POU2AF1/IFIH1/IFI44/USP44/TBX21/STING1/BATF3/OASL/ISG15/POLR3C/NFKBIZ/DUOX2/IFNGR2/RIOK3/TANK/GBP7/IFNLR1/BST2/CCL4/FGR/NLRP1/RAB2B/TRIM8/IFITM1/GBP1/DDX60/TLR2/IRF5/IFI6/POU2F2/SAMHD1/OAS3/GBP3/MX1/IFNL2/NFKB1/GBP5/IRF1/IRGM/POLR3F/FOXP3/CXCR4/YJU2B/FOSL1/IL23A/VWCE/RSAD2/IFI27/IFIT2/LGALS8/TRIM52/MX2/GBP2/TRIM26/GATA3/TRAF3IP2/IFNL3/BNIP3/CGAS/IFNL1/ZNFX1/IRF7/ZNF175/IL6/IL12A/DTX3L/RTP4/IRF9/ZC3HAV1/ZC3H12A/IFIT5/DHX58/TNFSF4/TICAM1",104
"GO:0051607","defense response to virus","83/2570","305/18842",0.272131147540984,1.99513427313899,6.96321728288886,2.28503676543927e-10,6.71800809039146e-07,6.71800809039146e-07,"OAS2/IFIT3/IFI44L/TRAF3IP3/HERC5/TRIM15/ISG20/ZBP1/ZCCHC3/ABCC9/TRIM21/TRAF6/CRCP/IFNB1/TNFAIP3/IL1B/PLA2G10/IFNL4/IFIT1/USP18/RIGI/TNF/IFIT1B/CXCL10/PMAIP1/SELENOK/LYST/IFIH1/USP44/STING1/OASL/ISG15/POLR3C/NFKBIZ/RIOK3/TANK/GBP7/IFNLR1/BST2/NLRP1/RAB2B/TRIM8/IFITM1/GBP1/DDX60/TLR2/IRF5/IFI6/SAMHD1/OAS3/GBP3/MX1/IFNL2/GBP5/IRF1/IRGM/POLR3F/FOXP3/IL23A/RSAD2/IFI27/IFIT2/TRIM52/MX2/GBP2/TRIM26/TRAF3IP2/IFNL3/BNIP3/CGAS/IFNL1/ZNFX1/IRF7/ZNF175/IL6/DTX3L/RTP4/IRF9/ZC3HAV1/ZC3H12A/IFIT5/DHX58/TICAM1",83
"GO:1903131","mononuclear cell differentiation","106/2570","439/18842",0.241457858769932,1.77025251943309,6.48961814474037,1.54962787661381e-09,3.03727063816307e-06,3.03727063816307e-06,"HDAC9/RHOH/ID2/LIF/RAG2/DNAJB9/CEBPG/LAG3/RELB/BTK/IFNB1/CSF3/IL7/IL1B/NLRP3/ZBTB46/CFLAR/DUSP10/RUNX1/VNN1/DLL1/CRTAM/CLCF1/PIK3R1/DHRS2/CD74/POU2AF1/IL18RAP/USP44/TBX21/BATF3/PIK3R3/IL4I1/NFKBIZ/LIG4/CFB/RC3H1/DLL4/NFIL3/BCL6/CD8A/TNFSF13B/PRDM16/CD79A/KMT2A/IRF8/SHH/TLR2/MMP9/VCAM1/CSF1/IL7R/IKZF3/NFKBID/PTGER4/PDE2A/CD27/PAX5/FNIP1/IRF1/HLA-G/FOXP3/FLT3LG/SOCS3/BRD2/SOCS1/IL23A/PDP2/PLCG2/RSAD2/HLA-B/SH3RF1/IRF4/STAT5A/GATA3/PNP/CSF1R/TRAF3IP2/CSF2/SMARCE1/IFNL1/IRF7/AGER/ADAM8/LAPTM5/IL6/CAMK4/RAG1/INHBA/ICOSLG/ZFP36L2/XBP1/IL34/SEMA4A/HCLS1/IL1A/ZC3H12A/IL20RB/BATF2/KLF6/INPP5D/TNFSF4/SPI1/PRDM1/FOS/TNFSF9",106
"GO:0001819","positive regulation of cytokine production","115/2570","499/18842",0.230460921843687,1.68962828380496,6.20480622910419,5.69847894910182e-09,8.37676405517967e-06,8.37676405517967e-06,"OAS2/OSM/ZNF580/TRAF3IP3/EGR1/LTB/TRIM15/ORM2/ZCCHC3/EBI3/CEBPG/IL16/HAVCR2/TRAF6/CCL3/BTK/SEMA7A/NOD2/C3AR1/TXK/IL7/C1QTNF4/NR1H4/IL13/DDIT3/IL1B/NLRP3/NR4A3/IL12RB2/RUNX1/CRLF2/RIGI/BTN3A1/TNF/CARD9/CRTAM/SULF1/CD274/SELENOK/SIGLEC16/UCN/CD74/POU2AF1/IL18RAP/IFIH1/TBX21/STING1/IL32/ISG15/EIF2AK3/POLR3C/CD160/RIOK3/TANK/NLRC4/FGR/NLRP1/RAB2B/B2M/SLC11A1/PANX3/SPHK1/TLR2/LACC1/IRF5/IL17RE/POU2F2/OAS3/PTGER4/ARRDC4/TNFRSF8/HLA-A/ZBTB20/MEFV/GBP5/IRF1/HLA-G/POLR3F/USP50/IL23A/PLCG2/RSAD2/IRF4/GATA3/SECTM1/PNP/HMSD/HLA-F/FCGR1A/IL17REL/CSF1R/TRAF3IP2/CSF2/CGAS/IFNL1/IRF7/AGER/ADAM8/LAPTM5/TSLP/IL6/IL12A/CD7/JAK2/XBP1/MIR324/IL1A/ZC3HAV1/IL20RB/DHX58/BCL10/TNFSF4/TICAM1/TNFRSF14/CEACAM20",115
"GO:0002819","regulation of adaptive immune response","56/2570","190/18842",0.294736842105263,2.16086831865656,6.39138714365841,9.099277237884e-09,9.44250190958447e-06,9.44250190958447e-06,"AHR/EBI3/LAG3/HAVCR2/TRAF6/BTK/IFNB1/RAET1L/TNFAIP3/ULBP1/IL1B/NLRP3/IL12RB2/CARD9/CR1L/CLCF1/CD274/ULBP2/TBX21/IL4I1/NFKBIZ/CD160/RC3H1/BCL6/B2M/SLC11A1/TNFRSF1B/NFKBID/ALOX15/HLA-A/IRF1/HLA-G/FOXP3/BRD2/IL23A/CEACAM1/RSAD2/HLA-B/HLA-C/STAT5A/SECTM1/HLA-F/IRF7/AGER/IL6/IL12A/CD7/SHLD3/TNFSF13/HLA-H/ZC3H12A/TNFSF4/SAMSN1/TNFRSF14/SUSD4/KLRD1",56
"GO:0048525","negative regulation of viral process","30/2570","74/18842",0.405405405405405,2.97223682826796,6.75560106382749,9.63520603018824e-09,9.44250190958447e-06,9.44250190958447e-06,"TNIP1/OAS2/TRIM15/HEXIM1/ISG20/PROX1/TRIM21/IFNB1/TRIM14/IFIT1/TNF/CCL5/IFIH1/OASL/IL32/ISG15/CH25H/FAM111A/BST2/TRIM8/IFITM1/SRPK2/OAS3/MX1/RSAD2/IFNL3/ZNFX1/ZFP36/ZC3HAV1/IFIT5",30
"GO:0030098","lymphocyte differentiation","87/2570","356/18842",0.24438202247191,1.79169107681546,5.99318030027349,2.4883746423388e-08,2.09023469956459e-05,2.09023469956459e-05,"HDAC9/RHOH/ID2/RAG2/DNAJB9/CEBPG/LAG3/RELB/BTK/IFNB1/IL7/IL1B/NLRP3/ZBTB46/DUSP10/RUNX1/VNN1/DLL1/CRTAM/CLCF1/PIK3R1/CD74/POU2AF1/IL18RAP/USP44/TBX21/PIK3R3/IL4I1/NFKBIZ/LIG4/CFB/RC3H1/DLL4/NFIL3/BCL6/CD8A/TNFSF13B/PRDM16/CD79A/KMT2A/IRF8/SHH/VCAM1/IL7R/IKZF3/NFKBID/PTGER4/CD27/PAX5/FNIP1/IRF1/HLA-G/FOXP3/FLT3LG/SOCS3/BRD2/SOCS1/IL23A/PDP2/PLCG2/RSAD2/SH3RF1/IRF4/STAT5A/GATA3/PNP/TRAF3IP2/SMARCE1/IFNL1/ADAM8/LAPTM5/IL6/CAMK4/RAG1/INHBA/ICOSLG/ZFP36L2/XBP1/SEMA4A/IL1A/ZC3H12A/KLF6/INPP5D/TNFSF4/SPI1/PRDM1/TNFSF9",87
"GO:0097191","extrinsic apoptotic signaling pathway","54/2570","186/18842",0.290322580645161,2.12850508346931,6.14679591491319,2.94121776717856e-08,2.09479868795015e-05,2.09479868795015e-05,"FYN/RET/LTB/BCL2A1/NGFR/TMC8/TNFAIP3/TRAF1/NGF/BCL2L2/IL1B/CFLAR/PEA15/BCL2L10/BIRC3/CD70/TNF/ICAM1/PMAIP1/GPER1/RFFL/CYLD/NFKBIZ/GABARAP/MOAP1/TNFRSF1B/IFI6/EYA3/DIABLO/DDX47/UNC5B/CD27/MCL1/TNFSF14/TCF7L2/TNFRSF10B/ATF3/LTA/DEDD/GDNF/FAS/IFI27/SH3RF1/KLF4/CSF2/IL12A/INHBA/JAK2/IL1A/SNAI2/G0S2/BCL10/SPI1/ACSL5",54
"GO:0002697","regulation of immune effector process","85/2570","347/18842",0.244956772334294,1.79590486549524,5.94698438061356,3.20632452237268e-08,2.09479868795015e-05,2.09479868795015e-05,"AHR/TRIL/NCF1/CFP/DNAJB9/LAG3/HAVCR2/TRAF6/BTK/SEMA7A/NOD2/IFNB1/RAET1L/ULBP1/IL13/IL1B/C2/NLRP3/NR4A3/RIGI/COLEC11/TNF/CR1L/CRTAM/CLCF1/ICAM1/MASP2/CD274/ULBP2/TGFB3/CD74/TBX21/IL4I1/NFKBIZ/CD160/CFB/RC3H1/BST2/FGR/RASGRP4/B2M/TNFRSF1B/DDX60/LACC1/IRF5/C4A/NFKBID/HLA-A/HLA-G/FOXP3/BRD2/IL23A/PLCG2/CEACAM1/RSAD2/HLA-B/HLA-C/STAT5A/SECTM1/IL5/HLA-F/ITGAM/CD22/IFNL1/AGER/LAPTM5/IL6/IL12A/CD7/SHLD3/XBP1/TNFSF13/HLA-H/ZC3H12A/DNASE1/DHX58/INPP5D/BCL10/TNFSF4/TICAM1/SPI1/TNFRSF14/SUSD4/NECTIN4/KLRD1",85
"GO:0003341","cilium movement","69/2570","264/18842",0.261363636363636,1.91619207640608,5.95781597128907,4.31264319070578e-08,2.535834196135e-05,2.535834196135e-05,"DNAI1/RSPH6A/CATSPERD/ADCY10/IQUB/DNAH17/SPMIP9/CCDC181/SPAG17/DNAH6/CATSPERH/DNAAF1/DNALI1/DRC5/TSSK4/DRC2/CFAP210/MYCBPAP/CCDC38/DRC1/TSSK6/LRRC46/CIMIP2A/SPMIP6/CFAP276/DNAH9/CABYR/CFAP251/CATSPERE/GAPDHS/DNAH12/DRC3/DNAJB13/DNAI4/TEKT2/CFAP53/SPEF2/TTC21A/CFAP43/SPAG6/TAC3/CFAP52/IRGC/ENKUR/CFAP54/DNAH3/CFAP70/RNASE10/ODAD4/DNAH2/CATSPERQ/DNAH11/SAXO4/CFAP97D1/SPEF1/RFX3/EFCAB6/BBS1/CFAP46/TTLL6/NEK10/ATP1A4/SPAG8/BBOF1/QRICH2/DNAI3/AKAP3/CFAP65/TMEM232",69
