"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","91/1188","298/9410",0.305369127516779,2.41879081644182,9.46042971600445,9.27352051033649e-17,3.26427921963844e-14,3.26427921963844e-14,"OSM/ACVRL1/LTB/TNFRSF10D/CXCR6/NGFR/LIF/GDF9/EBI3/IL16/BMP8A/CCL3/CXCL8/IFNB1/RELT/GDF7/CSF3/TNFRSF10C/BMP2/NGF/IL7/CXCL11/IL13/IL1B/IL12RB2/INHBE/INHBC/CRLF2/MPL/ACVR1C/CD70/TNF/CXCL10/CLCF1/CCL5/EDAR/TGFB3/IL18RAP/IL32/IFNGR2/MSTN/IFNLR1/CCL4/TNFSF13B/CX3CL1/TNFRSF1B/IL10RA/PRLR/IL17RE/CSF1/AMHR2/IL7R/TNFRSF8/IFNL2/CXCL2/CD27/CCL4L2/CCR4/CXCL3/TNFSF14/CCL20/CXCR4/TNFRSF10B/LTA/TNFRSF9/IL23A/FAS/CCR10/TNFRSF18/CXCL1/CCL3L1/CXCL9/IL5/CSF1R/IFNL3/CSF2/IFNL1/IL15RA/TSLP/IL6/EDA2R/IL12A/CCL17/INHBA/IL34/TNFSF13/IL1A/IL20RB/TNFSF4/TNFRSF14/TNFSF9",91
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","38/1188","105/9410",0.361904761904762,2.8666025332692,7.31104622957848,4.65539500780195e-10,8.19349521373143e-08,8.19349521373143e-08,"LTB/BCL2A1/GADD45A/RELB/TRAF6/BTK/CXCL8/TNFAIP3/TRAF1/IL1B/CFLAR/BIRC3/RIGI/TNF/ICAM1/EDAR/CYLD/CCL4/TNFSF13B/GADD45G/VCAM1/CXCL2/NFKB1/CCL4L2/CXCL3/TNFSF14/LTA/CARD14/GADD45B/TAB2/PLCG2/CXCL1/LAT/NFKBIA/EDA2R/NFKB2/BCL10/TICAM1",38
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","40/1188","119/9410",0.336134453781513,2.66247913306737,6.93728715957868,2.04616626862407e-09,2.40083508851891e-07,2.40083508851891e-07,"CASP10/LIF/NOD2/IFNB1/TNFAIP3/TRAF1/IL1B/CFLAR/BIRC3/TNF/CXCL10/MAP2K3/ICAM1/CCL5/PIK3R1/PIK3R3/CYLD/CX3CL1/JUN/TNFRSF1B/MMP9/VCAM1/CSF1/CXCL2/NFKB1/IRF1/CXCL3/CCL20/SOCS3/LTA/TAB2/FAS/CXCL1/CASP3/CREB5/CSF2/MAP3K8/NFKBIA/IL6/FOS",40
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","51/1188","180/9410",0.283333333333333,2.2442480359147,6.40668814046672,1.08921056789301e-08,9.58505299745853e-07,9.58505299745853e-07,"OAS2/CFP/TRAF6/IFNB1/TAP1/IL1B/NXF1/BIRC3/RIGI/TNF/CARD9/TAPBPL/HLA-DOB/CCL5/PIK3R1/CD74/IFIH1/STING1/PIK3R3/IFNGR2/HLA-DOA/BST2/B2M/TLR2/POU2F2/ITGA5/OAS3/NFKB1/HLA-A/HLA-G/TNFSF14/SOCS3/LTA/TAB2/FAS/HLA-B/HLA-C/HLA-F/CASP3/NXF3/CGAS/IRF7/NFKBIA/IL6/IL12A/JAK2/IRF9/ZC3HAV1/HCFC2/TICAM1/TNFRSF14",51
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","33/1188","100/9410",0.33,2.61388888888889,6.16722807212896,8.70193572652924e-08,6.12616275147659e-06,6.12616275147659e-06,"TNFRSF10D/CCL3/CXCL8/TNFRSF10C/CXCL11/TNF/CXCL10/CCL5/IL18RAP/CCL4/CX3CL1/TNFRSF1B/IL10RA/CSF1/CXCL2/CCL4L2/CCR4/CXCL3/TNFSF14/CCL20/CXCR4/TNFRSF10B/LTA/CCR10/CXCL1/CCL3L1/CXCL9/CSF1R/IL6/CCL17/IL34/IL20RB/TNFRSF14",33
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","52/1188","201/9410",0.258706467661692,2.04918170092299,5.71523007073173,2.05989342029166e-07,1.20847080657111e-05,1.20847080657111e-05,"H3C12/MDM2/CDKN1B/BCL2A1/GADD45A/PDGFA/ID2/REL/NGFR/CCNT2/CXCL8/H3C13/TRAF1/DDIT3/PER2/NR4A3/RUNX1/BIRC3/DUSP6/H3C6/WNT16/PAX8/CDKN2C/NFKBIZ/H3C2/BCL6/KDM6A/ETV7/GADD45G/KMT2A/MMP9/NFKB1/PAX5/ZBTB17/RUNX2/CCND2/H3-3B/GADD45B/CDKN1A/H3C10/H3-5/FCGR1A/CSF1R/ITGAM/CSF2/IL6/ITGB7/CCNT1/SIX4/MEIS1/SPI1/HOXA11",52
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","67/1188","300/9410",0.223333333333333,1.76899551066218,5.14536824220003,1.47323808101607e-06,7.40828292168083e-05,7.40828292168083e-05,"RET/FGF21/MKNK2/GADD45A/PDGFA/BRAF/NGFR/MAP3K10/ANGPT2/RELB/TRAF6/FGF20/MAPK8IP2/MAP4K4/NFATC1/CACNB2/PGF/NGF/DDIT3/IL1B/IGF2/DUSP8/DUSP10/SRF/TNF/RASGRP3/PTPN5/DUSP6/MAP2K3/FGF8/TGFB3/CACNA1E/CACNA1C/PRKCG/RASGRP4/MAPK8IP3/GADD45G/NR4A1/JUN/LAMTOR3/NLK/ANGPT4/CSF1/CACNG8/TEK/NFKB1/CACNA1F/FLT3LG/RRAS2/GDNF/GADD45B/TAB2/FAS/HSPA6/CACNB1/FGF19/FGF18/CSF1R/CASP3/MAP3K8/NFKB2/FGF1/IL1A/FGF2/PLA2G4C/FGF5/FOS",67
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","21/1188","56/9410",0.375,2.97032828282828,5.62114955901983,1.88515150848353e-06,8.29466663732755e-05,8.29466663732755e-05,"CLK1/SAR1A/CXCL8/IL1B/TNF/CR1L/NLRC4/TLR2/CXCL2/NFKB1/CXCL3/HSPA6/CXCL1/CASP3/ITGAM/BNIP3/NFKBIA/IL6/IL12A/CLK4/NFKB2",21
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","29/1188","95/9410",0.305263157894737,2.41795144426723,5.27986660996634,3.17132336132041e-06,0.000124033980353865,0.000124033980353865,"LTB/CCL3/CXCL8/IL1B/TNF/HLA-DOB/ICAM1/CCL5/TGFB3/HLA-DOA/ATP6V1G2/TNFSF13B/JUN/TLR2/CSF1/TEK/CXCL2/CXCL3/CCL20/ATP6V0C/IL23A/ATP6V0A1/CXCL1/CCL3L1/CSF2/IL6/TNFSF13/IL1A/FOS",29
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","28/1188","94/9410",0.297872340425532,2.35940969983523,5.03489907686748,7.89298367448883e-06,0.000277833025342007,0.000277833025342007,"TRAF6/CXCL8/CSF3/TNFAIP3/FOSB/IL13/IL1B/MAPK15/TNF/CXCL10/JUN/IL17RE/MMP9/CXCL2/NFKB1/CXCL3/CCL20/FOSL1/TAB2/CXCL1/IL5/CASP3/TRAF3IP2/CSF2/NFKBIA/IL6/CCL17/FOS",28
