"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000165376",2343.48770219226,-6.10108205237532,0.240102722135562,-25.5373723796479,7.58443036088135e-144,1.19338094639868e-140,"CLDN2","9075","claudin 2","Down in ZIKV",143.120077031939,139.923220900412
"ENSG00000140284",2255.87971934271,-4.59915880438642,0.181012355964455,-25.5040182077994,1.77897443145175e-143,2.59920871395325e-140,"SLC27A2","11001","solute carrier family 27 member 2","Down in ZIKV",142.749830293827,139.585158845671
"ENSG00000145920",15136.2679139783,-4.90881290414491,0.199366666158583,-24.7337043062249,4.6428898084628e-135,4.74851555160533e-132,"CPLX2","10814","complexin 2","Down in ZIKV",134.333211623494,131.323442135324
"ENSG00000165092",174082.006561535,-4.52902440146179,0.185949704659948,-24.461903635904,3.75953388207391e-132,3.49551207081009e-129,"ALDH1A1","216","aldehyde dehydrogenase 1 family member A1","Down in ZIKV",131.424865996825,128.456489193813
"ENSG00000006534",5693.94463278798,-3.89315206690448,0.164570322985886,-23.7634466340373,7.97838242775942e-125,7.09555706781822e-122,"ALDH3B1","221","aldehyde dehydrogenase 3 family member B1","Down in ZIKV",124.098085150492,121.149013502676
"ENSG00000143819",3728.25803231246,-3.50186095314142,0.150953660803154,-23.2984092173725,4.60095943924707e-120,3.36116519034996e-117,"EPHX1","2052","epoxide hydrolase 1","Down in ZIKV",119.337151595335,116.473510142843
"ENSG00000018236",6216.63341245524,-4.60498009147453,0.204616643397142,-22.6243714988474,2.49492679208777e-113,1.41760354255987e-110,"CNTN1","1272","contactin 1","Down in ZIKV",112.60294219323,109.848445210163
"ENSG00000077942",1320.68682023641,-3.97410695998027,0.176744010525973,-22.5883181379206,5.64563538672811e-113,3.12112086041955e-110,"FBLN1","2192","fibulin 1","Down in ZIKV",112.248287173416,109.505689413649
"ENSG00000140538",6616.88149963422,-4.08990741722696,0.182956757266657,-22.4662106887419,8.88570439787535e-112,4.66043803739847e-109,"NTRK3","4916","neurotrophic receptor tyrosine kinase 3","Down in ZIKV",111.051308138598,108.33157326179
"ENSG00000019186",33897.6171365457,-4.80507814368337,0.217467997586575,-22.2067108566515,2.95816180367279e-109,1.44069523081255e-106,"CYP24A1","1591","cytochrome P450 family 24 subfamily A member 1","Down in ZIKV",108.528978074923,105.841427881487
"ENSG00000082781",9485.97807362661,-3.57272827792573,0.162061393328839,-22.1512229917377,1.01525340929623e-108,4.61489077492321e-106,"ITGB5","3693","integrin subunit beta 5","Down in ZIKV",107.993425543442,105.335838573383
"ENSG00000187134",8792.2345526181,-5.11348655763735,0.235643363136357,-21.8224497352618,1.42042906119733e-105,6.05309925974822e-103,"AKR1C1","1645","aldo-keto reductase family 1 member C1","Down in ZIKV",104.847580450853,102.218022204394
