"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000272734",3387.07092745246,5.15818785453171,0.17191144484259,30.0895775372291,6.63277750371885e-199,1.35673463838569e-194,"ENSG00000272734",NA,NA,"Up in ZIKV",198.17830457085,193.867505087016
"ENSG00000119917",8600.4791017887,6.93743655718605,0.233188841191022,29.8429534089217,1.08361129069705e-195,1.10826344756041e-191,"IFIT3","3437","interferon induced protein with tetratricopeptide repeats 3","Up in ZIKV",194.96512647848,190.95535699031
"ENSG00000108771",1803.70721640691,6.86773172240372,0.231829849180229,29.6956599900035,8.7361872660536e-194,5.95662368423754e-190,"DHX58","79132","DExH-box helicase 58","Up in ZIKV",193.058678065145,189.22499983603
"ENSG00000171522",2056.06954509092,5.56850646445922,0.196006192999144,28.4963077396513,1.30157566339504e-178,6.65593254868638e-175,"PTGER4","5734","prostaglandin E receptor 4","Up in ZIKV",177.885530580348,174.176791087841
"ENSG00000185745",7077.32505499229,6.86749459901208,0.250883080179223,27.4672419248431,4.3246421941848e-166,1.769211121641e-162,"IFIT1","3434","interferon induced protein with tetratricopeptide repeats 1","Up in ZIKV",165.364049818724,161.752220339225
"ENSG00000141682",8031.69831039517,4.9198851677337,0.180454815040081,27.3548551838641,9.45432155815829e-165,3.22313579120213e-161,"PMAIP1","5366","phorbol-12-myristate-13-acetate-induced protein 1","Up in ZIKV",164.02436963066,160.49172139721
"ENSG00000136826",5354.72657504779,5.59230641266826,0.206678712219793,27.1740357956338,1.31688799929886e-162,3.84813486080832e-159,"KLF4","9314","KLF transcription factor 4","Up in ZIKV",161.880451160008,158.414749716188
"ENSG00000105675",1885.61745395344,7.72324855630147,0.2867051945656,27.0074846938896,1.20710922163061e-160,3.08642739105677e-157,"ATP4A","495","ATPase H+/K+ transporting subunit alpha","Up in ZIKV",159.918253432301,156.510543935458
"ENSG00000260231",1581.06617197078,5.6143675788304,0.208641802599263,27.0010230829446,1.43757553744807e-160,3.26728973538892e-157,"KDM7A-DT","100134229","KDM7A divergent transcript","Up in ZIKV",159.842369326023,156.485812351628
"ENSG00000087085",3069.41548466671,6.95917976593639,0.266743249179541,26.1784335259909,4.67849707489636e-151,9.56986576670051e-148,"ACHE","43","acetylcholinesterase (Yt blood group)","Up in ZIKV",150.329893637718,147.019094153884
"ENSG00000119922",20361.8690757552,7.80388496613083,0.306698811649248,25.5506184381023,5.4044531530741e-144,1.00498262951028e-140,"IFIT2","3433","interferon induced protein with tetratricopeptide repeats 2","Up in ZIKV",143.26724824336,139.997841444684
"ENSG00000162772",7769.79108836859,6.59497412874921,0.259305812435138,25.5418399596501,6.76541009730606e-144,1.1532205295033e-140,"ATF3","467","activating transcription factor 3","Up in ZIKV",143.16970587274,139.938087634953
"ENSG00000105559",10117.771379197,7.1764761807283,0.285187036102086,25.273906587635,6.18543743396547e-141,8.43487484745091e-138,"PLEKHA4","57664","pleckstrin homology domain containing A4","Up in ZIKV",140.208629581655,137.073921356876
"ENSG00000118503",2622.19022887036,3.91262502768721,0.156053522158177,25.1659595820094,9.45265610882078e-140,1.20846300441206e-136,"TNFAIP3","7128","TNF alpha induced protein 3","Up in ZIKV",139.024446141615,135.917766640437
"ENSG00000115267",3078.13459986002,5.50898696887196,0.220029847298146,25.1533774190748,1.29793203040369e-139,1.5617176283475e-136,"IFIH1","64135","interferon induced with helicase C domain 1","Up in ZIKV",138.886748049904,135.806397487447
"ENSG00000146592",1438.36561309775,6.36710572285491,0.255618793577333,25.0003184907221,6.06483288394163e-138,6.89200870227922e-135,"CREB5","9586","cAMP responsive element binding protein 5","Up in ZIKV",137.217181161587,134.161654182856
"ENSG00000139192",5803.97655453661,5.7214638393261,0.231280229759599,24.844133622227,2.99234778935476e-136,3.22149863322377e-133,"TAPBPL","55080","TAP binding protein like","Up in ZIKV",135.523987931456,132.491942048575
"ENSG00000163644",1411.63945371119,5.3245908266536,0.216445083265809,24.700461069925,1.05735265202527e-134,1.0299118331989e-131,"PPM1K","152926","protein phosphatase, Mg2+/Mn2+ dependent 1K","Up in ZIKV",133.975780141089,130.987199951988
"ENSG00000116106",731.758566146518,4.87414785874691,0.208212757268649,23.5004430580481,4.03641198311371e-122,3.44020029644129e-119,"EPHA4","2043","EPH receptor A4","Up in ZIKV",121.394004513183,118.46341627106
"ENSG00000107201",2480.19679603239,4.11210081870923,0.175822674031899,23.4914506839975,4.98793433634301e-122,4.08112787399585e-119,"RIGI","23586","RNA sensor RIG-I","Up in ZIKV",121.302079272425,118.389219797263
"ENSG00000271503",17569.7172796797,8.46446289342308,0.362557226729318,23.4525296692987,1.24563154905125e-121,9.79976666763208e-119,"CCL5","6352","C-C motif chemokine ligand 5","Up in ZIKV",120.904610400596,118.008784264733
"ENSG00000087074",20788.6144657393,4.77067165972042,0.204722470096305,23.3753195227911,7.61957744953199e-121,5.772535434451e-118,"PPP1R15A","23645","protein phosphatase 1 regulatory subunit 15A","Up in ZIKV",120.118069112181,117.238633392505
