"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR","Gene_Label"
"ENSG00000213606",130.266355990869,-6.233150738144,0.543038722464652,-11.5504867841809,7.3403499270609e-31,1.15320167248871e-29,"ENSG00000213606",NA,NA,"Down in ZIKV",30.1342832360282,28.938094736426,"ENSG00000213606"
"ENSG00000244122",142.934516335306,-6.12796886371567,0.47781668972213,-12.8493156668481,8.67744735168972e-38,2.07356525208894e-36,"UGT1A7","54577","UDP glucuronosyltransferase family 1 member A7","Down in ZIKV",37.0616080126252,35.6832822934679,"UGT1A7"
"ENSG00000165376",2343.48770219226,-6.10108205237532,0.240102722135562,-25.5373723796479,7.58443036088135e-144,1.19338094639868e-140,"CLDN2","9075","claudin 2","Down in ZIKV",143.120077031939,139.923220900412,"CLDN2"
"ENSG00000169903",1415.49352748262,-6.06882264594342,0.308669987889324,-19.7862647377583,3.90965608055561e-87,8.50766118380479e-85,"TM4SF4","7104","transmembrane 4 L six family member 4","Down in ZIKV",86.4078614443653,84.0701898141306,"TM4SF4"
"ENSG00000170477",90.2382138906033,-5.99562162265275,0.613052063219516,-9.87529713170682,5.32748346271358e-23,5.25934721186324e-22,"KRT4","3851","keratin 4","Down in ZIKV",22.2734778897251,21.2790681569639,"KRT4"
"ENSG00000168955",1313.02529819811,-5.87910717878726,0.318925615043635,-18.6313923804847,1.78811421376674e-77,2.72954300317901e-75,"TM4SF20","79853","transmembrane 4 L six family member 20","Down in ZIKV",76.7476047445868,74.5639100591172,"TM4SF20"
"ENSG00000198074",36209.7883440318,-5.82040108494709,0.274068005728739,-21.3809938269606,2.0080748798852e-101,7.60651327186145e-99,"AKR1B10","57016","aldo-keto reductase family 1 member B10","Down in ZIKV",100.697220096649,98.1188143726378,"AKR1B10"
"ENSG00000151632",38295.7828776741,-5.56295553370131,0.291870782782195,-19.2163732369509,2.6999504857112e-82,5.02068065320205e-80,"AKR1C2","1646","aldo-keto reductase family 1 member C2","Down in ZIKV",81.5686442002779,79.2992374016017,"AKR1C2"
"ENSG00000099994",2340.22795847102,-5.40656418770976,0.294040728334066,-18.5593865432538,6.84821686084264e-77,1.01507446296041e-74,"SUSD2","56241","sushi domain containing 2","Down in ZIKV",76.1644224954138,73.9935020979807,"SUSD2"
"ENSG00000104537",182.65054984092,-5.39437560379563,0.423695808370911,-12.9213557119779,3.41078262035416e-38,8.35539622746639e-37,"ANXA13","312","annexin A13","Down in ZIKV",37.467145958631,36.0780329502802,"ANXA13"
"ENSG00000108984",440.221457741708,-5.37066075700819,0.27825363356755,-19.3811335875434,1.11366567402562e-83,2.2116535303101e-81,"MAP2K6","5608","mitogen-activated protein kinase kinase 6","Down in ZIKV",82.9532451661801,80.6552829070508,"MAP2K6"
"ENSG00000106927",91.2696896262351,-5.30986383331732,0.517362034862855,-10.431456203966,1.78137063241509e-25,2.0413409684062e-24,"AMBP","259","alpha-1-microglobulin/bikunin precursor","Down in ZIKV",24.7492457117179,23.6900844483317,"AMBP"
"ENSG00000091583",71.4653074549373,-5.20450327154156,0.568446043233017,-9.29517117003991,1.46969528771354e-20,1.23561928114182e-19,"APOH","350","apolipoprotein H","Down in ZIKV",19.8327726983009,18.9081153233973,"APOH"
"ENSG00000171227",186.883224874326,-5.18112324917044,0.346092788005421,-15.1183429190034,1.22588744728564e-51,6.04229583957297e-50,"TMEM37","140738","transmembrane protein 37","Down in ZIKV",50.9115494019764,49.2187980148541,"TMEM37"
"ENSG00000187134",8792.2345526181,-5.11348655763735,0.235643363136357,-21.8224497352618,1.42042906119733e-105,6.05309925974822e-103,"AKR1C1","1645","aldo-keto reductase family 1 member C1","Down in ZIKV",104.847580450853,102.218022204394,"AKR1C1"
"ENSG00000261644",152.223736018672,11.791277238315,3.03423455746933,8.8233994028063,1.11036441189873e-18,8.14360130705937e-18,"CYLD-AS1","102724907","CYLD antisense RNA 1","Up in ZIKV",17.9545344661649,17.0891834965965,"CYLD-AS1"
"ENSG00000228919",97.5407124348835,11.0688861012116,2.96478839509774,8.30709244810623,9.80755365132308e-17,6.26134550367708e-16,"LOC389199","389199","uncharacterized LOC389199","Up in ZIKV",16.0084393074238,15.2033323310016,"LOC389199"
"ENSG00000183813",54.6787456147064,10.1032827033756,2.8773059922981,7.49427195404263,6.66673682778181e-14,3.43756243539896e-13,"CCR4","1233","C-C motif chemokine receptor 4","Up in ZIKV",13.176086688492,12.4637494051317,"CCR4"
"ENSG00000234394",51.3371758792911,10.0039265577964,2.86201932508948,7.47013698190502,8.0111381829714e-14,4.11108458436226e-13,"LINC03025","440896","long intergenic non-protein coding RNA 3025","Up in ZIKV",13.0963057771158,12.3860435876459,"LINC03025"
"ENSG00000236841",216.486633402477,9.95384062273323,1.31937314450479,8.46395123830327,2.58467923754589e-17,1.72438401187218e-16,"LOC101929532","101929532","uncharacterized LOC101929532","Up in ZIKV",16.5875933458031,15.7633660124871,"LOC101929532"
"ENSG00000237379",48.0682141398502,9.89273217143433,2.84900278226257,7.38724679739301,1.49900214264101e-13,7.50418228774398e-13,"ENSG00000237379",NA,NA,"Up in ZIKV",12.8241977463802,12.1246966248422,"ENSG00000237379"
"ENSG00000267712",47.2874585596224,9.86707688364876,2.84819102102882,7.34888908511484,1.9986094141047e-13,9.89628553994471e-13,"LINC03069","642484","long intergenic non-protein coding RNA 3069","Up in ZIKV",12.6992720712512,12.0045277823934,"LINC03069"
"ENSG00000198963",41.9686624772352,9.66159110951891,2.82637389437109,7.20253134274014,5.91048499746124e-13,2.82474230427733e-12,"RORB","6096","RAR related orphan receptor B","Up in ZIKV",12.2283768806959,11.5490211658747,"RORB"
"ENSG00000216621",41.480643893599,9.64509128328472,2.82431434919072,7.19398651396211,6.29264138708859e-13,3.00247211506641e-12,"ENSG00000216621",NA,NA,"Up in ZIKV",12.201167017664,11.5225210173402,"ENSG00000216621"
"ENSG00000230392",39.8077747119054,9.57001597969419,2.82274791625272,7.08682346636942,1.3722524497946e-12,6.34480647842415e-12,"LINC03098","101928336","long intergenic non-protein coding RNA 3098","Up in ZIKV",11.8625659852275,11.1975816196897,"LINC03098"
"ENSG00000249743",39.6819707212158,9.55603254477177,2.82562601005546,7.04574225019304,1.8447545888313e-12,8.43982444968558e-12,"ENSG00000249743",NA,NA,"Up in ZIKV",11.7340614006731,11.0736665867068,"ENSG00000249743"
"ENSG00000268635",39.0964128770088,9.54694705717719,2.81698991133086,7.10600421554135,1.1945076702655e-12,5.56195183138647e-12,"ENSG00000268635",NA,NA,"Up in ZIKV",11.9228110571797,11.2547727766106,"ENSG00000268635"
